level_0	level_1	frames = 100 markers = 13 Hz = 30
30.429	5.4592	27.573
32.857	12.041	19.217
31.589	-1.5415	19.153
33.274	13.417	6.3335
33.628	-5.6135	7.18
33.609	13.813	-3.8171
32.595	-6.5811	-2.8791
32.635	8.1535	-1.4936
32.59	-0.44937	-1.4891
33.255	8.0539	-17.76
33.392	-1.4124	-17.721
33.834	7.9556	-32.554
34.11	-2.2613	-32.491
30.48	5.1108	27.567
32.885	11.772	19.23
31.694	-1.8208	19.119
33.568	13.044	6.3765
33.569	-5.5682	7.0016
33.955	13.507	-3.7698
31.801	-7.0494	-2.8898
32.614	8.0195	-1.5349
32.504	-0.58273	-1.5181
33.101	7.9855	-17.806
33.204	-1.4901	-17.757
33.852	7.9481	-32.593
34.116	-2.2563	-32.521
30.588	4.8378	27.552
32.945	11.55	19.23
31.801	-2.0544	19.089
33.801	12.9	6.4126
33.444	-6.0996	7.0025
34.459	13.497	-3.7127
31.571	-7.8434	-2.8261
32.593	7.8692	-1.5705
32.433	-0.73235	-1.5563
33.091	7.9455	-17.841
33.171	-1.5505	-17.799
33.851	8.007	-32.627
34.119	-2.2371	-32.564
30.638	4.6104	27.523
32.994	11.346	19.202
31.851	-2.2589	19.05
33.757	12.681	6.3675
33.46	-6.2669	6.9437
34.556	13.357	-3.7425
31.668	-8.0597	-2.8912
32.581	7.7023	-1.6051
32.39	-0.89856	-1.5989
33.084	7.8689	-17.875
33.156	-1.6224	-17.844
33.849	8.0118	-32.66
34.128	-2.225	-32.612
30.7	4.3968	27.508
33.024	11.146	19.184
31.845	-2.4529	19.03
33.671	12.503	6.3323
33.347	-6.378	6.8727
34.618	13.284	-3.7572
31.784	-8.2291	-2.9905
32.57	7.5347	-1.6317
32.382	-1.0662	-1.617
33.083	7.7924	-17.9
33.147	-1.6934	-17.866
33.856	8.0186	-32.684
34.121	-2.2082	-32.638
30.719	4.1743	27.547
33.068	10.906	19.232
31.843	-2.6976	19.088
33.647	12.302	6.3742
33.161	-6.498	6.8514
34.731	13.178	-3.6933
31.847	-8.3403	-3.0497
32.56	7.4186	-1.6326
32.385	-1.1824	-1.5669
33.076	7.7396	-17.9
33.058	-1.6654	-17.825
33.855	8.0241	-32.683
33.948	-2.0499	-32.607
30.761	3.9782	27.588
33.091	10.75	19.303
31.802	-2.8639	19.15
33.536	12.26	6.4375
32.98	-6.5632	6.8545
34.598	13.247	-3.6219
31.894	-8.3628	-3.0819
32.54	7.29	-1.6125
32.389	-1.3113	-1.5223
33.069	7.6881	-17.877
33.056	-1.7291	-17.783
33.856	8.0436	-32.658
33.943	-2.0538	-32.566
30.752	3.9124	27.573
33.083	10.711	19.312
31.775	-2.9136	19.155
33.491	12.27	6.4466
32.812	-6.5595	6.8154
34.434	13.266	-3.6236
31.913	-8.3308	-3.1448
32.507	7.1433	-1.5911
32.387	-1.4589	-1.5498
33.051	7.6194	-17.853
33.055	-1.8002	-17.812
33.854	8.0467	-32.632
33.944	-2.0546	-32.596
30.736	3.799	27.575
33.074	10.607	19.336
31.784	-3.023	19.155
33.561	12.352	6.5055
32.978	-6.3141	6.7527
34.258	13.401	-3.5791
32.421	-7.8158	-3.2775
32.477	7.0924	-1.5771
32.35	-1.5097	-1.5621
33.033	7.5858	-17.838
33.039	-1.8187	-17.824
33.847	8.0282	-32.616
33.943	-2.0441	-32.608
30.821	3.6761	27.549
33.075	10.524	19.315
31.812	-3.1027	19.113
33.62	12.408	6.5114
32.885	-6.3863	6.6844
33.827	13.426	-3.5981
32.395	-7.8622	-3.3529
32.477	6.9741	-1.6313
32.314	-1.6272	-1.5686
33.036	7.5306	-17.891
33.022	-1.8714	-17.831
33.849	8.029	-32.666
33.943	-2.0389	-32.614
30.779	3.643	27.54
33.066	10.453	19.308
31.824	-3.1632	19.083
33.564	12.675	6.5488
32.635	-6.5645	6.6358
32.997	13.779	-3.5393
32.039	-8.1354	-3.3815
32.437	6.8943	-1.6409
32.272	-1.707	-1.5752
33.014	7.4942	-17.898
33.002	-1.9141	-17.837
33.846	8.0318	-32.671
33.943	-2.0476	-32.619
30.868	3.574	27.537
33.099	10.417	19.294
31.908	-3.192	19.063
33.728	12.802	6.5829
32.623	-6.5949	6.5992
32.4	13.852	-3.4393
31.998	-8.2034	-3.4104
32.336	6.8151	-1.6402
32.218	-1.787	-1.579
32.967	7.4551	-17.894
32.848	-1.9953	-17.845
33.847	8.0304	-32.663
33.698	-2.1272	-32.632
30.864	3.4957	27.553
33.096	10.332	19.319
31.952	-3.2809	19.082
33.878	12.851	6.6586
32.492	-6.7768	6.6153
31.677	13.84	-3.215
31.747	-8.476	-3.3704
32.278	6.8087	-1.6416
32.154	-1.7932	-1.5576
32.938	7.454	-17.894
32.801	-1.9933	-17.823
33.841	8.0335	-32.661
33.671	-2.1173	-32.609
30.86	3.5052	27.527
33.067	10.351	19.322
31.938	-3.2741	19.069
33.935	13.012	6.7045
32.472	-6.7837	6.6046
31.011	13.99	-2.9813
31.687	-8.5134	-3.3728
32.231	6.6952	-1.6582
32.127	-1.9069	-1.5662
32.909	7.3969	-17.907
32.801	-2.0529	-17.831
33.836	8.0278	-32.671
33.69	-2.1279	-32.617
30.917	3.3902	27.538
33.026	10.281	19.352
31.906	-3.3453	19.069
33.725	12.953	6.7073
32.464	-6.8004	6.5937
30.434	13.909	-2.8621
31.605	-8.4948	-3.3837
32.134	6.6967	-1.6734
32.076	-1.9057	-1.5591
32.869	7.4042	-17.92
32.767	-2.0803	-17.823
33.843	8.041	-32.681
33.67	-2.1801	-32.608
30.925	3.39	27.557
33.008	10.288	19.372
31.908	-3.3302	19.07
33.717	12.958	6.7285
32.499	-6.7966	6.6027
30.103	13.83	-2.7316
31.517	-8.471	-3.3667
32.052	6.6735	-1.639
32.035	-1.9293	-1.5469
32.822	7.3984	-17.883
32.758	-2.0913	-17.81
33.83	8.0517	-32.641
33.687	-2.1789	-32.593
30.888	3.336	27.56
32.956	10.246	19.373
31.863	-3.3601	19.048
33.777	12.954	6.7571
32.532	-6.8367	6.5968
29.782	13.736	-2.5565
31.416	-8.448	-3.369
32.026	6.6397	-1.6361
31.993	-1.963	-1.5408
32.808	7.3799	-17.879
32.73	-2.1097	-17.803
33.824	8.046	-32.636
33.679	-2.1836	-32.585
30.806	3.2932	27.545
32.868	10.199	19.346
31.771	-3.395	19.018
33.806	12.979	6.7654
32.561	-6.8945	6.5928
29.504	13.692	-2.4159
31.307	-8.4418	-3.3666
31.979	6.5595	-1.6796
31.931	-2.0424	-1.5267
32.781	7.3396	-17.919
32.686	-2.151	-17.788
33.817	8.0408	-32.673
33.653	-2.1906	-32.569
30.694	3.255	27.57
32.81	10.149	19.373
31.693	-3.4414	19.049
33.663	12.991	6.7906
32.616	-6.9562	6.6526
29.252	13.662	-2.3421
31.207	-8.4283	-3.2977
31.927	6.5503	-1.641
31.892	-2.0521	-1.5149
32.75	7.3289	-17.88
32.664	-2.1525	-17.776
33.803	8.0287	-32.633
33.646	-2.1845	-32.556
30.658	3.2042	27.583
32.742	10.116	19.384
31.617	-3.474	19.059
33.614	12.975	6.8085
32.677	-7.034	6.7005
29.147	13.575	-2.3017
31.107	-8.4546	-3.233
31.873	6.5266	-1.6149
31.845	-2.0761	-1.5159
32.717	7.3219	-17.852
32.639	-2.1688	-17.776
33.79	8.0365	-32.602
33.642	-2.1936	-32.554
30.577	3.1202	27.598
32.644	10.054	19.402
31.545	-3.5422	19.079
33.608	12.945	6.85
32.729	-7.1445	6.7574
29.117	13.487	-2.2521
30.975	-8.5243	-3.1511
31.81	6.5067	-1.5907
31.799	-2.0963	-1.5132
32.69	7.2763	-17.827
32.621	-2.1775	-17.772
33.8	7.9675	-32.576
33.647	-2.1919	-32.549
30.467	3.0073	27.623
32.55	9.9154	19.413
31.464	-3.6758	19.1
33.499	12.654	6.8258
32.856	-7.3263	6.8362
29.237	13.141	-2.3881
30.845	-8.632	-3.0334
31.748	6.5262	-1.5727
31.736	-2.0768	-1.5078
32.659	7.2795	-17.808
32.597	-2.1694	-17.764
