		frames = 150 markers = 13 Hz = 30
-18.044	-5.7925	-1.0636
-9.9118	17.645	26.21
-36.808	-13.175	-3.114
-37.254	0.35706	-1.6944
-40.898	-4.8805	-34.322
-39.173	7.3782	5.3903
-40.107	-5.3442	-19.471
-40.901	-4.8921	-34.318
-41.136	-5.4663	-33.855
-9.892	-1.2969	-32.451
0.067313	-9.7824	-2.5451
-13.946	5.2948	-17.659
-40.791	1.8684	-34.151
-10.601	-15.898	-20.029
-25.598	-8.106	20.015
-0.43689	-11.397	-1.649
-37.721	-5.9733	-19.627
-38.804	-11.164	5.9595
-19.068	13.734	26.044
-35.749	-2.3112	27.169
-18.76	3.1591	-2.2241
-39.043	-5.6208	-1.2652
-37.766	8.7936	5.9016
-39.859	-8.802	20.147
-6.2691	-12.525	-1.5457
-8.6777	-3.5039	-2.4819
-38.709	8.9669	-3.7227
-38.451	-10.899	5.9795
-39.107	-5.6119	-1.2679
-38.377	-10.896	5.9928
-30.555	-5.6187	-2.3168
-12.704	-3.1594	1.8022
-39.395	-5.6801	-1.2579
-40.909	-4.8877	-34.309
-39.052	7.6578	5.3998
-38.704	-11.095	5.9461
-39.894	5.215	19.643
-39.325	-5.6833	-1.2638
-37.234	9.1494	-3.8955
-38.024	-11.048	6.0327
17.102	-9.6995	10.683
16.419	-9.1021	6.8254
-39.137	7.6266	5.4226
-36.852	-6.9239	-1.5617
-20.206	-12.427	4.4799
-39.752	5.2968	19.63
-38.587	9.1397	-3.7227
-21.046	14.639	28.925
-4.5149	0.33224	25.34
-10.922	8.3678	-20.337
-40.789	1.8854	-34.149
-0.29389	-12.369	5.4332
-2.8611	-10.189	19.465
-36.7	9.126	-3.8793
-0.36009	-11.782	20.091
-6.5186	-20.926	19.887
-10.981	-1.5068	-18.865
-31.403	-22.116	12.496
-0.58819	-8.9975	-2.6623
-15.522	-10.109	9.2282
-40.794	1.8512	-34.165
-38.6	9.1252	-3.7124
-9.2731	-8.2029	-34.069
7.0923	-14.405	14.512
20.772	0.2211	13.137
-11.695	-12.322	-2.5072
-40.793	1.8368	-34.167
-12.013	0.1079	-34.448
-40.188	-5.2462	-19.46
18.833	-5.2152	10.349
-39.591	-1.6398	27.338
-38.507	1.9432	-19.47
-14.735	0.3116	26.157
3.6972	-10.96	-34.155
-38.393	9.2795	-3.8126
-38.713	8.6639	-3.807
19.771	-3.162	11.472
-37.762	-1.2905	27.251
-12.454	-17.062	10.556
-13.605	18.187	21.746
-12.507	0.13917	-1.3388
-39.097	1.4494	-1.2695
-19.22	19.432	22.364
3.6348	-10.208	-34.613
1.8628	-11.278	-19.695
-37.257	-11.618	5.9337
-12.004	-11.764	-2.552
3.7663	-6.4482	-20.13
-40.98	-5.7262	-33.465
-39.617	-5.615	-19.467
-37.02	14.819	11.516
-30.375	-2.2279	26.486
-12.581	2.9867	21.034
-40.903	-4.8945	-34.316
-40.083	-5.343	-19.465
-7.9819	-20.323	-33.972
-40.903	-4.888	-34.319
-40.799	1.8886	-34.151
-34.337	2.3463	-19.569
-10.503	-16.655	25.187
-14.058	-13.489	18.562
-38.652	-5.9538	-1.2893
-38.287	2.0178	-19.485
-6.6609	-5.1362	18.745
-7.7097	2.1243	26.913
-6.1215	-11.065	-1.6974
-39.166	7.4084	5.3992
