level_0	level_1	frames = 108 markers = 13 Hz = 30
-25.696	-0.036703	26.803
-27.475	-6.1817	19.872
-26.312	6.8312	19.284
-25.862	-7.6472	6.9494
-24.134	8.5405	6.4847
-24.8	-8.5678	-1.4736
-22.723	9.6225	-1.8576
-27.4	-2.5537	-0.14708
-27.39	4.9056	-0.14198
-28.123	-3.0464	-16.61
-27.869	5.4514	-16.614
-28.756	-3.4579	-30.717
-28.268	5.8945	-30.735
-25.694	-0.039923	26.8
-27.455	-6.1873	19.897
-26.316	6.8308	19.283
-25.854	-7.6501	6.9722
-24.14	8.5499	6.4849
-24.799	-8.5689	-1.4519
-22.731	9.6382	-1.8569
-27.399	-2.55	-0.15218
-27.391	4.9093	-0.14218
-27.977	-3.0766	-16.62
-27.717	5.4792	-16.617
-28.755	-3.4592	-30.721
-28.26	5.8977	-30.734
-25.696	-0.040213	26.8
-27.471	-6.1847	19.872
-26.309	6.8285	19.283
-25.857	-7.6471	6.9492
-24.136	8.5717	6.4869
-24.794	-8.5657	-1.4739
-22.728	9.6756	-1.8531
-27.393	-2.5462	-0.15558
-27.388	4.9131	-0.14068
-27.974	-3.074	-16.623
-27.719	5.4773	-16.615
-28.758	-3.4569	-30.723
-28.266	5.891	-30.732
-25.71	-0.048453	26.801
-27.483	-6.1956	19.886
-26.292	6.8127	19.274
-25.86	-7.6511	6.9631
-24.117	8.6174	6.4876
-24.791	-8.5652	-1.4598
-22.707	9.7611	-1.8467
-27.383	-2.5479	-0.15208
-27.383	4.9115	-0.14048
-27.969	-3.0732	-16.62
-27.713	5.4808	-16.615
-28.759	-3.4536	-30.72
-28.261	5.8987	-30.732
-25.73	-0.062843	26.806
-27.484	-6.2163	19.921
-26.267	6.7868	19.268
-25.858	-7.6566	6.9973
-24.098	8.6922	6.4954
-24.787	-8.5608	-1.4264
-22.689	9.8977	-1.8303
-27.372	-2.5443	-0.14668
-27.387	4.9151	-0.13508
-27.962	-3.074	-16.614
-27.717	5.4798	-16.61
-28.756	-3.458	-30.714
-28.266	5.8936	-30.727
-25.765	-0.094693	26.812
-27.525	-6.2545	19.954
-26.25	6.736	19.257
-25.864	-7.6671	7.0319
-23.875	8.8817	6.5587
-24.77	-8.5532	-1.3907
-22.324	10.237	-1.7186
-27.35	-2.5277	-0.14408
-27.352	4.9316	-0.11418
-27.954	-3.0703	-16.61
-27.707	5.4922	-16.589
-28.757	-3.4642	-30.709
-28.275	5.9044	-30.705
-25.851	-0.096013	26.815
-27.513	-6.2733	19.987
-26.254	6.7194	19.263
-25.841	-7.6664	7.064
-23.449	9.2729	6.7289
-24.74	-8.5399	-1.3591
-21.586	10.869	-1.4405
-27.327	-2.5291	-0.14688
-27.386	4.9299	-0.098783
-27.941	-3.0652	-16.613
-27.718	5.4842	-16.574
-28.753	-3.4547	-30.711
-28.268	5.8897	-30.691
-25.941	-0.068813	26.811
-27.478	-6.2641	20.022
-26.304	6.7432	19.269
-25.751	-7.7693	7.1189
-23.035	9.9657	7.0049
-24.612	-8.7141	-1.2914
