		frames = 108 markers = 13 Hz = 30
-38.446	-6.0379	-27.413
-35.898	11.378	2.115
-26.919	5.5857	-5.0081
-36.768	-3.9549	3.9911
-28.794	13.537	-15.418
-34.063	-11.496	3.2977
-38.999	-4.3537	2.5071
-38.564	5.5322	-27.424
-31.954	-12.854	1.7025
-21.746	7.4515	-19.849
-37.078	5.2132	-12.351
-35.439	-11.693	2.9678
-33.938	0.93408	32.641
-29.657	12.636	4.0809
-36.446	-5.7412	25.36
-34.225	-5.0812	25.333
-36.296	7.4692	25.383
-24.641	-14.281	-19.266
-35.015	5.376	-12.6
-34.967	-5.1846	25.365
-38.454	4.362	2.5457
-28.121	13.644	-15.472
-34.573	-11.246	2.562
-31.221	13.256	-2.9528
-37.571	5.0605	-12.012
-36.274	9.8322	12.101
-39.578	-2.5859	-17.16
-24.245	12.106	-24.825
-38.445	-6.0366	-27.419
-32.185	1.9098	31.969
-36.513	-5.6566	25.375
-35.803	4.8205	3.9721
-35.435	-11.707	2.9449
-40.414	-4.2596	-4.7368
-37.159	-10.445	14.346
-33.934	0.92163	32.638
-39.158	10.754	13.155
-38.407	5.6645	-27.417
-24.167	12.088	-24.853
-36.443	10.356	12.255
-39.575	4.2395	-1.657
-24.465	12.061	-24.702
-36.91	-3.8368	4.0703
-34.745	12.588	4.4586
-34.904	8.0892	25.07
-36.754	-9.9387	12.865
-37.196	-7.0784	-25.433
-23.419	7.139	-17.991
-24.418	-1.6678	2.0944
-36.447	10.432	12.273
-35.838	4.8587	3.9711
-24.971	-14.891	-15.918
-36.473	10.383	12.266
-33.957	0.9953	32.654
-39.656	-2.7063	-17.28
-37.098	5.2327	-12.354
-37.111	-7.2958	-25.319
-38.041	5.6041	-17.005
-36.323	-4.3941	3.9225
-35.887	11.383	2.1175
-36.631	10.564	12.336
-36.521	10.433	12.286
-36.225	7.3408	25.389
-30.339	-15.137	-15.383
-39.858	-4.5266	-0.64979
-36.121	7.5305	25.31
-40.165	-3.5957	-12.658
-27.513	1.8225	27.577
-37.575	-9.7876	12.769
-37.176	-7.12	-25.404
-29.273	7.5368	17.513
-37.108	5.2401	-12.355
-27.693	-7.8945	-0.011087
-23.847	0.012662	16.176
-36.561	10.514	12.312
-37.391	-5.1649	-12.439
-35.858	4.8794	3.9705
-37.078	11.132	1.9344
-28.234	13.548	-15.523
-36.478	-5.6998	25.367
-36.263	7.3388	-24.616
-37.249	5.0029	-12.155
-36.746	-3.973	3.979
-38.444	-6.0346	-27.432
-33.948	0.96694	32.648
-25.769	-13.601	-24.01
-36.988	-3.7719	4.1137
-38.45	-6.044	-27.383
-27.258	-14.815	-8.9049
-37.105	5.2384	-12.355
-37.062	4.9995	-12.299
-36.391	-4.3084	3.9474
-38.528	5.5452	-27.391
-37.955	-9.7124	12.893
-26.917	5.4356	-5.1111
-28.18	-7.6403	-4.8815
-29.989	-16.431	-11.739
-32.177	12.173	3.164
-37.085	-5.1848	-12.301
-38.536	5.5276	-27.404
-34.127	-11.354	3.0351
-36.266	7.6064	25.414
-38.285	5.1805	-13.839
-32.067	12.577	5.9367
-36.557	10.476	12.303
-37.373	-5.1917	-12.42
-36.635	11.104	1.9302
-37.904	-9.7232	12.877
-36.516	5.282	-12.368
-37.755	-9.7533	12.828
-38.508	5.5669	-27.101
-30.609	-15.491	-15.449
-36.992	-7.1947	-25.158
-22.498	7.4781	-18.801
-38.623	4.8165	-11.027
-38.536	5.5152	-27.223
-37.543	-9.793	12.759
-36.248	7.6913	25.43
-32.872	12.288	5.7414
-36.873	6.8938	-25.318
-36.636	10.518	12.367
-38.464	-6.0603	-27.298
-33.968	1.0304	32.661
-21.56	7.6871	-19.411
