		frames = 123 markers = 13 Hz = 30
34.065	-4.2133	-0.34446
22.158	6.7525	12.564
25.981	-7.1292	25.859
8.2556	-4.8	15.647
31.144	-5.3764	-16.952
35.015	-12.321	4.6553
33.059	-6.1032	-0.43146
12.645	-3.279	13.293
32.767	3.1515	-16.399
34.14	4.6573	-30.188
8.1773	-3.3749	15.404
34.228	-3.8344	-0.25716
31.74	-13.921	17.427
34.591	-13.256	4.738
25.951	-9.3134	25.667
32.775	11.013	9.309
30.77	-1.6306	26.432
30.464	-11.975	-1.9697
33.624	-3.6417	-0.47176
35.208	-13.928	5.5059
15.214	5.8938	15.654
34.997	-13.954	5.6301
31.932	-5.2664	-16.876
32.974	3.9598	-0.48086
33.563	-4.8887	-0.53516
12.941	2.0985	16.427
27.345	9.5267	8.0071
34.181	4.5136	-30.736
15.241	-0.126	10.344
35.184	-3.9158	-30.868
25.863	-10.045	25.443
8.1675	-2.9172	15.498
32.668	3.8511	-0.38796
26.507	-8.5124	25.24
32.016	-5.0077	-16.878
34.137	4.6482	-30.171
34.119	4.5605	-30.364
27.384	-10.2	-1.3106
31.641	-5.3329	-16.964
34.14	4.6601	-30.182
21.635	7.3247	10.563
31.544	-13.869	17.289
8.2051	-4.8523	15.661
32.267	-7.9431	19.445
31.226	-5.6846	-0.60856
33.163	3.9963	-16.62
26.33	-6.8022	26.007
32.83	3.2667	-16.488
35.028	-8.4967	18.797
25.568	-0.67599	20.527
25.794	-9.8514	25.534
32.707	3.0677	-16.391
25.819	-10.129	25.391
34.233	-13.429	5.0271
31.906	-13.919	17.868
33.733	-3.945	-16.952
34.249	-13.709	5.772
34.918	-3.7608	-30.707
34.16	4.6099	-30.157
33.42	4.2677	-16.973
31.304	1.1585	-0.060465
32.573	-8.9097	6.7724
35.315	-13.843	5.4351
31.416	-4.1853	-0.68766
31.958	-5.205	-16.893
16.119	-3.9856	17.703
34.092	-13.706	5.8064
31.733	-5.396	-16.942
35.178	-3.9131	-30.861
8.369	-4.1396	15.695
34.686	-3.8207	-30.47
31.614	-13.373	18.305
29.302	3.6133	19.456
31.023	1.4028	-0.12996
34.754	-3.7675	-30.628
32.667	3.8136	-0.35116
23.946	-2.1479	20.186
13.88	4.691	15.735
31.346	5.4229	19.131
31.824	-9.9079	-1.4596
15.751	3.3096	16.355
33.148	10.545	8.8066
25.9	-9.1731	25.079
8.3983	-1.7961	16.651
30.894	-1.8892	26.637
13.839	2.9391	15.304
33.434	4.2957	-16.929
23.294	8.2786	9.7316
34.138	4.6425	-30.157
34.681	-3.9325	-30.414
31.701	-9.7883	-1.4212
28.51	2.6721	20.008
34.687	-3.8177	-30.479
32.525	3.7556	-17.028
34.3	4.5833	-30.504
35.751	-11.499	4.7928
32.594	3.8596	-0.45686
