		frames = 145 markers = 13 Hz = 30
15.686	-7.9657	18.602
23.959	-7.3131	-17.45
14.422	-4.9346	6.5146
24.394	-4.4197	26.154
26.215	0.069677	-0.71844
21.409	-6.6038	25.788
25.925	0.6626	-31.348
25.936	0.8119	-31.465
26.029	0.18071	20.289
38.346	1.8401	0.73096
15.452	-9.6237	5.0648
17.139	-9.1197	18.546
24.53	-7.8754	-31.378
38.464	13.061	19.253
37.084	5.2478	17.316
21.781	-5.6526	-1.1187
16.399	-9.8081	18.642
37.081	6.5434	16.92
23.652	2.2659	19.95
15.337	-11.098	5.7413
14.383	-11.376	-2.5264
26.306	-0.14128	-17.296
24.655	-7.7917	-31.476
24.553	-7.8856	-31.457
20.877	-5.3688	25.788
16.091	-9.416	5.4692
16.443	-9.2228	18.374
24.488	-7.8093	-31.428
14.93	5.6719	6.2974
15.386	-12.534	-2.5189
23.085	-4.4785	26.263
20.704	-5.8565	25.788
15.406	-9.4119	-2.8819
23.914	-6.7002	-0.87364
24.671	0.43113	-0.94644
25.443	0.28169	-17.34
23.918	0.50672	-0.93224
38.995	12.979	18.432
25.927	0.65418	-31.295
24.5	-11.964	18.53
24.661	-7.7622	-31.512
25.926	0.73025	-31.419
38.252	13.089	19.895
21.429	-6.6233	-17.735
24.557	-7.845	-31.46
25.939	0.66404	-31.291
13.232	8.4475	18.582
24.439	-7.6977	-31.476
26.953	-1.5916	-0.85134
22.329	-14.011	-2.7675
14.396	-5.0566	6.4756
16.331	-9.6814	18.671
26.684	-0.83367	-0.74784
25.912	0.62912	-31.332
37.534	4.724	16.448
25.949	0.51292	-17.231
26.24	0.22078	-0.38994
21.173	-6.566	-0.99404
39.244	12.944	18.36
22.763	-7.3376	-17.52
25.936	0.47011	-17.245
20.663	-5.9717	25.788
22.963	-10.721	19.362
25.932	0.65195	-31.325
22.047	-6.7299	-17.598
23.686	2.5509	19.468
36.444	6.2531	17.329
20.97	-12.755	-1.9508
16.144	-9.3723	18.621
26.333	-0.19767	-17.315
20.446	-6.2386	25.788
20.326	-12.455	-1.7594
36.735	5.882	17.331
23.971	-6.8305	-0.88944
19.814	-5.4173	25.788
22.667	1.3138	20.353
25.496	-0.84338	-0.76724
25.039	0.67596	-17.407
25.698	-5.5233	25.91
24.551	-7.8955	-31.452
20.894	-5.5894	-1.2315
40.986	6.6171	9.736
23.605	2.5797	19.087
25.553	-5.1458	25.955
38.888	12.603	18.808
11.493	6.467	19.227
22.256	-6.7774	-17.599
26.174	0.096177	-0.67324
6.5247	-4.5988	18.956
21.514	-12.947	-2.0415
26.966	-1.5948	-0.85464
10.125	2.9905	19.057
23.845	-6.9129	-0.89754
39.782	10.719	16.296
26.464	-0.54659	20.204
25.914	0.75145	-31.534
24.532	-7.9007	-31.405
25.96	0.47666	-17.242
37.577	3.5393	14.947
24.556	-7.8922	-31.455
21.984	-6.6915	-17.672
25.922	0.65266	-31.273
39.07	12.397	18.591
25.518	0.543	-17.408
21.798	-5.741	-1.1
20.822	-5.5388	-1.2035
25.921	0.48127	-17.191
25.934	0.66212	-31.349
24.56	-7.8892	-31.455
26.196	0.062897	-0.71834
25.902	0.75143	-31.514
20.889	-5.6201	-1.2615
23.87	-6.6316	-0.96874
21.827	-5.7583	-1.0945
22.308	-6.777	-17.581
25.919	0.48464	-17.199
22.685	1.1974	20.353
20.737	-12.849	-1.8259
32.146	-0.41182	6.0535
21.096	-13.417	5.5006
26.119	0.3292	20.328
25.524	0.18525	-17.304
26.032	-0.8154	-0.71394
36.702	15.114	19.41
25.951	0.50212	-17.252
25.819	0.24809	20.338
16.513	8.8325	10.44
24.533	-7.898	-31.413
25.914	0.63073	-31.308
36.453	7.1309	16.997
23.627	-12.609	5.8151
39.161	2.7221	1.8051
21.636	-13.956	-2.8486
15.475	-9.8768	5.067
15.021	-8.6938	-2.6475
22.269	-13.325	-2.3896
24.549	-7.8984	-31.443
26.032	0.056157	20.285
37.185	5.0417	16.637
25.934	0.66697	-31.312
38.487	14.25	19.087
24.665	-7.765	-31.552
14.352	-7.4141	5.6908
37.184	14.872	19.36
25.993	0.64699	-31.334
15.158	-9.1639	-2.7987
37.276	13.183	21.379
39.065	13.211	18.867
24.56	0.12924	-0.86064
25.655	-11.719	18.654
12.099	4.2932	15.865
25.911	0.63211	-31.343
26.319	0.1386	-0.66604
37.596	3.9129	15.463
15.187	-8.8774	5.4643
24.617	-4.4915	26.13
37.534	5.3802	16.896
26.881	-1.3762	-0.83154
25.867	0.27485	-17.237
25.134	0.68201	-17.476
19.562	-5.6083	25.788
24.192	-7.3137	-17.386
24.156	-12.935	5.7415
20.799	-5.5061	-1.1958
21.481	-5.3398	-1.2075
40.822	7.51	11.508
15.551	-8.6471	5.5856
23.686	0.27486	20.351
24.558	-7.884	-31.466
14.259	-11.029	-2.5617
14.718	-8.802	-2.9073
26.515	-0.39416	-0.61784
25.413	0.35481	-17.352
25.345	0.66058	-17.403
22.361	-4.3345	26.311
26.876	-1.2798	-0.81074
16.902	-9.9703	17.983
24.556	-7.882	-31.454
37.518	5.0516	16.661
15.293	10.106	18.675
35.76	0.37954	-1.3313
26.28	0.096497	-0.70424
27.364	-0.62917	18.861
24.662	-7.8015	-31.468
16.614	-10.098	18.662
22.285	-6.7766	-17.585
25.949	0.65511	-31.305
21.874	-6.5693	-17.689
25.908	0.61443	-31.286
26.242	0.18871	-0.71284
26.027	0.25461	20.292
24.508	-7.8942	-31.338
25.649	0.21885	20.341
36.769	14.675	19.575
21.777	-5.6824	-1.1083
21.336	-6.7822	-1.0237
26.356	-0.45534	20.267
24.134	-7.3703	-17.41
25.996	-0.86385	-0.75464
15.857	-8.237	18.502
26.288	0.16472	-0.67264
14.44	-9.034	-2.633
15.837	-9.1901	5.3784
24.54	-7.9069	-31.43
14.381	-7.2745	5.684
20.774	-5.6205	25.788
23.37	2.5797	18.857
21.561	-6.9831	-1.0208
15.94	-9.2391	5.4473
26.105	0.39886	20.317
25.996	0.50828	-17.231
21.212	-11.732	6.4522
15.878	-6.6822	19.206
24.169	-13.013	5.7596
23.674	-13.151	5.6019
26.167	0.086117	-0.67134
16.138	-6.0415	19.362
22.292	-6.8018	-17.591
24.519	-7.9317	-31.419
14.671	-8.4236	-3.0412
36.663	7.0576	17.163
