level_0	level_1	frames = 245 markers = 13 Hz = 30
34.218	9.7661	29.329
35.827	16.602	21.93
36.391	2.1602	23.21
35.739	18.627	7.8648
34.748	-1.7566	9.6595
35.647	20.235	-3.5785
33.418	-4.8953	-1.3707
35.287	11.269	1.1604
35.857	4.3723	1.166
35.245	12.321	-16.565
35.885	3.5527	-16.574
35.229	13.158	-30.649
35.891	2.9222	-30.673
34.164	9.5425	29.331
35.805	16.41	21.971
36.367	1.9609	23.205
35.705	18.458	7.9089
34.531	-1.9208	9.6687
35.602	20.085	-3.5316
33.044	-5.0313	-1.3495
35.362	11.166	1.1909
35.817	4.2603	1.1197
35.14	12.192	-16.535
35.686	3.4472	-16.62
35.227	13.149	-30.611
35.809	2.9474	-30.724
34.135	9.2975	29.33
35.78	16.214	22.005
36.367	1.7539	23.179
35.657	18.29	7.9471
34.372	-2.0783	9.651
35.535	19.94	-3.49
32.757	-5.1488	-1.3603
35.342	11.055	1.1983
35.791	4.1501	1.0857
35.124	12.144	-16.524
35.687	3.397	-16.657
35.219	13.156	-30.596
35.839	2.9489	-30.762
34.117	9.0591	29.334
35.784	16.015	22.042
36.362	1.5488	23.133
35.618	18.119	7.9889
34.266	-2.2268	9.6052
35.46	19.789	-3.4447
32.57	-5.2518	-1.4067
35.314	10.933	1.2172
35.739	4.0269	1.0673
35.115	12.09	-16.501
35.652	3.3456	-16.678
35.213	13.149	-30.57
35.813	2.9523	-30.785
34.099	8.7993	29.35
35.79	15.819	22.104
36.359	1.3405	23.122
35.573	17.954	8.0564
34.217	-2.3407	9.5754
35.376	19.652	-3.3726
32.485	-5.2892	-1.4516
35.298	10.844	1.2431
35.681	3.937	1.0547
35.103	12.056	-16.471
35.642	3.2991	-16.692
35.205	13.156	-30.537
35.838	2.9376	-30.8
34.128	8.5712	29.361
35.809	15.645	22.182
36.335	1.1524	23.1
35.534	17.785	8.1356
34.207	-2.4292	9.524
35.289	19.487	-3.2919
32.487	-5.2968	-1.5263
35.295	10.77	1.2674
35.647	3.8617	1.0422
35.096	12.019	-16.444
35.618	3.2608	-16.706
35.202	13.153	-30.507
35.83	2.9322	-30.814
34.112	8.3598	29.364
35.835	15.472	22.219
36.291	0.9699	23.068
35.494	17.638	8.1786
34.233	-2.5167	9.4567
35.196	19.361	-3.2444
32.572	-5.3076	-1.622
35.294	10.689	1.2783
35.599	3.7797	1.0284
35.09	11.981	-16.43
35.598	3.2214	-16.721
35.192	13.149	-30.491
35.832	2.9263	-30.83
34.099	8.1621	29.362
35.864	15.314	22.252
36.26	0.8054	23.028
35.461	17.495	8.2156
34.302	-2.5711	9.3748
35.111	19.23	-3.2041
32.725	-5.2729	-1.7382
35.286	10.605	1.2822
35.544	3.6944	1.0141
35.081	11.95	-16.422
35.571	3.1835	-16.737
35.183	13.161	-30.479
35.828	2.9255	-30.846
34.1	7.9752	29.361
35.91	15.166	22.282
36.225	0.6509	22.99
35.428	17.36	8.2501
34.418	-2.6108	9.2871
35.014	19.105	-3.1658
32.966	-5.22	-1.8649
35.279	10.545	1.297
35.448	3.6328	1.0055
35.079	11.929	-16.405
35.524	3.1588	-16.747
35.178	13.165	-30.459
35.818	2.9263	-30.855
34.089	7.8189	29.369
35.935	15.043	22.326
36.199	0.5267	22.945
35.416	17.249	8.2971
34.578	-2.6417	9.1971
34.973	19.005	-3.116
33.28	-5.1757	-1.991
35.281	10.482	1.3104
35.409	3.5694	1.0033
35.08	11.894	-16.389
35.498	3.1289	-16.75
35.179	13.152	-30.442
35.808	2.9264	-30.858
34.058	7.6382	29.354
35.957	14.888	22.345
36.173	0.368	22.895
35.406	17.135	8.3235
34.767	-2.6635	9.0933
34.936	18.924	-3.0834
33.647	-5.0867	-2.1385
35.205	10.386	1.2551
35.333	3.471	1.0148
35.04	11.869	-16.439
35.465	3.0825	-16.739
35.166	13.184	-30.486
35.803	2.9192	-30.848
34.028	7.5165	29.354
35.952	14.797	22.365
36.157	0.2768	22.849
35.387	17.053	8.3454
35.016	-2.6144	8.9929
34.905	18.849	-3.0597
34.112	-4.9219	-2.2827
35.209	10.335	1.2578
35.312	3.4203	1.0051
35.034	11.847	-16.434
35.451	3.0624	-16.749
35.158	13.189	-30.479
35.794	2.9232	-30.858
33.993	7.42	29.352
35.953	14.744	22.401
36.144	0.2225	22.8
35.373	16.996	8.3818
35.191	-2.6076	8.9173
34.879	18.789	-3.0234
34.442	-4.8683	-2.3789
35.214	10.288	1.2641
35.311	3.3729	0.99558
35.033	11.819	-16.426
35.451	3.0383	-16.759
35.153	13.177	-30.469
35.795	2.9182	-30.868
33.975	7.3261	29.359
35.96	14.697	22.436
36.158	0.1736	22.779
35.384	16.967	8.4191
35.385	-2.5368	8.8606
34.893	18.775	-2.9838
34.784	-4.7009	-2.4633
35.21	10.218	1.2683
35.245	3.3025	1.0109
35.027	11.79	-16.418
35.418	3.0088	-16.744
35.146	13.178	-30.458
35.789	2.9191	-30.853
33.924	7.2566	29.349
35.952	14.647	22.435
36.155	0.1235	22.751
35.399	16.949	8.4227
35.54	-2.5044	8.809
34.927	18.783	-2.9768
35.068	-4.6016	-2.5335
35.221	10.194	1.2671
35.275	3.2796	0.98928
35.029	11.781	-16.418
35.43	2.9956	-16.766
35.141	13.181	-30.457
35.789	2.9165	-30.875
33.922	7.1995	29.345
35.956	14.609	22.435
36.18	0.086099	22.746
35.435	16.938	8.4263
35.664	-2.4697	8.7868
34.988	18.794	-2.9708
35.273	-4.5084	-2.5693
35.222	10.158	1.2666
35.3	3.2433	0.98268
35.031	11.768	-16.416
35.446	2.9805	-16.773
35.137	13.184	-30.454
35.791	2.9152	-30.883
33.892	7.1522	29.34
35.958	14.569	22.433
36.21	0.049699	22.739
35.48	16.921	8.4263
35.764	-2.4247	8.7623
35.069	18.796	-2.9691
35.43	-4.3972	-2.6072
35.227	10.12	1.2596
35.331	3.2062	0.97868
35.034	11.746	-16.421
35.457	2.9637	-16.778
35.138	13.176	-30.458
35.789	2.9166	-30.887
33.887	7.0995	29.341
35.942	14.535	22.436
36.257	0.017599	22.742
35.516	16.924	8.4342
35.836	-2.3971	8.7542
35.148	18.828	-2.9578
35.521	-4.3208	-2.6242
35.239	10.09	1.2615
35.358	3.1759	0.98218
35.037	11.741	-16.417
35.472	2.9482	-16.774
35.128	13.186	-30.452
35.791	2.911	-30.885
33.884	7.0786	29.343
35.931	14.506	22.434
36.309	-0.0072006	22.747
35.563	16.932	8.4365
35.902	-2.3862	8.7531
35.243	18.867	-2.9519
35.598	-4.2803	-2.6306
35.252	10.066	1.26
35.398	3.1522	0.98708
35.031	11.728	-16.417
35.489	2.9359	-16.77
35.119	13.189	-30.451
35.793	2.9097	-30.88
33.896	7.0649	29.348
35.91	14.495	22.439
36.37	-0.014501	22.749
35.605	16.933	8.442
35.97	-2.3682	8.7503
35.337	18.876	-2.9461
35.67	-4.2412	-2.637
35.27	10.045	1.2607
35.441	3.1311	0.99698
35.039	11.72	-16.415
35.508	2.9255	-16.76
35.119	13.192	-30.448
35.793	2.9077	-30.871
33.919	7.0579	29.35
35.896	14.49	22.436
36.435	-0.015901	22.753
35.652	16.943	8.4402
36.031	-2.3664	8.7538
35.433	18.899	-2.947
35.727	-4.2362	-2.6339
35.297	10.031	1.2593
35.485	3.1182	1.0018
35.055	11.718	-16.415
35.53	2.9209	-16.756
35.114	13.192	-30.448
35.797	2.9095	-30.867
33.939	7.0719	29.348
35.898	14.507	22.427
36.52	0.0075994	22.756
35.699	16.954	8.4299
36.066	-2.3792	8.7652
35.516	18.905	-2.9588
35.721	-4.2781	-2.6166
35.327	10.033	1.2628
35.548	3.121	1.0038
35.061	11.722	-16.412
35.556	2.9186	-16.754
35.108	13.201	-30.444
35.802	2.9069	-30.865
33.958	7.0893	29.351
35.899	14.53	22.429
36.6	0.033499	22.776
