level_0	level_1	frames = 120 markers = 13 Hz = 30
37.783	4.508	29.51
38.326	11.489	21.915
37.486	-2.9944	22.335
38.211	14.285	7.5968
36.256	-4.8765	7.9307
38.116	16.04	-1.5341
35.492	-6.0404	-1.252
37.726	7.5966	0.8664
37.467	0.68967	0.8713
37.86	7.4101	-17.154
38.242	1.2932	-17.126
37.986	7.2473	-31.897
38.86	1.8095	-31.855
37.72	4.6039	29.514
38.262	11.577	21.939
37.43	-2.9136	22.352
38.148	14.427	7.6311
36.197	-4.7478	7.9423
38.053	16.217	-1.493
35.432	-5.8808	-1.2441
37.675	7.6805	0.8701
37.418	0.77351	0.8748
37.685	7.481	-17.151
38.07	1.2731	-17.13
37.992	7.2529	-31.89
38.856	1.8136	-31.85
37.645	4.6811	29.51
38.213	11.65	21.941
37.383	-2.8381	22.332
38.104	14.529	7.6392
36.145	-4.6522	7.9196
38.01	16.335	-1.4816
35.376	-5.7724	-1.2681
37.627	7.7489	0.8653
37.379	0.84157	0.876
37.666	7.4992	-17.155
38.055	1.3039	-17.129
37.999	7.2295	-31.892
38.858	1.8128	-31.849
37.603	4.7333	29.512
38.167	11.697	21.93
37.346	-2.7873	22.322
38.065	14.611	7.6351
36.094	-4.5875	7.9096
37.977	16.441	-1.4811
35.317	-5.6987	-1.2785
37.575	7.8088	0.8625
37.354	0.90061	0.8843
37.639	7.5251	-17.157
38.043	1.3327	-17.121
37.993	7.2282	-31.894
38.861	1.8195	-31.841
37.546	4.783	29.512
38.115	11.744	21.918
37.312	-2.7362	22.308
38.036	14.671	7.6256
36.045	-4.5314	7.8957
37.961	16.509	-1.4892
35.258	-5.6393	-1.292
37.53	7.8505	0.8628
37.334	0.94155	0.8877
37.614	7.5379	-17.156
38.032	1.3479	-17.118
37.985	7.2175	-31.892
38.858	1.8136	-31.838
37.529	4.8199	29.507
38.051	11.797	21.922
37.275	-2.6872	22.298
38.007	14.709	7.6262
35.976	-4.6131	7.9056
37.956	16.538	-1.4904
35.167	-5.8048	-1.2697
37.481	7.8729	0.8543
37.308	0.96328	0.8836
37.594	7.5503	-17.165
38.024	1.3598	-17.122
37.984	7.2223	-31.899
38.858	1.8156	-31.841
37.504	4.8374	29.498
37.991	11.824	21.914
37.254	-2.6623	22.294
38.025	14.84	7.6398
35.947	-4.6066	7.9046
38.024	16.736	-1.4637
35.133	-5.8098	-1.2688
37.427	7.8881	0.8474
37.292	0.97766	0.8814
37.564	7.5531	-17.171
38.013	1.3682	-17.124
37.979	7.2152	-31.905
38.853	1.8196	-31.843
