level_0	level_1	frames = 134 markers = 13 Hz = 30
-39.63	3.9688	-34.049419825487945
-39.391	11.141	-26.296419825487945
-39.063	-3.7714	-26.960419825487943
-39.462	13.216	-12.044419825487944
-37.121	-6.213	-12.910419825487944
-39.483	14.481	-3.1616198254879424
-35.925	-7.6953	-4.153519825487941
-38.621	6.207	-5.503219825487942
-38.377	-0.75165	-5.508519825487942
-38.747	7.0042	12.753580174512056
-40.766	-0.69869	12.612580174512056
-42.705	7.2708	27.401580174512056
-42.729	-0.63377	27.664580174512057
-39.659	3.9869	-34.04741982548794
-39.499	11.148	-26.282419825487942
-39.155	-3.759	-26.952419825487944
-39.531	13.258	-12.035419825487944
-37.102	-6.1803	-12.915419825487943
-39.527	14.545	-3.1555198254879424
-35.837	-7.6505	-4.165719825487942
-38.653	6.2427	-5.502319825487942
-38.409	-0.71596	-5.514919825487942
-38.702	7.0297	12.755580174512057
-40.636	-0.75478	12.626580174512057
-42.7	7.2695	27.392580174512055
-42.729	-0.62569	27.660580174512056
-39.684	3.9804	-34.05141982548794
-39.586	11.134	-26.273419825487945
-38.817	-3.765	-27.010419825487944
-39.591	13.268	-12.029419825487944
-36.939	-6.1515	-12.942419825487944
-39.571	14.571	-3.1518198254879426
-35.785	-7.6001	-4.173919825487942
-38.696	6.2683	-5.493819825487941
-38.463	-0.6907	-5.532419825487942
-38.714	7.0423	12.764580174512057
-40.66	-0.74309	12.612580174512056
-42.709	7.2745	27.402580174512057
-42.727	-0.62501	27.650580174512058
-39.712	3.9876	-34.05341982548794
-39.676	11.148	-26.270419825487945
-38.882	-3.7483	-26.999419825487944
-39.653	13.291	-12.028419825487944
-36.944	-6.128	-12.938419825487944
-39.614	14.599	-3.1516198254879426
-35.753	-7.5726	-4.174519825487942
-38.736	6.2871	-5.4964198254879415
-38.473	-0.67073	-5.5425198254879415
-38.719	7.0723	12.761580174512057
-40.665	-0.73754	12.602580174512056
-42.716	7.2891	27.399580174512057
-42.728	-0.63249	27.641580174512058
-39.723	4.0111	-34.055419825487945
-39.75	11.179	-26.279419825487942
-38.937	-3.7204	-27.015419825487943
-39.713	13.324	-12.037419825487943
-36.992	-6.0665	-12.949419825487944
-39.664	14.632	-3.1605198254879427
-35.797	-7.4903	-4.182819825487941
-38.801	6.3135	-5.497019825487942
-38.532	-0.64407	-5.547419825487942
-38.727	7.0947	12.761580174512057
-40.694	-0.72653	12.601580174512057
-42.716	7.2954	27.401580174512056
-42.731	-0.63616	27.643580174512056
-39.718	4.0345	-34.06841982548794
-39.8	11.206	-26.302419825487945
-39.606	-3.6895	-26.964419825487944
-39.765	13.343	-12.059419825487943
-37.306	-5.9965	-12.946419825487943
-39.718	14.646	-3.1821198254879426
-35.889	-7.3955	-4.209119825487941
-38.863	6.3318	-5.499819825487942
-38.587	-0.62547	-5.561019825487942
-38.72	7.0246	12.761580174512057
-40.718	-0.7173	12.591580174512057
-42.69	7.1372	27.406580174512058
-42.731	-0.6336	27.637580174512056
-39.707	4.0563	-34.083419825487944
-39.841	11.235	-26.322419825487945
-39.618	-3.6601	-26.991419825487945
-39.816	13.364	-12.078419825487943
-37.393	-5.9194	-12.953419825487943
-39.774	14.662	-3.200119825487943
-36.022	-7.2886	-4.203819825487941
-38.928	6.3582	-5.504219825487942
-38.705	-0.60081	-5.5730198254879415
-38.728	7.0238	12.757580174512057
-40.772	-0.70572	12.586580174512056
-42.687	7.1319	27.406580174512058
-42.731	-0.63119	27.639580174512055
-39.696	4.1043	-34.08741982548794
-39.892	11.285	-26.343419825487942
-39.607	-3.6111	-26.995419825487943
-39.872	13.386	-12.094419825487943
-37.462	-5.8656	-12.943419825487943
-39.836	14.667	-3.214219825487943
-36.142	-7.2319	-4.186319825487942
-38.98	6.372	-5.507719825487942
-38.776	-0.58758	-5.576719825487942
-38.736	7.0363	12.753580174512056
-40.8	-0.69564	12.587580174512057
-42.686	7.1433	27.404580174512056
-42.724	-0.62325	27.645580174512055
-39.676	4.132	-34.09941982548794
-39.952	11.316	-26.365419825487944
-39.614	-3.5803	-27.015419825487943
-39.93	13.417	-12.117419825487943
-37.563	-5.8555	-12.953419825487943
-39.892	14.698	-3.2366198254879426
-36.3	-7.2337	-4.189419825487942
-39.023	6.3826	-5.513419825487942
-38.844	-0.57767	-5.587319825487942
-38.743	7.0329	12.747580174512056
-40.832	-0.69079	12.581580174512057
-42.687	7.1359	27.400580174512058
-42.725	-0.62182	27.642580174512055
-39.656	4.1451	-34.116419825487945
-39.998	11.328	-26.377419825487944
-39.634	-3.564	-27.037419825487945
-39.986	13.433	-12.129419825487943
-37.688	-5.8741	-12.965419825487944
-39.955	14.717	-3.2496198254879425
-36.49	-7.2741	-4.195919825487942
-39.075	6.3919	-5.516519825487942
-38.916	-0.56868	-5.607819825487942
-38.754	7.0347	12.744580174512057
-40.865	-0.68966	12.564580174512056
-42.686	7.141	27.400580174512058
-42.725	-0.62655	27.630580174512055
-39.677	4.1395	-34.125419825487946
-40.04	11.322	-26.388419825487944
-39.7	-3.5701	-27.051419825487944
-40.042	13.446	-12.143419825487943
-37.857	-5.9399	-12.975419825487943
-40.018	14.743	-3.2651198254879428
-36.724	-7.3779	-4.203619825487942
-39.104	6.4248	-5.518719825487942
-38.836	-0.53209	-5.632819825487942
-38.757	7.0856	12.740580174512056
-40.826	-0.66691	12.535580174512056
-42.682	7.1404	27.399580174512057
-42.719	-0.62023	27.597580174512057
-39.68	4.1477	-34.12641982548794
-40.061	11.322	-26.389419825487945
-39.741	-3.5679	-27.064419825487942
-40.087	13.461	-12.146419825487943
-38.024	-6.0032	-12.984419825487944
-40.08	14.767	-3.2690198254879426
-36.968	-7.4819	-4.209619825487942
-39.144	6.4518	-5.515619825487942
-38.877	-0.50506	-5.636019825487942
-38.765	7.0965	12.743580174512056
-40.843	-0.65463	12.534580174512056
-42.686	7.1393	27.402580174512057
-42.719	-0.61826	27.59858017451206
-39.677	4.1673	-34.128419825487946
-40.072	11.35	-26.389419825487945
-39.791	-3.5403	-27.075419825487945
-40.126	13.496	-12.147419825487944
-38.207	-6.083	-12.999419825487944
-40.135	14.805	-3.271019825487943
-37.234	-7.6286	-4.225719825487942
-39.178	6.4605	-5.5185198254879415
