		frames = 210 markers = 13 Hz = 30
34.585	3.5959	-29.781
35.312	10.427	9.4399
33.757	-5.556	3.6538
34.407	1.2365	3.627
33.888	-5.6605	3.6405
35.573	-5.3545	-13.848
31.102	-13.039	0.93939
34.599	3.5833	-30.011
34.599	-4.9154	-29.32
31.169	-13.12	1.0296
31.963	-12.947	9.2835
33.224	-10.683	23.685
33.768	-5.5856	3.6358
33.904	5.995	23.33
31.109	-13.158	1.0216
31.935	11.036	1.4514
33.915	-5.6866	3.6473
34.015	-5.3223	-14.306
34.955	10.185	1.4878
33.463	-8.7873	23.568
34.081	-6.1906	-14.341
34.264	6.0255	23.299
35.793	-4.8438	-13.804
36.67	9.3541	9.7491
31.925	-11.448	9.2749
31.946	-12.208	9.3116
34.502	-4.9707	-29.896
30.027	-5.5624	23.549
27.876	3.9124	22.429
34.233	5.066	3.4776
32.093	-11.72	9.3194
34.385	3.9086	-14.439
34.486	3.8719	-30.058
34.586	3.5868	-30.008
34.143	2.4228	-14.158
33.448	3.2226	3.6003
34.575	3.5499	3.5259
34.616	3.5825	-29.903
34.503	-4.9741	-29.91
34.189	-7.3494	3.6767
34.228	2.7321	-14.273
34.603	3.592	-29.867
33.974	2.3821	3.6168
34.794	0.83057	3.6189
32.282	-11.491	9.4015
31.832	-7.825	23.593
34.501	-4.9804	-29.909
34.507	-4.9904	-29.901
32.218	10.949	1.3903
34.074	-5.3674	-14.315
34.112	1.7726	3.6586
31.991	10.964	1.428
34.522	-4.9947	-29.955
34.592	-5.1755	-29.872
34.026	4.2628	-14.481
33.704	-6.0405	3.6022
34.607	3.5856	-29.966
34.563	-10.343	1.6435
35.115	10.29	9.5049
36.197	-2.822	4.1356
24.972	8.252	20.564
32.732	-2.8156	31.421
31.321	-14.295	0.90029
34.642	-5.1702	-29.425
34.196	-6.2201	-14.296
34.595	3.672	-29.956
32.724	-1.7818	31.423
34.001	4.1559	-14.487
32.235	-1.4626	31.373
34.806	10.404	9.4507
34.055	2.7676	3.5895
31.1	-13.031	0.92799
34.159	-6.2433	-14.336
33.993	3.8315	-14.403
28.871	1.354	30.787
34.154	3.2097	-14.36
33.037	11.227	1.291
32.772	-1.5013	31.428
31.849	-0.98822	31.404
34.061	-4.867	3.7464
34.016	-7.4795	3.6029
33.983	-5.3099	-14.328
15.232	3.7018	7.6864
34.505	-4.9811	-29.917
33.966	2.6773	3.5979
32.199	-11.47	9.3892
34.169	5.9467	23.305
34.647	9.9507	1.5777
35.867	-10.058	10.221
36.341	-11.296	1.8527
34.885	-5.9353	-13.993
34.885	10.239	9.4791
19.755	14.666	8.725
31.194	-13.106	0.95309
33.688	-8.6124	23.691
33.917	-5.4187	-14.329
34.761	-4.3456	-13.886
34.499	-4.9738	-29.914
32.353	-1.9235	31.403
34.502	-4.9716	-29.897
34.72	10.299	9.4489
32.835	-10.741	23.622
34.161	5.9351	23.31
34.647	10.921	1.6449
34.219	6.0147	23.284
34.502	-4.9769	-29.894
34.007	2.7565	3.5963
33.64	-5.0103	3.6235
37.478	-4.2243	4.0883
34.213	3.1948	-14.361
31.506	-14.361	0.90779
35.72	10.41	9.5243
34.057	-5.3568	-14.318
31.542	-13.239	0.92189
35.71	10.38	9.5492
32.484	-2.1318	31.412
31.765	-11.564	9.3163
32.028	-11.523	9.3453
34.247	3.1961	-14.362
32.5	11.007	1.4228
34.596	3.5872	-30.002
31.903	-12.624	9.3283
35.12	10.278	9.5055
34.047	5.8297	23.375
30.205	-14.663	1.0757
28.42	8.1944	22.096
33.806	4.4859	3.4728
29.293	-14.991	1.2947
25.36	-1.3311	29.068
31.368	-14.292	0.96539
30.653	-5.3992	24.008
33.705	-6.3339	3.5901
34.806	-4.1628	3.956
34.039	5.5373	23.431
37.469	11.934	2.7966
20.997	14.509	9.0617
25.651	-2.2889	28.935
34.074	-5.3731	-14.309
31.104	-5.4836	24.144
33.171	-1.7353	31.431
36.302	10.587	2.1821
34.19	3.2274	-14.403
34.594	3.5787	-29.965
33.551	0.9447	3.7131
34.602	3.6153	-29.862
33.781	-5.1029	-14.368
31.314	-13.144	0.94299
33.687	-8.6254	23.687
35.106	-4.047	-13.752
35.279	-3.9668	-13.748
34.495	3.8494	-30.081
34.598	-4.5345	-13.951
34.855	-4.0762	3.985
34.498	-4.9742	-29.939
32.285	-14.441	9.336
34.504	-4.9706	-29.915
22.121	11.962	9.9558
33.376	-10.453	23.649
34.589	-4.9075	-29.328
26.727	-2.7892	29.505
34.56	2.3732	-14.213
33.306	9.9493	9.0979
33.776	-5.0924	-14.363
34.495	3.8656	-30.075
31.262	-14.278	0.94059
34.573	-5.0396	-29.959
32.436	11.052	1.4643
33.79	-4.9429	3.6647
33.043	11.436	1.4353
33.777	-5.5823	3.6358
32.996	11.252	1.327
33.941	2.6651	-14.229
32.633	-1.4278	31.419
33.727	3.8583	3.5582
33.987	-5.3052	-14.303
33.396	1.2865	3.7298
33.236	-8.7285	23.578
26.137	-2.6212	29.195
34.083	2.1518	3.6296
32.217	-11.648	9.2697
34.593	3.689	-29.891
34.004	2.7426	3.5965
33.905	2.5194	-14.22
32.606	-3.314	31.378
32.508	-8.5493	23.621
32.145	-11.479	9.3701
33.728	0.95989	3.7262
30.787	-13.076	0.99759
32.854	-1.5002	31.427
34.585	-5.0807	-29.872
33.776	-5.5796	3.643
31.218	-6.4626	23.573
34.336	0.86951	3.7187
33.753	-5.5635	3.6536
33.604	-9.5554	23.565
34.075	3.2093	-14.405
32.208	-11.664	9.274
33.331	-9.4214	24.002
31.956	-5.7681	24.273
31.766	-5.68	24.247
25.485	-1.8924	28.947
35.674	10.421	9.4486
33.331	11.452	1.4607
34.586	3.5969	-29.999
25.182	0.04608	29.186
34.568	-4.9767	-29.451
37.713	8.2756	9.6964
30.92	-13.9	1.0292
34.589	3.5934	-29.992
34.594	3.5819	-30.004
31.402	-6.9023	23.569
32.714	11.29	1.3848
29.368	1.1843	30.916
33.032	9.6647	9.1577
30.817	-13.125	1.0127
33.759	-5.5762	3.6393
32.226	-11.466	9.3976
30.851	-13.148	1.0131
31.504	-11.743	1.6997
33.766	-5.5757	3.643
31.152	-0.32464	31.337
33.284	-5.0814	3.59
32.09	-11.648	9.2828
37.087	8.6107	9.6096
35.002	10.796	1.5676
33.974	5.8131	23.354
31.594	-13.308	0.91349
33.492	3.4086	3.6457
33.889	5.7969	23.38
33.83	-5.1355	-14.37
33.583	-9.2475	23.584
34.607	3.5723	-29.882
33.446	-8.9211	23.626
34.177	3.2567	-14.36
34.581	-5.0366	-29.892
30.059	-11.814	1.0394
24.271	3.4604	20.586
35.162	10.65	1.5388
34.503	-4.9719	-29.893
28.35	11.665	9.3421
31.828	-12.478	9.3082
35.562	10.36	9.3614
34.234	3.194	-14.36
31.796	-14.891	9.5832
34.133	2.6301	3.5945
34.064	-6.1488	-14.328
33.909	-5.6949	3.6439
34.614	3.5886	-29.964
31.686	-10.257	1.8154
35.954	10.272	9.8239
34.013	-5.3016	-14.3
33.992	5.8212	23.346
34.46	2.4722	-14.297
34.28	4.9764	23.465
34.513	-4.9798	-29.905
34.223	2.8553	-14.29
35.702	10.346	9.7397
15.273	6.1655	7.6943
33.413	3.2349	3.5935
34.536	-4.9981	-29.917
33.751	-5.5574	3.6555
9.5544	-2.5447	7.8387
33.798	4.3699	3.4663
34.582	3.5879	-30.01
31.476	-13.131	1.0888
34.573	-4.9903	-29.479
35.057	10.293	9.5009
33.911	-5.6954	3.6437
34.164	-6.2502	-14.337
34.2	3.2593	-14.367
34.571	3.565	-29.864
33.47	-8.7576	23.619
34.062	-5.3677	-14.314
34.588	3.6754	-29.96
34.101	5.8852	23.326
34.152	2.6412	3.5859
30.493	-11.906	1.2956
34.612	-5.1643	-29.532
31.729	-0.78761	31.426
33.991	-5.7102	-14.36
33.276	-1.6377	31.366
34.07	-5.3754	-14.311
34.59	-5.1665	-29.816
34.037	2.2726	3.627
33.957	2.7197	3.5928
34.591	3.5492	-30.006
32.983	11.344	1.4172
25.404	-1.5401	29.029
34.508	-4.9809	-29.905
34.919	-15.641	1.2006
34.11	-7.3745	3.6286
34.57	-5.0602	-29.784
33.462	-9.7543	10.115
29.883	-11.796	0.92919
32.794	-1.623	31.431
34.146	3.2106	-14.357
33.91	2.5549	-14.202
32.136	-5.8527	24.256
34.077	3.228	-14.407
34.54	3.724	-29.891
34.64	4.2259	23.372
33.829	-5.5553	3.6579
32.582	-1.4163	31.413
33.892	-5.3493	-14.326
33.486	-8.8971	23.597
34.598	3.5838	-30.006
37.334	11.676	2.6845
32.721	-1.481	31.427
27.752	8.38	21.78
28.247	10.56	1.4122
34.833	-4.2607	-13.842
34.552	2.4129	-14.289
32.447	-8.0847	23.701
35.073	-4.0776	-13.761
33.739	-8.8676	23.574
34.5	3.8541	-30.073
33.814	-5.6103	3.6493
34.588	3.6703	-29.959
33.878	-7.411	3.5779
30.946	-13.195	1.009
32.263	-1.401	31.377
35.802	-4.6616	-13.79
37.065	-11.095	10.512
35.011	10.415	9.433
34.506	-4.9762	-29.915
32.87	-3.1236	31.419
31.514	-10.34	1.8551
34.586	-5.103	-29.866
32.152	-1.5416	31.363
34.47	2.3559	-14.235
33.974	5.765	23.374
34.048	2.7395	3.5588
24.088	7.337	20.289
31.465	-14.373	0.90879
34.174	3.2561	-14.383
32.052	-11.509	9.347
25.153	8.4574	20.66
34.227	4.5595	-14.46
34.147	1.635	3.6564
31.441	-13.081	1.0711
33.933	5.7966	23.369
35.674	10.43	9.4585
12.885	10.051	8.3189
33.896	-5.6771	3.6458
32.505	-7.6091	23.959
