level_0	level_1	frames = 114 markers = 13 Hz = 30
38.697	4.8956	29.965
39.382	12.417	22.311
40.219	-2.4386	22.825
39.094	14.201	8.0854
38.905	-4.8289	8.7568
38.882	15.382	-1.6035
38.021	-6.4159	-0.82428
39.297	7.5949	1.5758
39.593	0.65881	1.5805
38.439	7.7738	-16.716
40.336	0.55485	-16.72
40.913	7.2841	-31.446
40.925	0.49242	-31.659
38.547	4.9238	29.953
39.339	12.469	22.304
40.21	-2.383	22.832
39.063	14.234	8.0752
38.89	-4.789	8.7677
38.854	15.398	-1.6158
38.001	-6.3867	-0.81128
39.276	7.6443	1.5724
39.602	0.7094	1.5786
38.383	7.813	-16.718
40.183	0.52099	-16.727
40.91	7.2905	-31.438
40.918	0.49476	-31.66
38.362	4.9764	29.939
39.279	12.521	22.288
40.207	-2.3215	22.828
39.027	14.283	8.0585
38.885	-4.7389	8.7658
38.823	15.435	-1.634
37.994	-6.3442	-0.81158
39.249	7.6969	1.5625
39.601	0.76326	1.5795
38.362	7.8374	-16.729
40.182	0.54716	-16.726
40.915	7.2964	-31.443
40.918	0.49889	-31.658
38.153	5.0063	29.914
39.205	12.583	22.277
40.192	-2.2539	22.82
39.009	14.375	8.0504
38.874	-4.6817	8.7591
38.817	15.522	-1.643
37.986	-6.2941	-0.81748
39.21	7.7576	1.5539
39.594	0.8257	1.5755
38.33	7.8646	-16.738
40.178	0.57565	-16.729
40.92	7.3004	-31.445
40.915	0.5005	-31.662
37.914	5.0316	29.878
39.142	12.659	22.245
40.179	-2.1649	22.818
39.036	14.535	8.0279
38.87	-4.6051	8.7586
38.857	15.693	-1.6645
37.988	-6.226	-0.81718
39.169	7.8151	1.5425
39.572	0.88435	1.5797
38.295	7.8928	-16.75
40.172	0.60754	-16.724
40.922	7.2992	-31.449
40.916	0.50829	-31.656
37.741	5.1228	29.852
39.031	12.774	22.193
40.136	-2.0367	22.803
38.982	14.66	7.9774
38.857	-4.5148	8.7473
38.77	15.758	-1.7213
37.995	-6.1607	-0.82598
39.124	7.8801	1.5343
39.55	0.95076	1.5808
38.258	7.9238	-16.758
40.157	0.64107	-16.722
40.926	7.2982	-31.449
40.912	0.51747	-31.653
37.539	5.1494	29.811
38.911	12.855	22.178
40.095	-1.948	22.79
38.95	14.788	7.9685
38.894	-4.4422	8.7303
38.722	15.845	-1.7342
38.086	-6.0998	-0.84578
39.071	7.9476	1.5203
39.527	1.0202	1.5731
38.218	7.9551	-16.773
40.149	0.67323	-16.729
40.931	7.2985	-31.454
40.913	0.51843	-31.659
37.306	5.1907	29.778
38.774	12.931	22.124
40.023	-1.8413	22.74
38.881	14.934	7.9245
38.872	-4.3639	8.6813
38.65	15.993	-1.7784
38.097	-6.0401	-0.89418
39.023	8.0212	1.5138
39.511	1.0959	1.5744
38.177	7.9855	-16.78
40.139	0.71571	-16.727
40.928	7.2929	-31.452
