level_0	level_1	frames = 169 markers = 13 Hz = 30
35.32	-1.8647	31.15
35.659	4.6829	23.835
34.692	-8.6938	24.533
36.109	7.8092	9.4788
33.77	-10.749	10.018
36.377	9.8114	0.15067
33.192	-12.048	0.59177
35.437	1.2337	2.8723
34.607	-5.0612	2.8769
32.41	3.4151	-15.142
35.522	-4.2895	-15.483
37.491	3.5977	-29.617
36.764	-3.4385	-30.757
35.259	-2.0183	31.158
35.645	4.5388	23.844
34.607	-8.8316	24.508
36.162	7.6868	9.4949
33.622	-10.831	9.9895
36.47	9.7057	0.17167
33.005	-12.093	0.56107
35.451	1.1045	2.8892
34.62	-5.1902	2.8727
32.425	3.3292	-15.12
35.283	-4.4353	-15.499
37.525	3.6595	-29.587
36.764	-3.4434	-30.743
35.195	-2.1183	31.166
35.624	4.4361	23.838
34.535	-8.9301	24.507
36.212	7.5927	9.4935
33.508	-10.891	9.9863
36.566	9.6172	0.17307
32.864	-12.129	0.55637
35.444	0.97626	2.919
34.674	-5.3258	2.8489
32.447	3.3127	-15.081
35.253	-4.5173	-15.523
37.655	3.7764	-29.506
36.765	-3.4364	-30.758
35.125	-2.2169	31.175
35.613	4.3079	23.813
34.481	-9.0508	24.521
36.252	7.4854	9.4757
33.416	-10.954	9.9947
36.64	9.5239	0.15957
32.749	-12.155	0.56167
35.384	0.92164	2.9306
34.65	-5.3849	2.843
32.528	3.3993	-15.074
35.154	-4.5769	-15.531
37.735	3.7519	-29.504
36.764	-3.4349	-30.751
35.069	-2.2518	31.219
35.598	4.2639	23.849
34.45	-9.0922	24.543
36.271	7.4254	9.5087
33.361	-10.986	10.018
36.68	9.4538	0.19137
32.678	-12.181	0.58537
35.31	0.89279	3.0047
34.624	-5.4176	2.8402
32.563	3.3833	-15.015
35.023	-4.6342	-15.537
37.69	3.9503	-29.468
36.755	-3.4311	-30.739
35.023	-2.2579	31.245
35.583	4.2452	23.864
34.46	-9.1115	24.559
36.215	7.4075	9.523
33.342	-11.01	10.037
36.598	9.4367	0.20447
32.64	-12.208	0.60607
35.225	0.88204	3.0461
34.582	-5.4308	2.8379
32.404	2.663	-15.046
34.869	-4.6962	-15.543
37.219	3.1744	-29.607
36.748	-3.4415	-30.724
34.977	-2.2587	31.246
35.568	4.2419	23.857
34.481	-9.1174	24.551
36.174	7.3752	9.5082
33.353	-11.047	10.033
36.536	9.3851	0.18467
