		frames = 253 markers = 13 Hz = 30
-40.477	4.6525	-31.028
-33.252	5.171	-14.977
-38.219	-3.5482	-15.555
-31.018	22.669	23.009
-37.673	-0.12166	30.493
-6.6798	15.737	-12.619
-5.4902	-14.138	-17.455
-38.123	-3.6563	-15.568
-37.723	-8.6102	9.8525
-25.357	1.7131	-15.626
-16.588	-2.4427	-15.732
-20.32	0.94255	-30.717
-39.946	0.55847	30.945
-30.588	10.09	-15.734
-54.942	13.1	2.0739
-31.638	9.2487	-15.459
-8.4955	-13.695	0.55886
-40.527	9.5448	9.8797
-20.332	0.91659	-30.763
-33.928	4.8634	-15.253
-31.033	-4.8001	0.37196
-21.762	9.161	28.046
-37.388	8.3182	10.012
-37.544	8.6569	10.14
-39.867	3.2463	2.7398
-36.532	16.18	0.32416
-50.94	18.129	7.7542
-37.328	6.9903	23.764
-38.147	-3.5021	-15.553
-43.656	6.2297	23.213
-34.19	-10.14	0.46516
-34.612	-10.279	0.29546
-41.493	10.187	-0.0064366
-6.2778	-13.151	-15.376
-37.713	-3.9131	-15.644
-28.314	3.2528	1.1494
-39.796	-6.754	23.961
-49.555	20.371	6.8728
-8.2691	14.144	-6.1911
-39.077	-3.7057	2.6841
-37.021	10.664	-29.869
-41.152	-2.6028	-30.961
-24.556	21.145	-3.0776
-38.728	-7.4983	23.848
-40.763	10.042	9.9212
-29.073	6.832	23.948
-0.31384	1.4298	2.4408
-10.927	-15.187	-7.8458
-4.9077	-6.3296	-0.66344
-40.659	11.477	0.31096
-27.477	-1.1462	10.68
-7.4855	8.2447	3.5888
-36.053	10.115	23.774
-35.491	3.0356	3.0273
-28.702	-4.5498	10.581
-37.109	7.5433	23.743
-29.016	13.362	22.63
-38.125	-8.3611	9.902
-28.83	9.0159	-16.072
-39.107	-3.4287	2.6937
-11.279	10.252	11.323
-38.645	8.4064	-30.101
-4.3366	-13.406	-20.983
-33.248	20.486	23.332
-35.863	-9.6504	9.9824
-37.489	-9.181	0.31776
-36.84	-4.5596	2.6279
-45.759	7.1695	10.101
-38.978	4.4626	-15.597
-35.736	-9.4018	10.04
-34.709	-3.6725	24.066
-20.353	1.0068	-31.181
-40.763	2.3389	2.7797
-33.939	-2.9152	24.007
-37.207	10.813	0.58526
-28.836	7.7155	-15.395
-28.837	6.1376	23.9
-38.02	5.0943	-15.584
-38.236	-0.65753	-30.914
-25.646	-4.2842	0.40396
-13.372	-14.702	-4.6883
-39.561	-6.8623	23.872
-37.322	-8.3411	23.925
-37.396	10.336	-30.326
-31.338	-1.2752	24.068
-32.962	8.6861	2.3869
-16.205	6.1159	25.764
-35.572	7.7045	-30.404
-39.637	3.7385	2.7353
-45.64	9.3072	0.41166
-15.896	-6.2948	9.2952
-43.369	7.6134	22.93
-6.834	-16.174	-10.176
-35.127	3.9416	3.4086
-38.063	11.606	-29.797
-35.605	7.5304	-30.516
-20.115	20.305	1.7175
-37.187	19.442	20.444
-28.138	3.0692	1.1172
-37.694	-8.523	10.105
-37.338	10.628	0.52276
-31.538	8.9034	-15.926
-35.976	12.877	-14.919
-50.642	23.338	-2.3253
-23.351	-11.425	1.279
-1.0878	-0.1423	2.1564
-36.106	12.133	-14.739
-35.649	-9.9008	9.9739
-35.565	7.2909	-30.637
-40.244	2.6465	2.7454
-35.332	-3.1277	-15.669
-39.082	-3.7632	2.6775
-41.163	-2.6321	-30.934
-39.702	11.387	0.27036
-38.731	5.1998	-15.203
-40.734	11.549	0.32826
-40.46	4.5913	-31.087
-37.499	-9.2112	0.38246
-34.918	-6.3893	23.426
-38.301	-0.64417	-30.899
-41.174	-2.6492	-30.922
-34.507	-9.2492	9.7789
-36.833	-9.5754	0.18746
-40.171	2.7908	2.7452
-41.16	-2.6418	-30.931
-36.92	7.9572	10.015
-50.223	23.459	-1.8242
-40.495	7.6456	23.778
-38.857	-0.00042544	30.835
-38.685	11.458	0.34786
-40.724	11.66	0.28486
-25.838	-4.1707	0.46476
-43.177	4.4241	23.688
-40.592	21.385	7.0822
-11.94	-3.4751	15.185
-39.483	-2.7768	2.7976
-23.174	12.122	8.8551
-8.9574	15.432	-7.8996
-0.083939	0.55149	1.1847
-31.603	-7.8327	9.9036
-7.1951	15.433	-12.008
-36.464	5.1993	29.26
-20.67	19.483	5.3487
-50.775	17.69	8.0047
-4.9292	-5.4413	2.0882
-15.111	17.331	4.038
-40.425	4.5152	-31.104
-8.9004	-14.362	-4.0311
-41.05	5.3073	2.2663
-25.925	-10.18	1.6164
-32.788	-1.8955	23.425
-38.297	-0.62087	-30.892
-41.138	-2.7256	-30.839
-54.625	14.224	1.8428
-39.587	-3.0729	2.7666
-30.221	17.215	28.009
-38.258	-8.2846	9.9159
-23.856	18.561	-1.1322
-28.482	14.92	21.022
-31.895	-4.2097	10.127
-10.546	4.9441	22.17
-39.679	3.6432	2.7285
-35.881	-10.17	0.29096
-36.299	6.0889	29.047
-39.572	4.1492	2.7187
-37.596	-8.5999	10.086
-29.703	15.917	28.366
-38.478	-1.328	-15.157
-33.62	8.7188	2.4609
-18.232	-1.5763	-15.578
-17.777	-1.7711	-15.653
-30.766	-1.0157	24.059
-37.827	5.3263	-15.559
-29.338	9.8764	-16.089
-38.915	-7.2205	23.886
-25.867	-5.6359	10.57
-37.84	5.5036	23.839
-37.321	10.522	-30.4
-46.866	23.791	-0.47214
-16.228	17.461	4.9069
-12.467	16.745	0.52976
-25.744	1.8536	-15.448
-33.975	15.105	0.77266
-37.475	10.352	-30.354
-19.213	-0.61092	21.694
-14.996	-7.3325	8.6428
-5.5532	-15.485	-7.7697
-24.481	20.799	-2.4287
-42.187	13.487	21.025
-24.628	21.177	-3.3097
-42.044	11.687	0.29046
-42.744	10.107	0.063763
-40.489	4.6687	-31.029
-33.046	13.989	0.92416
-40.222	7.4132	2.56
-40.634	6.2054	2.4108
-27.126	-2.8448	1.5047
-37.944	11.352	-30.031
-34.65	-8.6789	10.423
-6.4661	-4.2113	7.9748
-47.787	6.9264	10.5
-37.223	16.246	0.18486
-25.562	2.2424	0.75516
-39.713	0.47011	30.934
-38.251	-3.4618	2.5173
-37.945	11.525	-29.65
-35.277	-9.3508	10.255
-40.96	6.4758	23.64
-38.76	-7.4723	23.846
-39.943	3.9095	-15.623
-36.206	11.919	-14.737
-39.741	0.73589	30.928
-54.205	15.323	1.648
-4.868	-5.7914	0.84396
-37.125	10.358	-30.366
-40.456	4.5758	-31.094
-40.498	4.7155	-31.051
-47.518	9.0552	0.66436
-38.124	-0.81209	31.033
-32.627	14.233	-15.746
-15.63	-2.2882	-16.003
-28.695	3.6089	1.3392
-38.879	-7.3699	23.841
-23.911	-4.8348	0.55226
-40.675	9.5832	9.9131
-23.205	21.337	-1.5682
-23.275	13.145	8.2359
-39.755	4.3171	2.7067
-37.814	5.3498	-15.556
-24.125	0.80819	-15.828
-42.156	10.231	0.062663
-33.942	16.321	9.6689
-39.085	-3.8314	2.6781
-37.737	11.384	-29.751
-26.544	-3.5358	0.70216
-32.527	-6.1204	10.618
-27.741	0.14948	2.3364
-40.258	7.2726	23.806
-38.078	5.7144	23.816
-41.85	2.57	2.5694
-25.68	-2.4248	2.0806
-40.486	4.4609	-31.322
-40.449	4.5527	-31.104
-36.996	-9.0349	9.9557
-40.201	7.679	2.5564
-40.564	6.701	23.714
-37.086	0.90506	30.112
-41.355	10.262	-0.028937
-28.372	2.6854	2.0736
-41.179	-2.9274	-30.741
-39.467	-3.0727	2.7536
-35.156	-2.5591	-15.647
-39.423	-3.0439	2.778
-9.0269	16.139	-7.2902
-37.079	10.344	-30.349
-6.9412	15.439	-12.191
-38.685	11.487	0.35536
-34.746	-10.732	0.27516
-24.482	-4.3572	0.48206
-33.998	-10.024	0.54636
-37.26	10.818	0.60496
-37.134	10.442	-30.304
-0.88154	-0.093295	1.7806
-40.01	3.8727	-15.624
-39.658	4.2296	2.7095
-40.257	7.5794	23.826
-37.074	-8.8202	9.9885
-37.828	-0.10619	30.937
-15.992	18.188	0.95536
-34.171	21.842	7.4149
-27.292	20.784	-0.39354
-6.8329	8.0462	2.0389
-51.706	8.5651	1.4454
-39.536	4.0406	2.7255
-41.283	3.8935	2.1545
-28.574	6.9495	30.171
-6.3334	6.6681	0.58916
-48.623	19.469	7.8651
-34.347	4.8589	-15.233
-37.741	-0.12	30.581
-34.345	-10.202	0.40096
-38.316	-0.33624	-14.884
-40.212	-1.5198	-30.037
-8.2704	-14.997	-12.295
-39.606	3.7816	2.7094
-35.565	7.5423	-30.464
-40.524	4.4917	-31.319
-30.492	13.317	23.017
-5.2731	6.429	-1.5997
-35.66	-10.015	0.34616
-38.338	-0.62385	-14.812
-5.8737	-15.624	-11.584
-35.615	7.4971	-30.561
-28.338	0.96261	-30.157
-30.83	6.4458	1.9446
-3.0502	1.2132	8.5468
-27.567	13.48	21.651
-35.477	2.6116	3.0675
-38.348	-8.2254	9.941
-21.637	20.982	1.7236
-40.847	11.478	0.31546
-23.857	17.092	6.2569
-34.797	4.0721	3.3403
-6.2117	-15.718	-11.678
-41.166	-2.6492	-30.919
-11.771	10.091	12.94
-5.155	-13.892	-18.225
-20.271	0.94559	-30.991
-25.381	2.4288	0.75766
-38.372	-1.4867	-15.237
-23.824	18.056	5.4076
-39.124	-4.188	2.6656
-24.513	1.8216	23.398
-32.967	1.4861	2.7456
-40.5	4.4706	-31.327
-33.712	4.0603	2.9943
-24.378	20.49	-2.1472
-37.46	10.365	-30.475
-51.001	18.979	7.4168
-18.16	-2.9964	3.5065
-13.227	16.906	1.7756
-4.8915	-5.6104	1.4143
