level_0	level_1	frames = 139 markers = 13 Hz = 30
49.696	1.0336	-25.77584302379635
53.052	-5.7441	-18.784843023796352
52.152	8.0086	-18.200843023796352
52.824	-7.7997	-5.702343023796349
51.909	10.233	-5.155743023796349
52.674	-8.9593	1.8685569762036502
51.769	11.489	2.3919569762036503
53.039	-2.286	1.3663569762036505
52.862	5.382	1.3623569762036505
52.978	-1.3262	18.00915697620365
54.196	4.4514	17.955156976203646
55.394	-0.31942	31.720156976203647
55.305	3.6483	31.85515697620365
49.566	1.0122	-25.77884302379635
52.942	-5.7545	-18.765843023796354
52.002	7.9936	-18.21184302379635
52.73	-7.8488	-5.688943023796349
52.034	10.183	-5.1590430237963485
52.59	-9.0312	1.8784569762036503
52.019	11.399	2.3962569762036505
53.019	-2.3275	1.3683569762036505
52.845	5.3407	1.3493569762036504
53.134	-1.3435	18.00915697620365
54.036	4.4479	17.955156976203646
55.4	-0.30314	31.743156976203647
55.297	3.6504	31.842156976203647
49.677	0.8828	-25.794843023796354
52.764	-5.9171	-18.81884302379635
51.896	7.8381	-18.204843023796354
52.61	-7.9378	-5.729043023796349
52.116	10.177	-5.179343023796349
52.504	-9.0773	1.8454569762036503
52.132	11.439	2.36875697620365
52.766	-2.2921	1.3320569762036505
52.785	5.3779	1.3323569762036505
52.906	-1.2314	17.968156976203648
54.006	4.4716	17.935156976203647
55.213	-0.17879	31.694156976203647
55.29	3.6563	31.819156976203647
49.591	0.80248	-25.796843023796352
52.607	-5.9847	-18.825843023796352
51.748	7.7919	-18.29584302379635
52.472	-8.0272	-5.7394430237963485
52.139	10.208	-5.288643023796348
52.376	-9.1792	1.8331569762036504
52.056	11.413	2.2686569762036504
52.763	-2.3452	1.3355569762036503
52.754	5.3249	1.3147569762036504
52.923	-1.303	17.97215697620365
53.984	4.4407	17.918156976203647
55.308	-0.25096	31.686156976203648
55.275	3.6448	31.802156976203648
49.497	0.74885	-25.800843023796354
52.456	-6.0655	-18.851843023796352
51.647	7.7272	-18.34484302379635
52.325	-8.062	-5.758643023796349
52.218	10.257	-5.366143023796349
52.232	-9.1873	1.8180569762036505
51.826	11.32	2.2026569762036505
52.719	-2.3759	1.3235569762036503
52.695	5.294	1.2854569762036503
52.815	-1.3054	17.959156976203648
53.951	4.4192	17.88715697620365
55.273	-0.21657	31.657156976203648
55.264	3.6313	31.770156976203648
49.318	0.77682	-25.776843023796353
52.285	-6.0705	-18.84784302379635
51.481	7.7176	-18.293843023796352
52.164	-8.0804	-5.756543023796349
52.344	10.496	-5.382043023796348
52.076	-9.2139	1.8189569762036504
51.407	11.344	2.1666569762036505
52.843	-2.4738	1.3609569762036504
52.684	5.1943	1.2838569762036505
52.767	-1.3794	17.99515697620365
53.947	4.3781	17.888156976203646
55.274	-0.21459	31.677156976203648
55.267	3.6431	31.773156976203648
49.249	0.691	-25.770843023796353
52.19	-6.1651	-18.83684302379635
51.324	7.6245	-18.32484302379635
52.019	-8.1478	-5.741543023796349
52.653	10.646	-5.508043023796349
51.902	-9.2653	1.8359569762036505
50.916	11.18	1.9266569762036503
52.785	-2.5006	1.3620569762036503
52.634	5.1675	1.2660569762036504
52.596	-1.41	17.99515697620365
53.925	4.3711	17.869156976203648
55.261	-0.24115	31.647156976203647
55.267	3.6513	31.75315697620365
49.149	0.51272	-25.726843023796352
52.075	-6.3273	-18.794843023796354
51.181	7.4586	-18.27284302379635
51.842	-8.2517	-5.692443023796349
53.019	10.966	-5.644143023796349
51.689	-9.3347	1.8894569762036504
50.309	11.368	1.5018569762036504
52.797	-2.5556	1.3749569762036504
52.664	5.113	1.3001569762036504
52.441	-1.4485	18.004156976203646
53.945	4.3515	17.906156976203647
55.269	-0.26475	31.622156976203648
55.276	3.6591	31.792156976203646
49.074	0.32484	-25.69984302379635
51.912	-6.4959	-18.77884302379635
51.059	7.3074	-18.30784302379635
51.665	-8.3551	-5.666843023796349
53.319	11.192	-5.859943023796348
51.504	-9.4003	1.9202569762036505
49.278	11.297	0.6385369762036506
52.869	-2.5849	1.3759569762036503
52.562	5.0784	1.2746569762036504
52.306	-1.5259	18.00315697620365
53.898	4.3513	17.877156976203647
55.294	-0.30258	31.583156976203647
55.281	3.6921	31.760156976203646
49.02	0.067597	-25.619843023796353
51.725	-6.7325	-18.70584302379635
50.992	7.0944	-18.293843023796352
51.489	-8.5291	-5.585343023796349
53.785	11.18	-6.021143023796348
51.334	-9.5369	2.0068569762036503
48.37	11.284	-0.6137630237963494
52.839	-2.6629	1.3565569762036505
52.647	5.0047	1.3314569762036503
52.071	-1.5644	17.97215697620365
53.831	4.3414	17.94815697620365
55.282	-0.36355	31.504156976203646
55.293	3.7054	31.824156976203646
49.151	-0.27162	-25.508843023796352
51.654	-7.0491	-18.64184302379635
51.044	6.7976	-18.233843023796354
51.379	-8.679	-5.499943023796349
54.326	11.316	-6.238543023796349
51.197	-9.5868	2.1042569762036503
47.527	11.504	-2.7289430237963495
52.715	-2.6791	1.3440569762036505
52.454	4.9861	1.4176569762036504
51.773	-1.6081	17.953156976203648
53.491	4.3719	18.046156976203648
55.249	-0.40881	31.41915697620365
55.291	3.7251	31.88015697620365
49.275	-0.31244	-25.463843023796354
51.497	-7.1163	-18.608843023796354
50.996	6.7329	-18.23784302379635
51.179	-8.8663	-5.483243023796349
54.343	11.633	-6.413143023796349
50.952	-9.8261	2.1134569762036506
46.769	11.838	-5.327943023796348
52.733	-2.8969	1.4293569762036504
52.247	4.7575	1.3806569762036505
