		frames = 108 markers = 13 Hz = 30
-46.908	6.724	22.513
-29.155	-2.0109	-29.791
-47.408	-5.7307	-15.251
-47.821	8.5091	9.2336
-42.436	-3.7588	23.207
2.4261	-7.8811	22.014
-44.759	3.5203	-15.509
-3.6826	10.219	9.3105
-30.676	2.4627	0.41242
-46.776	6.8722	22.497
1.9598	1.5228	0.71432
-5.2811	9.5256	8.964
-5.8817	-5.3081	0.93632
-47.798	2.6272	-29.776
-46.373	2.6791	1.1933
-26.748	6.6897	10.337
-45.01	-10.061	9.6264
-0.61758	6.6234	22.376
6.7482	-3.9341	-30.048
-36.205	10.972	-1.7124
7.7798	-8.168	0.99522
-41.737	4.5356	0.61192
2.3765	5.6212	22.445
-45.554	3.4228	1.2537
6.7798	-3.9654	-29.59
-45.945	-6.7192	22.845
-42.374	-10.586	1.4519
-20.827	4.9584	22.567
-8.3246	-12.624	0.46892
7.6636	1.1282	-15.155
-33.377	11.413	7.2156
-0.27508	-11.038	9.0572
-43.646	-11.95	0.10852
-48.162	-5.6408	-29.939
-42.871	12.773	7.7135
-47.117	2.7107	-15.223
-44.939	-12.358	0.11042
-3.9106	-12.922	0.091917
-45.373	3.5229	-27.176
-18.901	-4.6846	-16.086
-44.308	-3.6486	-28.821
-46.178	-0.38758	30.156
-45.964	-6.6843	22.788
-17.582	2.9521	-13.747
-32.486	-4.2712	21.205
-47.219	6.3512	22.735
-47.306	6.3208	22.497
-41.698	10.376	21.2
7.9208	-4.0052	29.777
-44.842	4.6917	1.2001
-39.264	-3.924	-14.466
-24.902	-4.2964	-15.282
-47.475	-5.7095	-15.241
-46.891	2.7042	-15.29
-47.81	2.6156	-29.844
-38.408	4.9071	29.175
1.7325	-5.204	-14.524
-3.8189	2.9801	1.1943
7.4728	0.44084	1.25
-5.7816	6.8292	21.979
-47.119	2.715	-15.222
-44.306	-9.5944	9.6162
-47.1	2.723	-15.211
-43.734	3.452	-15.798
-47.267	6.3079	22.739
6.7508	-3.9385	-29.94
-35.664	3.1738	-0.41348
2.525	6.505	9.6893
-29.847	9.1231	-1.2952
7.3108	-8.2535	1.0409
-46.806	9.9722	8.8772
-3.5247	-5.6126	1.0426
-45.937	0.070367	30.043
5.6264	1.172	-15.633
-42.585	-8.4898	11.4
-20.417	-4.6429	-15.964
-45.134	11.576	-0.81788
0.19472	6.4268	22.397
-16.949	5.0724	21.736
-30.571	7.9019	1.439
-47.987	2.6459	-29.904
-48.053	9.6841	-0.44648
-29.603	-6.1623	1.052
-4.4121	9.6697	-0.54568
6.7195	-3.6706	29.5
-41.244	4.1814	29.625
-34.487	-11.04	9.9527
-40.8	4.3841	29.478
-47.973	2.6624	-29.929
9.172	-14.082	9.5598
5.4853	0.46417	1.2033
-36.889	-3.3583	-29.082
-32.813	-11.01	9.7327
-23.036	-4.2258	-25.822
-44.707	0.89203	30.149
7.808	-10.169	22.878
-44.903	-3.6712	1.1563
-14.981	2.7024	-0.020983
4.3354	-7.561	0.76242
