level_0	level_1	frames = 108 markers = 13 Hz = 30
-34.51357407407414	0.8532	32.622
-32.14457407407414	7.5326	25.398
-31.97857407407414	-5.7388	25.36
-32.51357407407414	9.784	12.058
-30.88357407407414	-9.793	12.759
-31.620574074074142	11.069	1.898
-33.00057407407414	-11.735	2.896
-32.73857407407414	4.6971	3.9758
-31.67657407407414	-3.9701	3.9809
-31.26757407407414	5.1333	-12.329
-30.790574074074136	-5.0573	-12.337
-29.893574074074138	5.5269	-27.403
-29.982574074074137	-6.0346	-27.432
-34.51157407407414	0.85978	32.624
-32.14557407407414	7.5381	25.399
-31.97457407407414	-5.7333	25.361
-32.34657407407414	9.9213	12.106
-30.869574074074137	-9.791	12.763
-31.66957407407414	11.063	1.9124
-32.99957407407414	-11.731	2.9029
-32.73357407407414	4.7034	3.9756
-31.668574074074137	-3.9636	3.9853
-31.41757407407414	5.1498	-12.342
-30.942574074074138	-5.0671	-12.339
-29.893574074074138	5.5271	-27.402
-29.982574074074137	-6.0354	-27.425
-34.50857407407414	0.86845	32.626
-32.147574074074136	7.545	25.401
-31.96857407407414	-5.726	25.362
-32.33157407407414	9.9555	12.115
-30.851574074074136	-9.7876	12.769
-31.705574074074143	11.077	1.9158
-32.99757407407414	-11.726	2.912
-32.72557407407414	4.7117	3.9754
-31.65857407407414	-3.9549	3.9911
-31.41457407407414	5.1539	-12.343
-30.937574074074142	-5.0636	-12.333
-29.89257407407414	5.5273	-27.403
-29.98157407407414	-6.0366	-27.419
-34.50557407407414	0.87803	32.628
-32.14857407407414	7.5527	25.402
-31.96257407407414	-5.718	25.364
-32.30057407407414	10.001	12.129
-30.83157407407414	-9.7838	12.776
-31.747574074074137	11.091	1.9218
-32.99557407407414	-11.72	2.9221
-32.71657407407414	4.7208	3.9751
-31.647574074074136	-3.9454	3.9975
-31.41157407407414	5.1586	-12.344
-30.927574074074137	-5.0594	-12.326
-29.890574074074138	5.5276	-27.404
-29.98057407407414	-6.0379	-27.413
-34.50257407407414	0.88765	32.63
-32.150574074074136	7.5604	25.404
-31.95657407407414	-5.71	25.365
-32.25757407407414	10.052	12.146
-30.811574074074137	-9.7801	12.782
