level_0	level_1	frames = 108 markers = 13 Hz = 30
33.913	0.8532	32.622
36.282	7.5326	25.398
36.448	-5.7388	25.36
35.913	9.784	12.058
37.543	-9.793	12.759
36.806	11.069	1.898
35.426	-11.735	2.896
35.688	4.6971	3.9758
36.75	-3.9701	3.9809
37.159	5.1333	-12.329
37.636	-5.0573	-12.337
38.533	5.5269	-27.403
38.444	-6.0346	-27.432
33.915	0.85978	32.624
36.281	7.5381	25.399
36.452	-5.7333	25.361
36.08	9.9213	12.106
37.557	-9.791	12.763
36.757	11.063	1.9124
35.427	-11.731	2.9029
35.693	4.7034	3.9756
36.758	-3.9636	3.9853
37.009	5.1498	-12.342
37.484	-5.0671	-12.339
38.533	5.5271	-27.402
38.444	-6.0354	-27.425
33.918	0.86845	32.626
36.279	7.545	25.401
36.458	-5.726	25.362
36.095	9.9555	12.115
37.575	-9.7876	12.769
36.721	11.077	1.9158
35.429	-11.726	2.912
35.701	4.7117	3.9754
36.768	-3.9549	3.9911
37.012	5.1539	-12.343
37.489	-5.0636	-12.333
38.534	5.5273	-27.403
38.445	-6.0366	-27.419
33.921	0.87803	32.628
36.278	7.5527	25.402
36.464	-5.718	25.364
36.126	10.001	12.129
37.595	-9.7838	12.776
36.679	11.091	1.9218
35.431	-11.72	2.9221
35.71	4.7208	3.9751
36.779	-3.9454	3.9975
37.015	5.1586	-12.344
37.499	-5.0594	-12.326
38.536	5.5276	-27.404
38.446	-6.0379	-27.413
33.924	0.88765	32.63
36.276	7.5604	25.404
36.47	-5.71	25.365
36.169	10.052	12.146
37.615	-9.7801	12.782
36.635	11.104	1.9302
35.433	-11.714	2.9321
35.718	4.73	3.9748
36.791	-3.9358	4.004
37.022	5.1629	-12.344
37.504	-5.0556	-12.32
38.537	5.5278	-27.406
38.447	-6.0393	-27.406
33.927	0.89982	32.633
36.274	7.5702	25.406
36.478	-5.6998	25.367
36.213	10.108	12.164
37.64	-9.7753	12.79
36.581	11.122	1.9405
35.435	-11.707	2.9449
35.729	4.7417	3.9744
36.806	-3.9237	4.0121
37.027	5.1688	-12.345
37.511	-5.0508	-12.311
38.54	5.5281	-27.407
38.448	-6.041	-27.398
33.93	0.90962	32.635
36.272	7.5781	25.408
36.485	-5.6916	25.369
36.262	10.157	12.182
37.66	-9.7716	12.797
36.536	11.135	1.952
35.437	-11.701	2.9552
35.738	4.7511	3.9741
36.817	-3.9139	4.0187
37.033	5.1732	-12.346
37.517	-5.0468	-12.305
38.541	5.5284	-27.408
38.449	-6.0423	-27.391
33.934	0.92163	32.638
36.27	7.5877	25.41
36.493	-5.6816	25.37
36.305	10.205	12.199
37.685	-9.7669	12.805
36.482	11.153	1.9641
35.439	-11.693	2.9678
35.749	4.7626	3.9738
36.832	-3.9019	4.0267
37.038	5.1789	-12.347
37.524	-5.0419	-12.297
38.543	5.5287	-27.41
38.45	-6.044	-27.383
