		frames = 110 markers = 13 Hz = 30
28.993	8.4099	-15.977
29.938	-0.28952	-31.662
9.7272	14.852	15.034
31.006	3.4392	2.4201
29.783	-0.13326	-31.348
25.535	13.456	28.735
26.12	24.521	8.1577
29.858	1.0417	-15.62
29.42	9.0967	-31.854
29.112	10.154	-16.054
26.082	14.147	-0.74887
25.812	11.071	28.586
22.619	16.689	22.093
29.672	0.013335	-31.419
29.275	9.3459	-15.964
28.171	10.244	-16.207
28.878	10.617	-16.245
29.189	8.9112	21.989
29.642	-3.9363	9.9978
29.445	8.9026	-31.807
25.026	10.194	28.999
28.976	10.53	-16.23
27.171	15.507	21.093
29.832	15.166	0.54593
24.359	-6.1475	-0.015572
29.54	1.678	2.1963
30.331	-3.7978	9.3212
29.1	0.029345	2.0959
30.058	1.5784	-15.376
27.223	5.9804	29.269
30.727	3.8074	2.3831
29.517	9.0833	-31.861
30.234	-3.6026	2.3146
29.759	0.086735	-15.739
28.796	22.42	0.99753
28.284	-4.9362	2.7546
9.6487	18.844	18.054
25.442	13.43	28.707
29.96	3.3849	1.7364
24.925	10.961	28.556
29.96	-0.3832	-31.587
32.75	-2.5993	11.058
26.51	1.2576	23.435
28.658	10.555	1.58
25.954	3.4002	23.331
8.8368	9.924	23.814
8.8712	20.212	17.681
25.528	17.656	20.307
30.541	4.1368	2.2527
29.585	3.318	1.995
31.382	-1.5653	11.064
29.733	3.2877	1.6969
29.481	3.2938	1.9362
32.777	15.205	9.0332
30.196	15.67	0.46303
29.046	11.734	1.5679
15.903	6.4598	15.06
29.913	-0.22848	-31.697
28.421	10.253	-16.091
29.439	8.8398	-32.049
28.843	9.8932	1.4512
28.09	11.551	1.6547
26.925	17.725	18.733
29.588	-1.4205	-16.0
29.942	-0.41972	-31.233
28.627	5.0406	23.464
9.0225	16.556	18.79
29.316	-0.45623	-16.01
32.832	14.865	9.0312
24.083	-6.192	1.0458
29.982	3.2518	1.8836
29.475	8.9137	-31.884
29.825	-0.27671	-31.2
28.723	12.154	1.4563
27.499	4.8309	29.313
29.807	-0.20267	-31.355
25.928	3.4501	23.334
28.689	7.8667	1.7558
30.041	1.3945	-15.212
26.669	17.968	18.903
15.871	7.8822	13.477
28.923	9.7192	-16.161
25.91	17.812	20.063
31.325	-2.426	11.168
24.6	25.47	8.733
29.355	-0.4016	-15.843
25.865	-3.1645	1.6261
29.918	-0.23753	-31.673
29.524	8.8268	-31.706
13.602	6.0303	19.044
29.753	-0.18588	-31.555
28.436	16.874	5.7373
29.168	-4.9468	2.9059
9.1804	18.139	15.426
29.56	8.7208	-31.574
27.134	-1.1107	22.95
29.642	-0.5996	-30.796
29.524	1.4454	-15.667
26.223	12.187	28.809
29.04	9.9931	1.7527
24.724	-3.0608	2.404
26.945	2.4045	22.728
28.801	8.8779	1.5708
27.772	-8.6779	9.2557
29.998	3.3789	1.7729
26.003	3.3142	23.264
29.462	9.0935	-31.725
22.698	18.6	19.797
27.777	11.504	1.6398
28.235	10.257	-16.168
24.065	-7.2307	1.1722
27.594	5.1438	29.625
26.41	24.707	7.5898
18.607	30.831	7.4714
28.48	10.201	-16.061
26.885	0.21398	23.323
28.988	9.5195	-16.242
29.673	1.4934	-15.934
27.194	8.6597	29.006
28.931	5.2386	23.422
28.764	11.194	1.7276
24.884	10.657	28.707
30.041	-4.6494	2.6615
29.948	-0.32834	-31.618
29.06	-0.13744	2.0026
29.806	-0.15777	-31.325
26.362	2.0999	23.449
29.437	8.9322	-31.746
29.53	8.8377	-31.695
30.103	1.6511	-15.531
29.488	9.0473	-31.893
28.313	-3.0952	2.9488
25.795	14.821	-2.2328
14.51	24.134	15.733
21.509	16.126	20.272
29.792	-0.15272	-31.611
29.918	3.138	1.9207
29.823	1.5459	-15.113
24.359	16.408	21.921
26.12	2.9188	23.413
15.881	8.7309	12.584
25.348	-2.2345	1.755
29.186	10.397	-16.144
28.691	3.4434	23.026
26.16	12.625	28.81
30.633	3.9605	2.3865
30.541	-3.4162	10.383
29.671	-4.9158	1.7841
26.499	-4.1827	11.602
23.737	-6.0813	1.9944
24.888	11.074	28.484
27.893	14.065	21.299
29.833	-0.2841	-31.17
26.25	2.4297	23.406
29.416	8.9491	-31.848
29.954	1.419	1.9857
29.704	9.0435	-31.731
29.572	-0.70725	-30.715
29.442	8.9136	-31.784
26.105	-9.7512	8.5383
27.751	14.509	21.23
29.889	-0.53434	-31.035
12.479	6.7932	19.921
29.137	8.3796	-15.994
32.802	14.24	9.0352
28.653	10.298	-16.079
27.315	-4.6901	2.3862
28.493	10.512	-16.209
8.0889	17.597	19.49
25.984	11.773	28.367
11.26	7.9361	20.655
31.109	-3.5201	10.857
25.764	14.438	-1.0686
29.905	-0.33279	-31.01
29.939	-0.39084	-31.377
27.734	-3.2268	22.187
29.055	10.524	-16.181
29.75	-0.060575	-31.17
27.788	-5.9726	0.71273
29.481	1.4341	-15.744
29.803	-0.086495	-31.298
32.8	18.997	9.1527
28.268	10.373	-16.241
29.457	8.8938	-31.839
26.425	-4.3346	11.661
29.427	8.9719	-31.706
23.415	18.436	19.83
28.517	4.4779	23.373
21.638	19.208	5.1624
31.09	20.484	0.39763
28.863	9.4917	1.4244
31.436	-3.226	11.002
25.743	14.713	-2.0542
28.271	11.627	1.6495
29.793	-0.14583	-31.308
20.216	26.141	12.28
29.057	8.3804	-15.9
29.053	-5.564	0.96393
28.464	10.138	-16.058
24.797	11.316	28.455
27.585	4.0032	29.422
25.931	16.006	-3.0904
24.897	12.484	28.621
29.967	-0.805	-31.442
30.402	-3.8893	9.43
28.033	-3.0965	2.9799
31.827	-1.9962	11.073
9.2307	17.597	19.045
25.315	-2.6495	2.0405
31.258	-1.4671	11.048
28.835	10.82	1.6679
28.917	8.9271	-16.221
23.388	-5.4844	2.5965
23.754	-4.446	2.9758
29.978	1.4281	-15.202
29.889	-0.3378	-31.583
28.114	24.438	8.6982
25.118	9.7546	29.067
25.56	-2.5892	1.5013
29.597	7.3732	-15.852
30.661	4.1525	2.1147
11.665	22.032	17.468
29.816	-0.17147	-31.256
29.03	9.8083	21.88
29.958	-0.79414	-31.498
29.37	-0.12802	-15.595
27.866	-3.6945	21.956
7.3465	17.417	23.939
15.768	6.0013	15.731
30.401	4.1546	2.3537
27.224	11.721	1.4273
23.078	16.511	22.221
29.454	8.8167	-31.975
29.702	9.1107	-31.698
30.381	-3.9712	9.6217
29.087	5.1667	23.486
25.667	14.56	-1.4765
29.522	0.65565	-15.536
22.416	20.241	4.2743
27.034	11.512	1.4345
27.996	15.497	19.871
27.873	11.547	1.6437
29.058	10.112	-16.0
28.69	19.113	5.1405
28.277	16.488	5.9105
28.643	12.195	1.4439
24.328	-6.1308	0.23463
29.765	0.33744	1.926
25.841	13.457	28.654
29.841	-0.2357	-31.291
27.432	11.564	1.5747
28.743	18.398	5.1938
30.767	4.1204	1.9353
29.454	8.9077	-31.865
31.312	-1.4185	11.328
29.659	-0.66507	-30.747
27.724	1.2297	29.53
26.04	-3.4592	1.701
31.118	-1.4036	11.098
29.428	8.948	-31.713
29.351	-5.4241	1.211
26.064	3.1171	23.399
29.818	1.4859	-15.139
27.613	3.2469	29.465
28.738	7.8809	1.6982
29.643	9.0633	-31.741
29.626	9.1749	-31.793
28.654	8.0947	1.5279
31.512	-1.771	11.465
30.448	3.7652	1.8633
29.9	-0.21442	-31.646
25.639	8.9255	29.038
29.89	-0.27779	-31.725
26.103	13.157	28.743
26.264	-9.7048	8.6428
28.201	11.621	1.6423
29.446	8.8614	-31.687
28.776	7.8198	1.7852
25.893	-5.5286	8.208
9.7251	16.076	18.979
29.877	-0.21398	-31.725
16.182	11.148	10.626
29.585	-1.2619	-16.002
30.541	16.384	0.34953
29.371	0.10583	-15.513
26.655	16.197	20.79
29.569	-2.8166	1.7099
30.085	1.6223	-15.456
28.887	9.7526	-16.139
30.545	3.8378	1.7433
28.605	2.7545	22.935
23.866	-6.1473	1.8064
28.77	8.4303	1.5536
30.396	4.1878	2.4417
27.628	6.6214	29.344
17.951	31.578	9.3067
28.159	13.021	21.498
27.963	11.649	1.6346
25.804	13.443	28.678
10.407	13.447	14.977
23.51	-8.6589	0.36513
28.848	11.333	1.6678
10.213	9.2591	21.068
29.914	-0.24035	-31.627
24.456	19.654	-2.4262
29.214	0.62214	2.2402
28.772	8.2711	1.5619
33.06	17.643	9.2276
29.57	1.9152	2.1714
29.064	9.3978	21.942
27.627	2.0855	22.716
24.46	-6.1552	-0.85057
28.585	10.471	-16.23
29.886	-0.4771	-31.114
28.99	9.4518	-16.269
29.706	2.4132	2.0268
29.6	0.98138	-15.677
28.587	12.213	1.4429
28.456	10.169	-16.052
28.17	-6.0879	9.5766
29.443	9.0737	-31.745
29.729	-0.6147	-30.851
27.647	2.8905	29.465
28.842	7.8052	1.7832
27.61	16.715	19.437
28.685	10.532	-16.24
28.284	2.384	23.176
29.997	3.4665	1.9175
30.942	-1.2597	11.104
27.537	-6.2659	21.865
24.795	11.673	28.485
28.128	10.261	-16.262
29.665	1.5012	-15.789
30.108	1.2568	-15.41
29.656	-0.38277	-15.859
29.431	9.1052	-31.852
29.632	9.0089	-31.769
29.48	8.8708	-31.92
26.436	1.7255	23.461
27.607	1.4165	22.034
10.266	8.6585	22.106
29.429	0.42725	-15.456
25.435	-2.3864	1.503
26.074	11.605	28.478
28.902	9.055	-16.253
30.509	4.0381	2.4227
27.514	-3.1348	3.4542
19.917	22.459	7.7035
11.771	13.48	12.59
30.833	3.1691	2.2809
25.717	8.8136	29.01
29.404	8.988	-31.721
29.828	-0.16259	-31.251
25.386	-2.2262	1.5398
31.427	-1.4105	11.367
25.461	-4.7909	10.617
8.9731	16.157	18.265
29.634	-0.71723	-30.677
25.231	17.454	20.645
23.49	-7.7838	1.1342
26.645	10.473	28.674
26.002	14.173	-0.76257
29.499	8.0803	1.7006
29.975	1.6247	2.0296
26.464	2.8491	23.062
29.848	-0.29774	-31.259
28.846	12.071	1.5129
29.164	9.6763	-16.04
28.471	4.7525	23.4
24.218	17.752	19.813
29.409	8.993	-31.713
29.896	-0.24046	-31.603
29.077	-4.2496	2.3186
21.384	16.927	20.052
27.613	1.9211	22.635
29.008	9.269	-16.33
32.856	15.629	9.0694
27.506	0.2101	22.742
29.906	2.8327	1.9057
29.475	8.8668	-31.629
28.708	18.052	5.2709
28.987	8.7041	-16.206
30.577	3.9907	2.4017
8.1139	14.532	20.901
29.913	-0.30074	-31.727
28.462	12.242	1.4354
29.649	1.2698	-15.785
30.369	16.016	0.40543
29.842	1.4794	-15.141
29.294	0.88843	2.2026
28.402	12.544	21.278
29.967	-0.8147	-31.43
29.085	10.495	-16.153
28.126	14.986	20.008
29.612	9.1102	-31.692
24.388	-6.1558	-0.23617
28.449	11.892	21.684
24.891	10.508	28.812
29.441	8.9459	-31.714
29.521	-5.3817	1.395
27.295	-6.1634	0.70133
29.837	-3.5234	9.3202
27.482	-2.5394	22.495
30.14	1.3381	-15.253
29.576	1.451	-15.663
29.695	8.9231	-31.645
28.829	9.8332	1.4259
29.561	0.81153	-15.602
28.667	3.7903	23.208
31.009	-1.3506	11.255
24.426	-6.1355	-0.58317
25.239	13.253	28.681
29.69	1.5064	-15.923
29.567	8.8751	-31.513
27.602	1.5195	22.205
24.476	-6.1544	-0.84257
10.427	17.463	11.708
7.4266	14.527	24.164
27.389	-2.1735	22.664
29.013	10.54	-16.202
28.76	-3.1204	2.6632
29.579	0.90631	-15.646
29.693	0.046965	-31.448
22.031	23.256	7.6055
25.456	-4.4458	11.097
29.715	-0.0088453	-31.403
29.521	8.8058	-31.717
29.733	1.4884	-15.732
28.931	8.5386	-16.227
29.907	-0.43122	-31.181
30.156	3.5085	1.8817
29.065	4.2137	23.537
29.131	9.5852	1.797
31.271	19.812	0.44433
15.712	31.997	15.145
27.479	-5.7475	22.026
24.959	10.432	28.864
23.409	-8.4297	0.62153
8.5137	12.78	21.221
26.891	9.6076	28.84
29.473	9.1405	-31.898
22.234	16.691	21.74
28.463	4.5747	23.374
29.308	0.95047	2.2594
30.707	3.9982	1.8669
23.925	18.108	19.784
27.686	2.2239	29.484
28.694	9.8897	-16.105
29.081	10.059	-16.115
29.021	-0.552	1.7508
27.505	-3.0626	3.4686
29.622	1.1878	-15.759
29.644	-3.7869	10.113
28.947	9.6629	-16.177
27.836	-8.2593	9.3413
25.703	16.854	-3.1444
29.383	9.0496	-31.892
29.845	-0.30044	-31.554
29.446	8.8244	-32.059
22.469	16.747	21.911
30.094	-3.3987	2.2767
29.64	-0.046815	-15.831
12.131	14.024	11.849
30.467	4.0605	2.4254
29.023	-0.59316	1.8102
25.797	11.697	28.431
25.034	-2.9021	2.3181
28.977	11.815	1.6017
25.131	13.05	28.638
28.92	22.216	5.8332
