level_0	level_1	frames = 220 markers = 13 Hz = 30
31.721	-0.64526	-28.88541483325175
33.386	-6.6827	-21.89641483325175
32.236	5.9331	-21.33741483325175
32.362	-8.5238	-9.164014833251747
31.175	8.2143	-8.689514833251746
31.686	-9.6802	-0.9426848332517479
30.497	9.6553	-0.5219848332517478
33.48	-3.3135	-1.6799148332517482
33.488	4.3393	-1.6848148332517479
34.414	-3.2754	14.838585166748254
34.188	4.2493	14.846585166748254
35.222	-3.2345	28.88258516674825
34.775	4.1476	28.90858516674825
31.705	-0.65298	-28.88841483325175
33.385	-6.6887	-21.89141483325175
32.227	5.9269	-21.34341483325175
32.354	-8.5254	-9.158914833251746
31.244	8.23	-8.693414833251746
31.674	-9.6787	-0.9374848332517479
30.618	9.6849	-0.5241848332517479
33.482	-3.3129	-1.6814148332517478
33.485	4.3399	-1.686614833251748
34.263	-3.2817	14.845585166748254
34.032	4.2607	14.850585166748253
35.219	-3.221	28.87958516674825
34.765	4.1557	28.90558516674825
31.702	-0.65444	-28.89641483325175
33.383	-6.6948	-21.89741483325175
32.221	5.919	-21.35041483325175
32.337	-8.5326	-9.166314833251747
31.206	8.1775	-8.694514833251747
31.648	-9.6868	-0.9457848332517479
30.557	9.6015	-0.5216848332517479
33.476	-3.3213	-1.684714833251748
33.481	4.3316	-1.693714833251748
34.262	-3.2905	14.841585166748253
34.029	4.2532	14.843585166748253
35.223	-3.2301	28.87558516674825
34.766	4.1488	28.89858516674825
31.652	-0.66882	-28.89441483325175
33.344	-6.7143	-21.88941483325175
32.18	5.899	-21.34641483325175
32.29	-8.5679	-9.161514833251747
30.839	7.9722	-8.689414833251746
31.594	-9.7325	-0.9429848332517479
29.977	9.2745	-0.5165848332517479
33.572	-3.3094	-1.696714833251748
33.486	4.3429	-1.6925148332517481
34.305	-3.2887	14.832585166748254
34.034	4.2583	14.844585166748253
35.22	-3.2331	28.86958516674825
34.768	4.1525	28.89958516674825
31.634	-0.66532	-28.87941483325175
33.321	-6.7125	-21.87641483325175
32.167	5.9046	-21.34441483325175
32.218	-8.6376	-9.162914833251746
30.649	8.0183	-8.713814833251746
31.489	-9.847	-0.9537848332517479
29.656	9.3329	-0.5578848332517479
33.575	-3.3527	-1.698114833251748
33.602	4.3	-1.6545848332517479
34.308	-3.3059	14.830585166748254
34.086	4.2411	14.884585166748254
35.219	-3.2323	28.86858516674825
34.768	4.1532	28.942585166748252
31.626	-0.66589	-28.88241483325175
33.343	-6.7347	-21.87841483325175
32.204	5.8884	-21.35441483325175
32.139	-8.6758	-9.177314833251746
30.475	8.2242	-8.790914833251746
31.339	-9.8898	-0.975484833251748
29.303	9.6464	-0.6766868332517479
33.543	-3.3374	-1.7033148332517478
33.616	4.3149	-1.654884833251748
34.294	-3.3013	14.824585166748253
34.084	4.1348	14.884585166748254
35.225	-3.2376	28.86158516674825
34.751	3.9438	28.942585166748252
31.612	-0.64489	-28.88641483325175
33.339	-6.7199	-21.87841483325175
32.214	5.9041	-21.36041483325175
31.934	-8.7719	-9.214714833251746
30.234	8.2757	-8.840114833251747
30.982	-10.037	-1.0370848332517477
28.797	9.6349	-0.7574868332517479
33.578	-3.3615	-1.7016148332517478
33.627	4.291	-1.654684833251748
34.31	-3.3107	14.827585166748253
34.094	4.1283	14.884585166748254
35.219	-3.2338	28.86458516674825
34.76	3.9533	28.942585166748252
31.614	-0.63928	-28.88941483325175
33.373	-6.7237	-21.87641483325175
32.256	5.906	-21.37541483325175
31.76	-8.8549	-9.251014833251746
30.119	8.434	-8.912314833251747
30.613	-10.118	-1.0980848332517479
28.379	9.7282	-0.8784848332517479
33.58	-3.3682	-1.7016148332517478
33.632	4.2843	-1.6528848332517478
34.307	-3.3103	14.827585166748253
34.094	4.1214	14.886585166748254
35.218	-3.2267	28.86458516674825
34.756	3.9464	28.94458516674825
31.621	-0.63485	-28.89141483325175
33.408	-6.7406	-21.86941483325175
32.309	5.8927	-21.38341483325175
31.603	-8.9617	-9.285814833251747
30.065	8.6221	-8.980914833251747
30.203	-10.17	-1.164284833251748
27.925	9.7739	-1.0223848332517478
33.582	-3.3716	-1.698114833251748
33.635	4.2809	-1.6545848332517479
34.313	-3.3172	14.830585166748254
34.097	4.1247	14.884585166748254
35.224	-3.237	28.86858516674825
34.758	3.9554	28.94358516674825
31.62	-0.53863	-28.91041483325175
33.487	-6.7667	-21.86141483325175
32.365	5.8678	-21.41841483325175
31.511	-9.0972	-9.323014833251746
30.089	8.9608	-9.108214833251747
29.766	-10.179	-1.250584833251748
27.449	9.951	-1.2796848332517479
33.539	-3.3579	-1.6972148332517478
33.563	4.2948	-1.675414833251748
34.294	-3.3079	14.830585166748254
34.063	4.1287	14.862585166748254
35.223	-3.2308	28.86658516674825
34.756	3.9519	28.91958516674825
31.587	-0.27865	-28.89741483325175
33.55	-6.8559	-21.82141483325175
32.351	5.7832	-21.49341483325175
31.494	-9.2696	-9.312314833251746
30.134	9.2093	-9.260614833251747
29.348	-10.117	-1.308684833251748
26.947	9.9313	-1.6086848332517478
33.548	-3.3563	-1.6968148332517479
33.573	4.2963	-1.6612848332517478
34.296	-3.3132	14.831585166748253
34.069	4.1329	14.876585166748253
35.225	-3.2418	28.86758516674825
34.758	3.9582	28.93458516674825
31.589	-0.1703	-28.81441483325175
33.625	-6.9603	-21.70541483325175
32.368	5.6755	-21.48541483325175
31.468	-9.6406	-9.267514833251747
30.295	9.5478	-9.360914833251746
28.81	-10.284	-1.3992848332517478
26.474	9.9913	-1.983714833251748
33.505	-3.3366	-1.619884833251748
33.597	4.3156	-1.6153848332517478
34.282	-3.2978	14.906585166748254
34.077	4.1396	14.923585166748254
35.234	-3.2333	28.94158516674825
34.755	3.951	28.98058516674825
31.602	-0.15512	-28.83441483325175
33.667	-7.0621	-21.73441483325175
32.431	5.6013	-21.653414833251748
31.515	-9.9026	-9.331214833251746
30.441	9.7035	-9.591014833251746
28.355	-10.29	-1.633584833251748
26.163	9.8259	-2.455914833251748
33.562	-3.3599	-1.680514833251748
33.551	4.2928	-1.6450848332517478
34.302	-3.3091	14.848585166748254
34.06	4.1303	14.892585166748253
35.225	-3.2311	28.88458516674825
34.758	3.9565	28.94958516674825
31.673	-0.039594	-28.82541483325175
33.701	-7.0747	-21.76741483325175
32.516	5.6003	-21.67141483325175
31.649	-10.176	-9.410114833251747
30.245	9.8059	-9.694614833251746
27.914	-10.295	-1.9655148332517478
25.604	9.8101	-2.7894148332517483
33.574	-3.3639	-1.6500848332517482
33.489	4.2884	-1.6827148332517479
34.308	-3.3106	14.878585166748254
34.026	4.1234	14.854585166748254
35.224	-3.2284	28.91558516674825
34.75	3.9496	28.90958516674825
31.772	0.0016457	-28.84741483325175
33.748	-7.0812	-21.84741483325175
32.599	5.6046	-21.69141483325175
31.532	-10.228	-9.529414833251746
30.276	9.9695	-9.782414833251746
27.452	-10.248	-2.267114833251748
25.196	9.7632	-3.196914833251748
33.517	-3.3664	-1.656284833251748
33.43	4.2855	-1.731014833251748
34.283	-3.3121	14.871585166748254
33.999	4.1316	14.805585166748253
35.224	-3.2297	28.90658516674825
34.753	3.9666	28.85858516674825
31.874	-0.012884	-28.82341483325175
33.808	-7.1165	-21.86241483325175
32.687	5.5747	-21.63441483325175
31.619	-10.491	-9.600114833251746
30.276	10.084	-9.797514833251746
26.997	-10.259	-2.673314833251748
24.808	9.7542	-3.5358148332517483
33.464	-3.3678	-1.6814148332517478
33.414	4.2848	-1.693114833251748
34.257	-3.3035	14.844585166748253
33.988	4.1233	14.842585166748254
35.218	-3.2144	28.878585166748252
34.747	3.9504	28.89658516674825
31.939	0.0047557	-28.85741483325175
33.855	-7.1002	-21.92441483325175
32.754	5.595	-21.63741483325175
31.55	-10.621	-9.724414833251746
30.269	10.195	-9.850214833251746
26.521	-10.284	-3.0922148332517483
24.452	9.7289	-3.919714833251748
33.385	-3.3654	-1.7083148332517482
33.347	4.2873	-1.735614833251748
34.218	-3.3059	14.815585166748253
33.959	4.1347	14.798585166748254
35.216	-3.2213	28.84758516674825
34.751	3.969	28.85058516674825
31.948	0.029566	-28.82541483325175
33.84	-7.0624	-21.90641483325175
32.773	5.6355	-21.58241483325175
31.594	-10.87	-9.782914833251747
30.247	10.37	-9.858414833251747
26.017	-10.314	-3.619314833251748
24.004	9.6225	-4.4102148332517475
33.424	-3.3918	-1.683214833251748
33.369	4.2608	-1.6846148332517479
34.236	-3.3262	14.841585166748253
33.968	4.1154	14.850585166748253
35.219	-3.235	28.87458516674825
34.748	3.9569	28.90358516674825
31.938	0.056146	-28.85741483325175
33.826	-7.007	-21.96941483325175
32.788	5.6956	-21.59041483325175
31.511	-11.054	-9.936214833251746
30.257	10.619	-9.945514833251746
25.451	-10.355	-4.264014833251748
23.605	9.5668	-5.061214833251748
33.398	-3.4211	-1.689314833251748
33.293	4.2309	-1.722714833251748
34.226	-3.3418	14.834585166748253
33.93	4.0984	14.811585166748253
35.22	-3.2365	28.86658516674825
34.741	3.9534	28.86258516674825
31.868	-0.089424	-28.77641483325175
33.783	-7.1007	-21.91441483325175
32.764	5.6101	-21.49441483325175
31.417	-11.601	-10.053614833251746
30.321	10.745	-9.922914833251747
24.851	-10.473	-5.051114833251748
23.196	9.4577	-5.825514833251748
33.396	-3.2991	-1.7254148332517478
33.532	4.3516	-1.613984833251748
34.221	-3.2851	14.799585166748253
34.046	4.1637	14.923585166748254
35.216	-3.2441	28.83158516674825
34.755	3.9632	28.97958516674825
31.785	0.092816	-28.83141483325175
33.722	-6.868	-22.02441483325175
32.755	5.8571	-21.55341483325175
31.098	-11.747	-10.369814833251747
30.033	11.21	-10.144114833251747
24.146	-10.601	-5.925114833251748
22.6	9.4832	-6.831714833251748
33.551	-3.4562	-1.6282848332517479
33.548	4.1965	-1.656084833251748
34.306	-3.3668	14.899585166748254
34.057	4.0938	14.882585166748253
35.237	-3.256	28.93558516674825
34.762	3.9714	28.93958516674825
31.644	-0.0030643	-28.94641483325175
33.63	-6.8487	-22.21541483325175
32.721	5.8966	-21.68841483325175
30.587	-12.069	-10.813414833251747
29.578	11.443	-10.482314833251746
23.307	-10.716	-6.997514833251748
21.893	9.4508	-7.9932148332517485
33.564	-3.4663	-1.792214833251748
33.574	4.1861	-1.7191148332517479
34.3	-3.3849	14.736585166748254
34.072	4.0861	14.819585166748254
35.218	-3.2809	28.77358516674825
34.761	3.9659	28.87758516674825
31.529	0.013446	-28.93441483325175
33.577	-6.7512	-22.27041483325175
32.727	6.0124	-21.71741483325175
29.889	-12.446	-11.293414833251747
28.862	11.732	-10.828414833251747
22.316	-10.767	-8.253914833251748
21.025	9.3933	-9.304414833251746
33.605	-3.4721	-1.745914833251748
33.681	4.1802	-1.702814833251748
34.322	-3.3786	14.783585166748253
34.135	4.0987	14.837585166748253
35.221	-3.2665	28.82158516674825
34.792	3.9917	28.89658516674825
31.396	-0.072804	-28.964414833251748
33.504	-6.7259	-22.37741483325175
32.719	6.056	-21.80441483325175
29.024	-12.803	-11.913414833251746
27.978	11.985	-11.384414833251746
21.246	-10.763	-9.734214833251746
20.124	9.3231	-10.729414833251747
33.649	-3.4452	-1.7853148332517481
33.704	4.2072	-1.7338148332517478
34.341	-3.3633	14.745585166748254
34.145	4.1094	14.806585166748254
35.218	-3.26	28.78458516674825
34.787	3.9893	28.86658516674825
31.251	-0.15994	-28.97041483325175
33.41	-6.7265	-22.43341483325175
32.652	6.0603	-21.83741483325175
27.934	-13.039	-12.601414833251747
26.901	12.204	-12.070414833251746
20.101	-10.499	-11.340414833251746
19.169	9.1449	-12.299414833251745
33.718	-3.4346	-1.8112148332517481
33.736	4.2178	-1.734914833251748
34.369	-3.3585	14.721585166748254
34.163	4.1164	14.805585166748253
35.212	-3.2586	28.76258516674825
34.794	3.994	28.86658516674825
31.067	-0.26445	-29.00041483325175
33.195	-6.7023	-22.50841483325175
32.431	6.0902	-21.95241483325175
26.876	-13.336	-13.422414833251747
25.792	12.412	-12.888414833251746
19.114	-10.353	-12.909414833251747
18.327	8.8891	-13.915414833251747
33.8	-3.4699	-1.8636148332517481
33.829	4.1819	-1.744014833251748
34.406	-3.3745	14.670585166748253
34.204	4.1085	14.798585166748254
35.208	-3.2587	28.71358516674825
34.792	4.0087	28.86058516674825
30.818	-0.29498	-29.04741483325175
32.923	-6.6924	-22.59841483325175
32.115	6.1026	-22.08741483325175
25.773	-13.552	-14.333414833251746
24.559	12.466	-13.805414833251746
18.221	-10.042	-14.571414833251746
17.437	8.4707	-15.388414833251746
33.9	-3.4859	-1.9310148332517478
33.911	4.1653	-1.778114833251748
34.434	-3.3753	14.605585166748254
34.241	4.1027	14.765585166748254
35.178	-3.2456	28.65258516674825
34.788	4.0119	28.82958516674825
30.506	-0.37077	-29.06841483325175
32.576	-6.6959	-22.69941483325175
31.763	6.0989	-22.17641483325175
24.661	-13.679	-15.278414833251746
23.415	12.356	-14.604414833251747
17.377	-9.7151	-16.07841483325175
16.915	7.6299	-16.75041483325175
34.028	-3.5053	-1.9867148332517481
34.008	4.1453	-1.808614833251748
34.268	-3.2955	14.555585166748253
34.182	4.1038	14.736585166748254
35.122	-3.0437	28.59358516674825
34.784	4.0219	28.79858516674825
30.156	-0.35511	-29.08741483325175
32.252	-6.6218	-22.77241483325175
31.451	6.189	-22.26541483325175
23.662	-13.556	-16.093414833251746
22.255	12.231	-15.549414833251745
16.596	-9.2804	-17.18641483325175
16.107	7.1032	-17.80641483325175
34.198	-3.5214	-2.031014833251748
34.129	4.1287	-1.841214833251748
33.828	-3.2812	14.507585166748253
33.905	4.1183	14.703585166748253
34.879	-2.9221	28.52958516674825
34.758	4.0368	28.75258516674825
29.622	-0.43336	-28.91641483325175
31.72	-6.7011	-22.69141483325175
30.964	6.1322	-22.17141483325175
22.636	-13.558	-16.61341483325175
21.217	12.107	-16.214414833251748
15.899	-8.8672	-18.03141483325175
15.52	6.5261	-18.57641483325175
34.411	-3.5471	-1.962414833251748
34.285	4.1025	-1.781014833251748
33.26	-3.3814	14.540585166748254
33.404	4.1141	14.739585166748254
34.773	-2.945	28.51858516674825
34.669	4.0119	28.75758516674825
29.366	-0.70199	-28.63741483325175
31.415	-6.9128	-22.62441483325175
30.463	5.8765	-22.02741483325175
21.817	-13.455	-17.00641483325175
20.369	11.884	-16.71841483325175
