		frames = 169 markers = 13 Hz = 30
36.244	-2.6712	3.7396
36.835	-0.72854	-28.718
36.114	-2.4189	3.7369
35.322	9.4215	-30.17
35.806	8.6155	23.986
37.229	6.3801	-29.734
32.82	-10.796	0.75247
31.658	-6.6663	0.65627
37.437	-0.79314	-29.84
37.227	6.376	-29.735
14.09	14.461	12.736
36.733	13.843	10.562
37.07	1.3502	-12.282
34.3	-4.7871	3.9594
36.747	13.82	10.594
37.186	4.1721	3.9324
36.859	7.2581	-13.897
37.09	5.782	3.9193
37.423	-0.80021	-29.833
36.992	6.0308	-13.943
34.485	-9.7324	8.9462
35.6	12.545	3.4709
36.738	13.783	10.612
38.025	-0.53086	14.12
35.22	9.3152	-30.032
37.051	5.5042	3.9115
31.588	-6.9278	0.73227
36.044	8.0525	-14.115
36.06	-1.4055	3.8452
32.713	13.971	2.8365
35.307	9.4258	-30.275
36.733	13.74	10.615
34.458	-9.6009	8.891
33.265	12.061	23.01
38.212	5.3519	5.413
32.88	13.996	2.7396
33.831	-0.58426	24.579
37.359	3.9256	3.8772
37.055	19.0	8.7236
34.144	-9.968	9.3711
33.585	0.071503	31.386
40.14	9.9607	9.5974
35.964	8.316	23.951
36.378	-1.0243	-27.771
36.105	-2.3999	3.7367
37.411	-0.72365	-29.804
33.239	0.75509	31.398
37.528	10.24	22.68
35.934	8.3728	23.958
36.85	-2.0944	-14.123
34.973	-0.92569	3.8058
36.811	-4.1578	3.6859
8.6959	5.5014	10.041
11.859	13.499	8.5849
36.859	6.9636	-13.902
29.599	15.045	22.483
37.757	6.5458	-29.711
30.744	-10.204	1.5693
36.936	6.5615	3.8657
32.279	-8.9494	0.55967
33.654	-0.046527	31.381
35.077	-3.4221	4.4654
37.015	6.161	-13.939
32.162	-8.6483	0.49947
36.441	-0.7116	-27.602
37.219	6.3582	-29.736
33.845	-0.34101	31.368
36.655	-1.5908	-14.097
36.136	-2.4603	3.7373
34.821	-10.394	9.1345
33.298	-5.522	3.6766
29.321	3.5809	23.865
36.729	13.844	10.558
36.318	-2.814	3.7412
28.711	5.3291	23.761
36.59	-1.0438	31.264
32.708	-9.8422	0.70727
33.224	0.78917	31.398
39.827	9.0699	9.5932
22.115	11.73	27.081
37.033	1.3062	-12.361
35.871	8.4917	23.972
37.411	3.873	3.8737
35.211	12.76	3.2739
32.227	-8.8149	0.53277
37.677	-1.0813	13.858
32.174	-8.6793	0.50567
33.33	0.56016	31.397
35.998	-5.7048	23.779
36.202	-7.9534	23.536
35.775	8.6739	23.992
38.211	6.7475	23.579
36.103	-2.3965	3.7367
37.284	6.732	23.743
34.095	-11.117	0.48777
35.341	12.44	9.6025
35.344	9.2198	-30.419
35.243	11.112	-14.411
23.677	11.515	27.87
32.005	13.865	3.2466
30.829	16.28	9.7783
36.336	6.8711	3.8593
38.436	22.379	0.86937
36.698	-1.6999	-14.091
36.692	-1.6855	-14.092
32.328	-9.0735	0.58447
36.106	-2.4022	3.7368
34.556	-9.9505	9.0782
36.334	6.8343	3.883
33.271	0.68581	31.398
36.812	5.6259	3.657
36.479	-8.2884	23.371
33.295	14.058	2.499
37.228	6.3802	-29.734
30.966	-7.3775	3.5868
36.654	-0.62701	31.195
37.016	2.4394	4.6353
38.578	5.0058	5.4362
37.631	-1.0279	-29.779
37.097	5.8381	3.9209
36.716	13.848	10.549
37.451	-0.78538	-29.847
36.641	7.1964	-13.952
35.943	8.3549	23.955
35.826	-4.0723	3.5967
37.156	19.536	8.8314
35.224	9.3109	-30.057
33.22	14.046	2.5427
34.559	-9.9582	9.0849
35.226	9.319	-30.075
36.102	-2.3953	3.7367
37.05	5.497	3.9113
37.176	-2.6306	-14.106
33.568	0.10083	31.387
35.763	8.6972	23.994
37.763	-1.1258	-29.821
37.373	3.2105	4.7883
37.417	-0.77656	-29.651
36.117	-2.4246	3.737
36.628	0.47498	31.196
