level_0	level_1	frames = 180 markers = 13 Hz = 30
-34.125805982906144	-3.9816	32.119
-32.88980598290614	2.5158	25.161
-32.78480598290614	-10.203	24.535
-34.21880598290614	4.7848	12.061
-32.204805982906144	-13.539	11.62
-35.28580598290614	6.5271	1.7954
-31.762805982906144	-16.111	1.4921
-33.16580598290614	0.02956	3.1531
-32.716805982906145	-8.5344	3.1589
-32.00480598290614	2.4486	-12.911
-32.03180598290614	-7.6887	-13.093
-30.897805982906142	4.7187	-28.104
-31.38980598290614	-6.8602	-28.464
-34.12380598290614	-3.9777	32.119
-32.89180598290614	2.5182	25.159
-32.777805982906145	-10.2	24.533
-34.231805982906145	4.7897	12.06
-32.18880598290614	-13.53	11.617
-35.30580598290614	6.5339	1.7963
-31.738805982906143	-16.098	1.4886
-33.170805982906145	0.033435	3.1527
-32.71580598290614	-8.5303	3.1587
-32.13880598290614	2.534	-12.908
-32.18780598290614	-7.6738	-13.098
-30.900805982906142	4.7187	-28.103
-31.390805982906144	-6.8603	-28.463
-34.12180598290614	-3.9725	32.119
-32.89580598290614	2.5213	25.157
-32.768805982906144	-10.197	24.532
-34.24880598290614	4.7951	12.06
-32.167805982906145	-13.518	11.614
-35.33480598290614	6.5412	1.7976
-31.710805982906145	-16.079	1.4835
-33.17680598290614	0.038385	3.1521
-32.71580598290614	-8.5251	3.1584
-32.14280598290614	2.5364	-12.909
-32.18880598290614	-7.6712	-13.099
-30.902805982906145	4.7185	-28.104
-31.390805982906144	-6.8602	-28.463
-34.11980598290614	-3.968	32.118
-32.89880598290614	2.524	25.155
-32.759805982906144	-10.194	24.53
-34.26480598290614	4.7999	12.06
-32.149805982906145	-13.508	11.61
-35.36080598290614	6.5477	1.7987
-31.68580598290614	-16.062	1.4793
-33.18180598290614	0.042754	3.1516
-32.71480598290614	-8.5204	3.1582
-32.146805982906145	2.5388	-12.91
-32.18780598290614	-7.669	-13.099
-30.905805982906145	4.7184	-28.105
-31.390805982906144	-6.8602	-28.464
-34.11880598290614	-3.964	32.118
-32.90080598290614	2.5263	25.153
-32.75280598290614	-10.191	24.528
-34.27880598290614	4.8042	12.06
-32.13380598290614	-13.499	11.608
-35.384805982906144	6.5525	1.7997
-31.662805982906143	-16.048	1.4755
-33.18580598290614	0.046608	3.1511
-32.71480598290614	-8.5163	3.158
-32.15080598290614	2.5413	-12.91
-32.18580598290614	-7.6671	-13.099
-30.906805982906143	4.7183	-28.106
-31.390805982906144	-6.8602	-28.464
-34.11680598290614	-3.9602	32.118
-32.90380598290614	2.5286	25.152
-32.74580598290614	-10.188	24.527
-34.29180598290614	4.8082	12.06
-32.11880598290614	-13.49	11.605
-35.40480598290614	6.5588	1.8007
-31.640805982906144	-16.035	1.4721
-33.189805982906144	0.050272	3.1507
-32.71480598290614	-8.5124	3.1578
-32.152805982906145	2.5424	-12.911
-32.18580598290614	-7.6652	-13.1
-30.908805982906145	4.718	-28.107
-31.390805982906144	-6.8601	-28.465
-34.11580598290614	-3.9564	32.118
-32.905805982906145	2.5309	25.15
-32.73880598290614	-10.186	24.526
-34.30480598290614	4.8123	12.06
-32.103805982906145	-13.481	11.602
-35.42580598290614	6.5642	1.8018
-31.61880598290614	-16.021	1.4686
-33.19480598290614	0.053958	3.1503
-32.713805982906145	-8.5084	3.1575
-32.155805982906145	2.5441	-12.912
-32.18580598290614	-7.6633	-13.1
-30.909805982906143	4.7178	-28.108
-31.38980598290614	-6.8601	-28.465
-34.11380598290614	-3.9534	32.117
-32.90780598290614	2.5327	25.149
-32.73380598290614	-10.184	24.524
-34.314805982906144	4.8154	12.059
-32.091805982906145	-13.474	11.6
-35.44380598290614	6.5675	1.8025
-31.603805982906145	-16.01	1.4656
-33.19780598290614	0.056813	3.1499
-32.713805982906145	-8.5054	3.1574
-32.158805982906145	2.5454	-12.912
-32.18580598290614	-7.6618	-13.1
-30.911805982906145	4.7178	-28.108
-31.38980598290614	-6.8601	-28.466
-34.11380598290614	-3.9517	32.117
-32.908805982906145	2.5336	25.148
-32.73080598290614	-10.183	24.524
-34.320805982906144	4.8171	12.059
-32.085805982906145	-13.47	11.599
-35.45280598290614	6.5698	1.8029
-31.592805982906143	-16.005	1.4643
-33.19980598290614	0.058384	3.1497
-32.713805982906145	-8.5037	3.1573
-32.15980598290614	2.5461	-12.912
-32.18480598290614	-7.661	-13.1
-30.912805982906143	4.7178	-28.109
-31.38980598290614	-6.8601	-28.466
-34.11280598290614	-3.9512	32.117
-32.90980598290614	2.5339	25.148
-32.72980598290614	-10.182	24.524
-34.32280598290614	4.8177	12.059
-32.08380598290614	-13.469	11.599
-35.454805982906144	6.5715	1.8031
-31.591805982906145	-16.002	1.4636
-33.19980598290614	0.05887	3.1497
-32.713805982906145	-8.5032	3.1573
-32.161805982906145	2.5474	-12.912
-32.18480598290614	-7.6608	-13.1
-30.912805982906143	4.7178	-28.109
-31.38980598290614	-6.8601	-28.466
-34.11380598290614	-3.9523	32.117
-32.908805982906145	2.5333	25.148
-32.731805982906145	-10.183	24.524
-34.31880598290614	4.8165	12.059
-32.08780598290614	-13.472	11.6
-35.448805982906144	6.5699	1.8028
-31.595805982906143	-16.007	1.4648
-33.198805982906144	0.05783	3.1498
-32.713805982906145	-8.5043	3.1573
-32.16080598290614	2.5469	-12.912
-32.186805982906144	-7.6614	-13.1
-30.912805982906143	4.7179	-28.109
-31.390805982906144	-6.8601	-28.466
-34.11580598290614	-3.9566	32.118
-32.905805982906145	2.5307	25.15
-32.73980598290614	-10.186	24.526
-34.30380598290614	4.812	12.06
-32.10480598290614	-13.482	11.603
-35.42480598290614	6.5638	1.8017
-31.62180598290614	-16.022	1.4686
-33.19380598290614	0.053679	3.1503
-32.713805982906145	-8.5087	3.1576
-32.155805982906145	2.5437	-12.912
-32.18580598290614	-7.6638	-13.1
-30.91080598290614	4.7179	-28.108
-31.38980598290614	-6.8601	-28.465
-34.11880598290614	-3.9648	32.118
-32.90080598290614	2.5258	25.154
-32.75480598290614	-10.191	24.529
-34.27580598290614	4.8033	12.06
-32.137805982906144	-13.5	11.608
-35.378805982906144	6.5522	1.7995
-31.667805982906145	-16.051	1.4763
-33.18480598290614	0.045789	3.1512
-32.71480598290614	-8.5171	3.158
-32.15080598290614	2.5403	-12.91
-32.186805982906144	-7.6682	-13.099
-30.906805982906143	4.7182	-28.106
-31.390805982906144	-6.8602	-28.464
-34.12680598290614	-3.984	32.119
-32.887805982906144	2.5144	25.161
-32.789805982906145	-10.204	24.536
-34.20980598290614	4.783	12.061
-32.213805982906145	-13.545	11.622
-35.27080598290614	6.5249	1.7948
-31.774805982906145	-16.121	1.4946
-33.16380598290614	0.027297	3.1535
-32.716805982906145	-8.5368	3.1591
-32.13380598290614	2.5305	-12.907
-32.186805982906144	-7.6783	-13.098
-30.897805982906142	4.7189	-28.102
-31.390805982906144	-6.8603	-28.462
-34.13980598290614	-4.0154	32.121
-32.86680598290614	2.4955	25.175
-32.84680598290614	-10.225	24.547
-34.100805982906145	4.7494	12.063
-32.338805982906145	-13.618	11.644
-35.09380598290614	6.4799	1.7879
-31.952805982906142	-16.234	1.5254
-33.128805982906144	-0.0032067	3.1571
-32.719805982906145	-8.5692	3.1608
-32.11180598290614	2.5173	-12.901
-32.22680598290614	-7.6919	-13.096
-30.88380598290614	4.7202	-28.095
-31.391805982906142	-6.8606	-28.458
-34.17680598290614	-4.0144	32.114
-32.85580598290614	2.5145	25.17
-32.945805982906144	-10.201	24.539
-33.97380598290614	4.7459	12.043
-32.47680598290614	-13.637	11.646
-34.875805982906144	6.459	1.7575
-32.12080598290614	-16.286	1.5346
-33.06080598290614	-0.021436	3.1606
-32.725805982906145	-8.5906	3.152
-32.07780598290614	2.5041	-12.899
-32.381805982906144	-7.7062	-13.108
-30.88280598290614	4.7124	-28.095
-31.457805982906144	-6.8851	-28.465
-34.22980598290614	-4.1207	32.136
-32.853805982906145	2.3901	25.143
-33.07880598290614	-10.312	24.572
-33.85280598290614	4.6977	12.021
-32.62080598290614	-13.697	11.665
-34.66080598290614	6.4708	1.7372
-32.27380598290614	-16.306	1.5429
-32.99180598290614	-0.042058	3.1609
-32.73880598290614	-8.6139	3.1445
-32.04080598290614	2.492	-12.9
-32.52980598290614	-7.7066	-13.116
-30.87680598290614	4.7085	-28.096
-31.458805982906142	-6.8842	-28.464
-34.26180598290614	-4.1239	32.142
-32.74580598290614	2.3992	25.121
-33.19080598290614	-10.303	24.594
-33.68780598290614	4.7346	12.0
-32.66380598290614	-13.708	11.695
-34.45280598290614	6.5289	1.7162
-32.259805982906144	-16.332	1.5789
-32.91980598290614	-0.059523	3.166
-32.747805982906144	-8.6333	3.143
-31.99580598290614	2.4886	-12.894
-32.67880598290614	-7.7109	-13.118
-30.857805982906143	4.7182	-28.09
-31.45680598290614	-6.895	-28.454
-34.329805982906144	-4.1267	32.109
-32.722805982906145	2.3925	25.078
-33.320805982906144	-10.305	24.568
-33.545805982906145	4.753	11.952
-32.76480598290614	-13.713	11.67
-34.216805982906145	6.5682	1.6661
-32.33680598290614	-16.341	1.5561
-32.850805982906145	-0.056023	3.1296
-32.69780598290614	-8.6301	3.0964
-31.95980598290614	2.4921	-12.932
-32.77080598290614	-7.7012	-13.164
-30.851805982906143	4.7232	-28.13
-31.44180598290614	-6.8868	-28.491
-34.34080598290614	-4.1504	32.118
-32.66380598290614	2.3945	25.08
-33.43480598290614	-10.294	24.588
-33.39580598290614	4.7255	11.944
-32.83380598290614	-13.698	11.692
-33.99880598290614	6.5175	1.6491
-32.36880598290614	-16.322	1.5784
-32.759805982906144	-0.065349	3.1351
-32.710805982906145	-8.6405	3.1019
-31.911805982906145	2.4878	-12.928
-32.86180598290614	-7.7049	-13.157
-30.84680598290614	4.7242	-28.129
-31.44480598290614	-6.8988	-28.477
-34.396805982906145	-4.1388	32.133
-32.61980598290614	2.4035	25.077
-33.561805982906144	-10.271	24.615
-33.17880598290614	4.8811	11.96
-32.90480598290614	-13.676	11.721
-33.646805982906145	6.7884	1.6788
-32.39480598290614	-16.3	1.6099
-32.65780598290614	-0.081969	3.1501
-32.71180598290614	-8.657	3.1085
-31.859805982906146	2.4777	-12.915
-32.89780598290614	-7.7043	-13.149
-30.839805982906142	4.7181	-28.118
-31.45380598290614	-6.8895	-28.466
-34.46580598290614	-4.1205	32.134
-32.56680598290614	2.3949	25.067
-33.67980598290614	-10.265	24.626
-33.05080598290614	4.8533	11.942
-32.978805982906145	-13.641	11.727
-33.45880598290614	6.7471	1.6563
-32.43480598290614	-16.242	1.6116
-32.56680598290614	-0.098529	3.1435
-32.719805982906145	-8.6723	3.1097
-31.81380598290614	2.4676	-12.922
-32.87380598290614	-7.7119	-13.148
-30.83780598290614	4.7148	-28.127
-31.452805982906142	-6.8886	-28.467
-34.48980598290614	-4.1258	32.138
-32.48780598290614	2.389	25.048
-33.768805982906144	-10.251	24.637
-32.88080598290614	4.8976	11.93
-33.02880598290614	-13.621	11.738
-33.21780598290614	6.8314	1.6492
-32.45280598290614	-16.215	1.623
-32.49580598290614	-0.10475	3.1488
-32.74180598290614	-8.6763	3.1099
-31.78580598290614	2.4675	-12.918
-32.80180598290614	-7.7205	-13.149
-30.847805982906145	4.7183	-28.125
-31.454805982906144	-6.8912	-28.474
-34.58180598290614	-4.0449	32.134
-32.42680598290614	2.3894	25.033
-33.850805982906145	-10.235	24.649
-32.68080598290614	4.9333	11.919
-33.06680598290614	-13.616	11.757
-32.91080598290614	6.8956	1.6404
-32.45280598290614	-16.221	1.6464
-32.41080598290614	-0.11512	3.1419
-32.75580598290614	-8.6832	3.1095
-31.74080598290614	2.4608	-12.926
-32.67780598290614	-7.7331	-13.15
-30.844805982906145	4.7178	-28.135
-31.449805982906142	-6.8934	-28.484
-34.68480598290614	-4.1554	32.155
-32.26080598290614	2.2746	25.035
-33.99280598290614	-10.317	24.615
-32.478805982906145	4.9135	11.938
-33.13880598290614	-13.642	11.712
-32.68180598290614	6.9501	1.6737
-32.469805982906145	-16.201	1.5935
-32.34380598290614	-0.1613	3.1528
-32.75780598290614	-8.7263	3.1492
-31.704805982906144	2.4379	-12.913
-32.53780598290614	-7.7619	-13.108
-30.83780598290614	4.7166	-28.12
-31.467805982906143	-6.8855	-28.453
-34.68180598290614	-4.0833	32.172
-32.17180598290614	2.329	25.04
-34.02880598290614	-10.245	24.642
-32.31880598290614	4.969	11.943
-33.17480598290614	-13.593	11.745
-32.46480598290614	7.0077	1.6776
-32.50280598290614	-16.172	1.632
-32.34280598290614	-0.2131	3.2039
-32.79380598290614	-8.776	3.1541
-31.704805982906144	2.404	-12.859
-32.41680598290614	-7.8007	-13.1
-30.839805982906142	4.7026	-28.063
-31.472805982906145	-6.8914	-28.451
