		frames = 240 markers = 13 Hz = 30
-13.349	1.9515	29.658
-8.5225	2.2929	0.44799
-9.3735	15.583	8.6887
-41.387	2.057	0.30589
-40.508	-1.8847	29.582
-34.157	6.6242	-0.69251
-10.976	2.3515	-15.496
-29.636	2.8214	27.237
-40.277	-12.902	-0.55441
-11.916	2.1887	29.696
-41.015	-6.4419	0.35649
-40.361	-6.7641	0.30889
-40.375	-6.7588	0.31099
-34.26	-2.327	21.394
-41.928	2.7642	-30.247
-29.361	-6.9095	1.7915
-41.725	8.0572	9.2159
-13.567	8.1	-14.904
-13.875	1.9514	29.614
-40.271	-6.7719	0.30399
-41.175	5.4498	22.596
8.03	9.0514	22.415
2.9899	3.1693	22.161
-42.189	4.9207	22.411
-41.896	2.7384	-30.289
-42.743	8.9554	-0.40261
-42.766	8.9718	-0.34861
-39.255	-10.779	8.8412
-40.231	-7.7579	22.141
-39.184	-1.0312	29.73
-9.2222	10.237	0.17229
-14.032	11.798	22.484
-41.306	-6.5863	-15.771
-38.876	-13.149	-0.57181
-13.579	2.4659	-29.888
-41.924	5.3671	22.328
-10.505	9.8076	0.70359
-40.269	-12.897	-0.56371
-11.871	-5.1284	-0.080009
-41.924	2.7572	-30.25
-8.6226	7.8377	29.695
-41.724	-6.5054	-15.722
-13.605	2.5166	-29.921
-41.493	2.1009	0.33729
-41.159	2.0039	0.30079
-42.47	8.1726	9.2883
-40.659	2.4417	0.42909
-42.205	4.8248	22.417
-42.323	-6.5299	-30.226
6.6913	7.1971	23.18
-11.258	2.223	-15.674
-7.0539	0.55224	23.199
-41.927	2.7578	-30.244
-41.089	1.7948	0.27339
-19.741	9.5363	9.2818
-33.028	10.831	20.782
-40.784	-5.9622	-15.788
-8.5407	7.7599	29.64
-42.878	7.8729	8.8021
4.4145	-0.70148	18.267
-41.861	2.6967	-30.151
-21.88	10.562	9.3842
-41.049	-6.1898	0.41889
-8.4909	0.7296	22.023
-13.606	2.5095	-29.96
-41.167	2.0128	0.30049
-33.305	6.6853	-0.82841
-39.81	-13.017	-0.45211
-40.983	-6.4475	0.35659
-38.554	-10.897	8.8374
-25.42	10.529	20.164
-41.35	-6.5406	-15.759
-40.481	-6.6781	0.32309
-41.609	5.8471	22.26
-39.247	-1.3299	29.618
-41.86	2.6956	-30.149
-40.066	4.3377	0.63689
-42.827	8.8724	-0.48131
-13.492	2.4206	-29.857
-41.256	-6.3623	0.40299
-11.096	9.0963	-15.396
-38.788	-7.4948	22.253
-8.2228	1.9965	0.32629
-40.334	9.3776	-0.17441
-21.089	9.7383	9.5734
-19.914	11.494	-0.51701
-9.2008	7.7483	29.771
-41.477	-6.4056	-15.695
-9.1984	1.6114	0.41219
-38.41	-11.06	8.7906
-40.132	-7.6653	22.15
-10.563	6.7551	29.58
-41.908	2.7452	-30.283
-13.556	2.4557	-29.93
-42.337	8.5429	-0.56161
-41.918	9.3001	-0.11321
-28.795	4.9954	-25.269
-11.357	8.9294	-29.962
-10.681	13.872	22.508
8.2971	9.1518	21.994
-34.535	-2.002	-0.17381
-42.798	8.9758	-0.41511
-10.06	-0.14087	0.30579
-11.578	-2.301	23.084
-41.534	2.5073	-15.766
-41.558	2.4864	-15.771
-41.322	2.3137	-15.826
-23.335	14.231	-1.6606
-6.9085	0.77656	23.074
-40.512	-1.8716	29.579
-7.8129	1.1075	22.145
-42.65	8.5946	-0.67201
-19.081	12.49	-0.70251
-38.6	-13.121	-0.57671
-41.29	-6.6456	-15.789
-10.835	2.3276	-15.554
-39.57	-7.5231	22.153
-40.43	-6.7307	0.31979
-10.926	2.3978	-15.456
-39.123	-8.0841	22.167
-41.895	2.7369	-30.289
-38.62	-13.082	-0.56811
-10.108	9.7604	-15.683
-38.54	-11.058	8.7748
-41.089	3.3293	-29.288
-42.345	-6.5388	-30.196
-42.416	-6.5992	-30.186
-39.44	-7.6086	22.228
-42.522	8.4655	-0.52491
-41.135	1.8199	0.28069
-41.28	2.0487	0.29509
-7.6455	1.1958	22.508
-40.315	-6.7728	0.30559
-11.394	8.9147	-30.05
-41.908	2.7411	-30.283
-9.5864	10.566	0.63159
-39.246	-1.5733	29.635
-39.721	-10.798	8.7745
-9.7021	16.134	8.8989
-41.866	2.7092	-30.241
-39.479	-8.1827	22.175
-11.688	9.3431	-29.46
-38.422	-11.072	8.7927
-9.0423	10.684	0.33869
-40.283	-6.772	0.30229
-42.819	8.7401	-0.68661
-40.253	-12.872	-0.55541
-10.072	13.728	22.355
-42.997	8.1946	9.325
-11.305	4.7886	29.634
-38.375	-7.0217	22.343
-38.649	-13.089	-0.64551
-24.299	-5.6126	4.7538
-41.279	2.5758	-15.777
-18.133	6.0303	1.1082
-39.454	-8.1764	22.169
-40.296	-6.7776	0.30389
-40.964	1.757	0.27499
-42.35	-6.5948	-30.139
-42.641	7.462	8.8084
-8.4262	-1.4875	23.585
-14.577	11.357	22.357
-43.513	7.7765	9.0075
-10.344	9.3959	-15.947
-9.3151	17.109	-0.71831
-40.061	-7.6333	22.152
-27.287	14.155	6.7416
-41.144	2.5987	-15.704
-15.667	-3.9494	10.146
-10.19	13.736	22.456
-41.158	1.8461	0.27929
-12.115	15.905	9.2578
-11.95	1.1504	-15.647
6.7371	4.6073	22.291
-38.752	9.8871	21.319
-41.137	2.5944	-15.698
5.7974	1.0622	16.89
-40.819	5.4946	22.656
-9.2769	0.54166	0.23459
-39.206	-10.78	8.8443
-35.123	10.675	21.156
-41.924	2.7584	-30.243
-41.82	5.5011	22.295
-7.8641	1.0752	22.095
-38.528	0.57758	29.556
-43.701	7.9148	9.1205
-40.248	8.4364	21.867
8.8526	7.8211	21.605
-40.199	-7.7278	22.14
-33.751	10.805	20.93
-41.966	5.1475	22.38
-42.34	-6.5389	-30.23
-39.222	-1.0661	29.733
-39.248	-1.3371	29.618
-41.206	-6.6589	-15.802
-43.318	7.8094	9.1349
-10.868	2.1917	-15.603
-41.685	2.7568	-29.904
-10.439	9.4547	-15.823
-41.849	8.088	9.2384
