level_0	level_1	frames = 139 markers = 13 Hz = 30
-4.055150747094686	1.0336	25.639
-7.411150747094688	-5.7441	18.648
-6.511150747094689	8.0086	18.064
-7.183150747094686	-7.7997	5.5655
-6.268150747094687	10.233	5.0189
-7.0331507470946875	-8.9593	-2.0054
-6.128150747094686	11.489	-2.5288
-7.3981507470946895	-2.286	-1.5032
-7.22115074709469	5.382	-1.4992
-7.3371507470946895	-1.3262	-18.146
-8.555150747094686	4.4514	-18.092
-9.753150747094686	-0.31942	-31.857
-9.664150747094688	3.6483	-31.992
-3.9251507470946905	1.0122	25.642
-7.301150747094688	-5.7545	18.629
-6.36115074709469	7.9936	18.075
-7.089150747094685	-7.8488	5.5521
-6.393150747094687	10.183	5.0222
-6.949150747094691	-9.0312	-2.0153
-6.378150747094686	11.399	-2.5331
-7.378150747094686	-2.3275	-1.5052
-7.204150747094687	5.3407	-1.4862
-7.493150747094688	-1.3435	-18.146
-8.39515074709469	4.4479	-18.092
-9.759150747094687	-0.30314	-31.88
-9.656150747094685	3.6504	-31.979
-4.036150747094688	0.8828	25.658
-7.123150747094691	-5.9171	18.682
-6.255150747094689	7.8381	18.068
-6.969150747094687	-7.9378	5.5922
-6.475150747094688	10.177	5.0425
-6.863150747094686	-9.0773	-1.9823
-6.491150747094686	11.439	-2.5056
-7.125150747094686	-2.2921	-1.4689
-7.144150747094685	5.3779	-1.4692
-7.265150747094687	-1.2314	-18.105
-8.365150747094688	4.4716	-18.072
-9.572150747094689	-0.17879	-31.831
-9.649150747094687	3.6563	-31.956
-3.950150747094689	0.80248	25.66
-6.966150747094687	-5.9847	18.689
-6.1071507470946855	7.7919	18.159
-6.831150747094689	-8.0272	5.6026
-6.498150747094691	10.208	5.1518
-6.735150747094686	-9.1792	-1.97
-6.415150747094685	11.413	-2.4055
-7.122150747094686	-2.3452	-1.4724
-7.113150747094686	5.3249	-1.4516
-7.28215074709469	-1.303	-18.109
-8.34315074709469	4.4407	-18.055
-9.667150747094688	-0.25096	-31.823
-9.634150747094687	3.6448	-31.939
-3.856150747094688	0.74885	25.664
-6.815150747094691	-6.0655	18.715
-6.006150747094686	7.7272	18.208
-6.684150747094691	-8.062	5.6218
-6.5771507470946915	10.257	5.2293
-6.591150747094687	-9.1873	-1.9549
-6.1851507470946885	11.32	-2.3395
-7.078150747094689	-2.3759	-1.4604
-7.054150747094688	5.294	-1.4223
-7.174150747094686	-1.3054	-18.096
-8.310150747094688	4.4192	-18.024
-9.632150747094691	-0.21657	-31.794
-9.62315074709469	3.6313	-31.907
-3.677150747094686	0.77682	25.64
-6.644150747094685	-6.0705	18.711
-5.84015074709469	7.7176	18.157
-6.5231507470946895	-8.0804	5.6197
-6.703150747094689	10.496	5.2452
-6.4351507470946885	-9.2139	-1.9558
-5.7661507470946844	11.344	-2.3035
-7.2021507470946915	-2.4738	-1.4978
-7.0431507470946855	5.1943	-1.4207
-7.126150747094691	-1.3794	-18.132
-8.30615074709469	4.3781	-18.025
-9.633150747094689	-0.21459	-31.814
-9.626150747094691	3.6431	-31.91
-3.6081507470946903	0.691	25.634
-6.549150747094686	-6.1651	18.7
-5.683150747094686	7.6245	18.188
-6.378150747094686	-8.1478	5.6047
-7.012150747094687	10.646	5.3712
-6.261150747094689	-9.2653	-1.9728
-5.275150747094685	11.18	-2.0635
-7.144150747094685	-2.5006	-1.4989
-6.993150747094688	5.1675	-1.4029
-6.9551507470946845	-1.41	-18.132
-8.284150747094685	4.3711	-18.006
-9.62015074709469	-0.24115	-31.784
-9.626150747094691	3.6513	-31.89
-3.508150747094689	0.51272	25.59
-6.434150747094691	-6.3273	18.658
-5.540150747094685	7.4586	18.136
-6.201150747094687	-8.2517	5.5556
-7.378150747094686	10.966	5.5073
-6.048150747094688	-9.3347	-2.0263
-4.6681507470946855	11.368	-1.6387
-7.156150747094685	-2.5556	-1.5118
-7.0231507470946895	5.113	-1.437
-6.8001507470946905	-1.4485	-18.141
-8.304150747094688	4.3515	-18.043
