		frames = 139 markers = 13 Hz = 30
12.498	-3.2312	-31.797
12.133	-3.0264	-31.312
13.576	2.4414	25.075
12.573	-3.2485	-31.672
17.287	-13.376	10.064
48.379	4.6356	19.974
14.387	-4.2755	-31.021
52.562	5.0784	-1.4115
13.961	-9.6509	6.1286
51.909	10.233	5.0189
37.991	14.342	15.495
36.186	13.633	13.539
51.665	-8.3551	5.53
3.7541	-2.3431	24.976
13.765	-4.1844	-31.362
14.697	5.118	-1.1948
15.825	-12.841	8.5614
14.195	-5.9701	18.744
5.274	-2.1497	25.031
13.478	-8.0066	-2.0416
6.3526	-17.858	15.534
14.371	8.4966	18.14
9.4173	17.176	10.08
13.67	16.813	20.59
12.357	-3.1559	-31.557
14.354	-5.6258	18.702
52.344	10.496	5.2452
8.4409	-12.837	2.3038
15.097	-20.431	11.452
13.509	3.2334	-0.95248
14.016	-2.4609	-17.998
29.637	-3.4839	-1.5393
16.419	-1.6775	24.028
10.673	12.919	2.5977
11.913	7.0749	18.641
49.696	1.0336	25.639
24.455	5.7542	18.433
7.337	5.094	17.618
6.7122	-8.9431	19.998
52.051	-3.5255	-1.8322
52.076	-9.2139	-1.9558
15.627	2.8703	-31.604
13.023	-3.2236	-17.72
13.196	2.8024	-17.236
15.492	-4.9358	18.561
9.6952	-7.9019	18.911
14.385	7.9361	18.362
15.66	10.962	10.181
16.594	-1.2016	-1.549
14.288	-2.3278	-18.021
7.8612	-8.5517	18.008
12.648	7.3278	18.63
11.559	19.92	14.597
3.3958	-1.9462	24.115
15.024	3.5544	-17.634
14.025	10.862	4.7434
49.889	-11.434	-2.7714
12.642	-3.3076	-31.862
7.7275	-0.74611	25.113
10.558	0.40727	25.377
14.596	8.8067	17.933
13.02	-7.178	5.6256
22.687	1.351	-29.007
15.69	2.8548	-31.642
16.963	-1.1102	-1.6208
46.606	4.2505	19.508
15.296	3.2738	-31.077
15.749	-1.5778	-1.4496
51.689	-9.3347	-2.0263
15.463	5.714	-1.4
10.732	-8.9217	0.83522
44.524	-3.0945	24.405
41.338	-3.3983	23.068
7.2518	-2.304	25.497
7.3046	5.0332	18.834
12.487	-3.2011	-31.676
22.072	1.5297	-18.533
52.634	5.1675	-1.4029
9.2548	-8.0217	18.919
14.524	11.184	4.698
10.04	11.797	1.3494
14.319	1.5381	-0.93428
49.883	-12.864	4.9051
54.819	-0.38298	-31.102
18.403	-8.7244	19.084
15.82	13.688	10.827
15.836	-4.7752	18.575
15.955	-4.312	-18.248
13.664	10.539	4.9473
23.516	3.301	-1.5755
54.196	4.4514	-18.092
52.456	-6.0655	18.715
13.102	-2.9162	-17.837
16.274	12.662	8.2283
15.342	5.62	-1.3545
51.295	-3.8779	-1.7949
15.456	-10.253	6.6887
12.543	-3.2343	-31.681
14.379	3.0407	-17.628
12.601	-3.2218	-31.659
43.979	-2.0795	-26.783
27.603	-19.177	11.107
24.725	-1.3843	23.292
48.37	11.284	0.47692
20.297	-4.1672	-30.962
15.688	2.8454	-31.568
9.2432	17.486	10.871
55.294	-0.30258	-31.72
12.139	2.8847	-17.403
12.243	-3.0571	-31.527
16.721	10.992	6.6815
15.962	4.4431	-17.955
13.101	-4.4027	-17.695
15.094	-11.613	7.1098
12.205	-3.0009	-31.391
17.039	6.5974	-1.4624
14.68	3.1895	-17.667
11.948	-6.6784	19.014
10.104	-5.5436	-0.93378
11.669	-2.5111	23.967
15.58	13.835	10.24
50.361	-10.56	-2.865
15.651	2.8607	-31.603
18.909	-8.5459	19.407
52.058	4.6061	-1.5304
13.877	-2.7289	-1.1693
12.514	-6.5503	19.155
51.379	-8.679	5.3631
4.4499	-2.153	25.02
12.613	-3.2219	-31.727
13.783	-3.0966	-1.0976
24.033	16.148	15.972
15.245	5.531	-1.3052
6.6044	-8.9149	19.805
12.886	-4.4105	-1.0615
16.772	-7.0713	5.5637
50.867	-9.8491	-2.337
10.353	-7.5529	18.837
14.749	14.58	13.676
25.341	1.962	-17.928
11.892	0.99505	25.621
21.934	-1.3577	23.536
17.38	10.267	12.614
13.57	3.2446	-0.95948
8.7384	5.686	18.223
14.04	-2.5315	-1.1857
12.478	-3.1825	-31.7
13.238	3.0592	-0.99448
51.114	-11.69	4.8748
3.9077	-3.0475	25.181
16.45	-7.0853	5.5332
15.829	-12.584	8.0455
14.785	15.848	17.488
33.035	-5.0909	-18.657
46.974	-2.8366	24.649
4.8629	-1.9412	24.896
52.056	11.413	-2.4055
37.387	3.9033	17.412
36.322	2.8308	-18.352
37.939	-9.5407	16.973
11.709	-6.7765	19.062
40.885	3.3091	-17.096
13.213	-9.7583	17.96
23.271	-11.623	14.859
12.65	-3.3041	-31.824
12.643	-3.3096	-31.862
3.7591	-2.1502	24.237
21.367	-8.3726	19.081
15.663	13.837	9.6153
15.622	-5.8874	-1.4391
12.453	2.875	-17.432
10.705	12.717	2.4102
12.308	7.2615	18.585
14.54	3.1167	-17.59
14.054	12.193	-2.8514
7.0422	5.1247	18.607
14.239	3.8729	-1.0287
19.651	2.42	-1.88
44.697	3.5701	-3.2632
15.34	-8.3924	-2.0144
15.682	2.8477	-31.634
8.6822	-13.436	3.3403
9.9781	12.508	24.627
8.9911	-16.535	6.9001
7.0328	-15.427	19.365
12.448	-3.155	-31.644
12.547	-3.7224	-17.716
44.056	16.776	17.482
34.669	2.5964	-18.711
15.715	2.7371	-31.813
34.235	2.2635	-30.662
9.8659	17.0	8.6321
13.953	17.113	17.082
52.59	-9.0312	-2.0153
15.327	-1.8545	-1.3854
15.446	-11.462	8.9921
10.523	12.356	2.0944
11.913	-9.6966	18.522
12.747	-3.5943	-17.725
49.662	-0.80339	24.998
15.522	3.0003	-31.443
15.648	13.843	10.427
15.284	-7.2299	5.5563
12.461	-3.1641	-31.672
12.613	-19.803	14.901
10.041	-9.0084	20.503
10.834	-5.7491	-0.87358
8.9388	-15.602	6.6034
31.604	-17.457	11.002
13.979	-4.3147	-18.033
55.281	3.6921	-31.897
35.381	4.2521	-2.1947
12.967	-4.4009	-1.0639
15.96	12.979	12.007
32.964	-2.1332	22.527
6.4589	-16.961	18.119
3.5559	-2.0337	24.126
11.341	10.757	-2.132
17.965	-16.803	16.183
13.474	-3.9488	-1.0711
22.25	-4.7443	-16.858
6.7286	5.285	18.258
12.66	-3.2828	-31.795
14.21	-5.9275	18.668
55.29	3.6563	-31.956
23.679	-13.704	14.764
12.41	-19.111	7.4057
28.544	1.0538	-31.787
8.7163	-14.565	5.2773
52.139	10.208	5.1518
46.769	11.838	5.1911
12.718	11.249	-2.5258
4.3051	-2.9532	25.344
7.5035	-8.7139	17.675
55.213	-0.49646	-31.313
50.634	-2.2016	-18.358
18.492	-18.15	9.1825
6.5678	5.3485	17.924
19.13	14.312	12.289
12.868	1.7213	25.342
46.898	-2.1582	-19.747
15.745	2.7215	-31.808
12.432	-19.231	13.895
51.179	-8.8663	5.3464
8.8198	-16.324	6.8081
23.749	-5.1662	-17.045
15.729	5.9784	-1.3402
16.52	-17.546	14.281
1.0728	-19.806	24.581
48.279	-4.1028	-2.5088
11.543	-6.8876	19.054
52.766	-2.2921	-1.4689
55.106	3.8571	-31.704
50.663	-2.1304	-18.387
10.757	-4.1061	-17.529
3.1506	-16.131	20.617
12.97	10.104	5.1846
12.958	7.4006	18.601
9.0612	-8.16	18.907
49.588	-1.4408	24.652
16.804	-13.485	9.4375
15.171	-11.042	8.4988
55.233	-0.5315	-31.431
34.824	-11.251	3.5183
49.189	-1.9739	-27.717
49.566	1.0122	25.642
11.077	-18.431	7.3641
14.119	-10.582	6.5988
43.655	3.605	-3.3996
9.8247	-0.052113	25.369
10.169	-7.6354	18.869
12.469	-3.1838	-31.698
52.607	-5.9847	18.689
13.342	11.778	-2.7047
13.262	-4.227	-1.0813
30.643	-3.2606	-29.032
10.092	-3.8853	-17.688
8.1153	-8.6083	18.161
21.341	-15.503	14.541
51.572	-3.8375	-1.8276
21.386	-17.43	9.3709
52.923	-1.303	-18.109
15.609	2.9323	-31.479
49.523	16.701	12.638
13.12	-2.893	-17.827
7.5495	5.0222	19.314
28.307	1.0038	-31.78
14.648	5.0597	-1.0926
12.418	2.9032	-1.0463
8.6791	4.0564	20.373
8.7751	5.7439	18.194
15.628	2.8836	-31.6
15.358	4.0506	-17.911
13.046	-3.0205	-17.789
41.646	-10.121	16.487
25.185	1.6838	-29.227
9.2403	17.818	11.15
12.358	-7.7783	-1.983
15.435	-10.09	6.6805
12.627	-3.2207	-31.781
33.997	4.2255	17.632
12.346	-3.1104	-31.641
5.2781	-1.5716	24.598
10.117	4.3577	21.643
14.762	5.1776	-1.2128
8.6234	11.215	21.412
15.024	3.7567	-17.786
9.117	-0.30199	25.112
12.509	17.503	19.614
21.332	-4.5792	-16.899
49.02	0.067597	25.483
13.046	-2.9284	-17.822
10.702	6.4975	18.524
12.975	-3.1477	-17.749
30.646	7.4054	15.22
12.501	-21.304	16.612
11.171	-20.536	13.726
32.219	4.3573	-1.5772
28.875	-8.09	18.431
52.376	-9.1792	-1.97
13.705	-18.401	12.782
11.013	0.4611	25.301
51.517	-1.7857	-18.155
30.593	7.2796	14.515
9.4796	-7.9475	18.922
15.69	13.346	12.367
14.963	16.626	16.122
42.42	3.9843	-16.591
46.922	12.533	21.685
55.099	-0.54793	-31.445
27.031	-3.6058	-29.924
4.2079	-1.937	24.378
14.682	5.1116	-1.1105
12.8	-19.88	8.0989
14.942	9.0607	17.755
17.36	-4.3738	-17.872
13.042	-4.3516	-1.0721
15.694	-12.755	8.4344
7.0291	4.3519	18.077
51.426	4.3709	-18.242
16.23	-15.198	11.592
14.617	3.1433	-17.675
14.617	5.0291	-1.0894
15.403	4.0814	-17.955
55.394	-0.31942	-31.857
9.8652	-7.8117	18.931
6.0998	-9.7401	18.216
13.413	-6.3187	19.067
10.652	4.4139	20.042
7.0624	-1.011	25.013
4.0998	-22.064	23.821
12.177	-3.0059	-31.408
30.496	-15.077	6.8501
14.143	3.7849	-1.0195
49.975	16.016	10.834
13.951	-19.875	6.9653
15.896	13.636	9.2618
50.309	11.368	-1.6387
15.709	2.8262	-31.706
51.773	-1.6081	-18.09
53.052	-5.7441	18.648
13.573	7.6039	18.579
27.996	0.75199	-31.441
25.378	5.6994	18.47
12.645	-3.3083	-31.865
49.241	-11.7	-2.4004
12.612	1.6966	-0.82518
43.669	-3.0813	24.052
15.072	3.6896	-17.81
15.542	2.9688	-31.44
13.918	-3.4055	-1.0946
10.855	-9.4899	19.457
14.875	-12.411	8.6263
55.275	-0.58686	-31.495
9.9653	11.385	0.18992
15.428	3.2209	-31.325
11.304	0.64316	25.543
21.621	15.179	15.59
10.598	18.282	16.431
8.809	-16.131	6.7809
6.8575	5.2982	17.773
15.05	5.432	-1.2037
36.861	13.859	14.462
10.274	6.3813	18.514
15.718	2.7603	-31.75
14.443	8.1449	18.402
12.088	-6.7046	18.996
50.996	6.7329	18.101
7.4838	4.9613	18.734
12.832	-6.0524	-0.94678
24.1	15.711	16.457
48.727	4.7093	19.789
51.554	4.1284	-1.7927
6.3249	13.998	29.704
44.133	2.2597	-30.33
43.468	11.439	22.932
16.458	-13.603	10.154
16.216	11.623	6.3323
12.778	-3.5699	-17.72
9.9566	-17.47	7.1331
13.619	-3.7712	-1.1408
8.5515	-8.3465	18.703
15.64	2.8627	-31.61
14.807	-2.1266	-1.3102
15.711	2.7762	-31.727
13.394	1.5774	-0.83278
12.574	-2.2743	23.666
15.724	2.7075	-31.804
15.768	13.758	9.4186
32.57	-3.3034	-1.8409
6.7995	-1.1489	24.969
16.053	4.4781	-17.984
7.0976	4.2517	18.112
14.669	-2.1969	-1.2881
11.922	-20.36	16.133
27.677	-3.6461	-1.5115
51.351	-7.9386	18.013
13.086	-2.9277	-17.832
14.41	-5.9992	-1.1526
9.7506	17.169	9.4032
15.033	3.6469	-17.716
12.949	-3.3824	-17.745
52.785	5.3779	-1.4692
29.891	15.484	12.098
46.1	-9.751	16.85
13.225	-4.1647	-1.0968
29.724	1.5219	-31.31
28.441	0.9976	-31.845
13.86	1.5482	-0.87598
14.383	-7.1536	5.5147
51.214	-1.8072	-18.237
12.178	10.954	-2.4836
55.297	3.6504	-31.979
23.394	-15.903	12.333
6.9993	-8.8868	19.091
4.2642	-1.8855	24.873
9.254	3.9734	21.565
45.325	-9.8426	16.863
45.368	-14.191	3.8674
47.925	4.3913	20.051
55.178	-0.49404	-31.287
10.466	-8.4115	-0.57448
8.2811	-8.5707	18.404
13.235	-4.2722	-1.0878
53.019	10.966	5.5073
13.928	3.0406	-17.568
48.339	-13.235	4.4096
49.829	-9.1658	17.814
16.126	6.1873	-1.3681
12.055	2.8832	-17.407
3.8969	-2.1915	24.371
24.565	1.8176	-18.007
16.325	12.892	8.6095
14.962	-2.0407	-1.3291
13.491	2.9119	-17.719
45.657	12.148	22.573
12.652	-3.2915	-31.84
23.767	-8.4516	18.23
15.689	-7.1711	5.5419
14.609	11.295	4.6803
15.729	-12.623	8.0758
8.3995	-0.48732	25.052
46.644	-9.6661	17.052
12.146	7.2218	18.597
10.084	18.925	11.468
10.74	-2.6521	24.128
55.216	3.8256	-31.847
6.2013	-9.38	18.164
9.6124	14.877	16.653
44.445	-2.6725	-19.192
15.496	2.981	-31.514
3.5146	-1.9793	24.168
52.767	-1.3794	-18.132
50.279	5.6658	18.444
15.518	-1.6886	-1.4131
24.847	17.308	17.46
12.173	-2.9651	-31.459
11.008	6.7502	18.644
21.146	13.234	18.818
14.99	3.4836	-17.707
50.032	-3.9763	-1.9524
12.294	1.7973	-0.81678
20.928	12.761	19.84
55.249	-0.40881	-31.556
12.183	-3.0061	-31.45
25.535	3.6982	-1.3493
28.716	6.2062	14.855
52.97	4.314	-18.167
9.004	10.796	21.377
12.838	-3.7089	-31.842
54.943	-0.31765	-31.259
13.972	3.6194	-1.0262
6.8519	-16.156	19.387
25.766	-8.393	11.766
49.994	3.7287	-1.5239
20.973	-4.8221	-2.0982
15.015	-11.39	8.4622
49.599	3.718	-1.5523
30.419	2.1352	-30.992
47.843	17.273	15.747
13.834	-3.4969	-1.081
28.083	-16.459	11.031
45.122	-3.9217	-3.2663
27.024	-1.2011	23.272
13.32	2.269	25.118
12.653	2.9286	-0.94498
12.123	-4.366	-17.5
7.3643	-21.998	18.066
14.668	-17.395	4.2144
36.429	2.2758	-30.797
10.411	0.33707	25.407
54.57	4.1284	-31.076
49.283	-2.3572	24.423
11.221	-18.273	5.323
14.014	-2.5836	-1.1947
15.181	-1.9509	-1.3684
12.614	-3.2077	-31.772
51.079	3.8485	-1.7171
13.997	-9.6553	17.897
38.102	-15.808	4.9472
16.95	2.6076	-30.65
32.364	-10.826	5.9261
55.213	-0.17879	-31.831
7.7075	-19.767	13.357
54.332	-1.3099	-30.06
12.635	-3.2713	-31.831
15.949	11.637	6.8936
17.162	-1.0697	-1.6509
12.192	-2.9997	-31.402
13.01	20.041	12.11
12.822	-3.4946	-17.776
12.945	3.0398	-0.97028
43.235	-10.213	16.466
9.1205	5.8732	18.364
12.41	-3.1336	-31.769
11.735	2.6871	-1.0302
47.451	3.521	-2.3761
50.087	-2.1421	-18.521
18.456	5.2506	19.205
14.687	8.8983	17.816
7.5339	-2.1331	25.298
52.684	5.1943	-1.4207
11.004	-7.1739	18.957
3.9749	12.405	29.926
15.086	9.1127	17.726
52.441	-1.4485	-18.141
13.407	-7.1373	5.5776
46.385	4.9924	-17.668
23.267	15.398	15.929
15.71	2.7712	-31.742
16.56	11.088	6.7373
25.729	9.0529	17.616
12.148	-3.012	-31.33
12.948	-17.042	3.7272
8.3871	-8.4552	18.576
11.917	4.3186	18.707
6.9653	-9.882	20.38
16.261	12.926	11.426
11.073	0.54792	25.463
10.561	-5.6342	-0.85688
11.941	2.7702	-1.0874
20.6	5.4029	19.146
12.339	-4.6029	-1.071
49.151	-0.27162	25.372
15.107	3.8825	-17.816
29.94	6.6252	14.425
12.178	2.8521	-1.0756
22.938	-8.433	18.417
26.844	1.6593	-30.039
8.8099	13.512	19.487
10.448	-9.6244	0.92862
11.665	1.9543	-0.68778
28.211	0.8238	-31.812
12.674	-3.6496	-17.732
49.677	0.8828	25.658
18.018	1.5909	-18.213
14.521	3.0908	-17.593
55.244	-0.53901	-31.404
17.962	-8.316	-1.9699
36.216	-3.3702	-2.418
13.803	-2.8548	-1.1552
17.174	-13.401	10.091
15.718	2.8175	-31.739
15.875	11.968	7.1369
11.934	1.8409	-0.76668
9.3612	-18.982	8.5025
16.801	11.141	6.574
10.037	-3.6874	-17.782
13.833	10.73	4.8601
10.119	4.0811	22.085
12.304	-3.0867	-31.568
12.853	-8.376	5.7906
52.664	5.113	-1.437
16.869	-9.1316	18.232
26.103	2.0544	-17.924
17.033	9.2721	11.322
13.082	10.393	5.4305
14.262	12.367	-2.8587
35.754	-4.4621	-18.907
15.427	-18.574	12.3
28.191	2.3217	-17.923
16.378	-1.2713	-1.498
3.1589	-14.491	24.496
51.065	-9.6707	4.885
29.99	5.3582	18.493
10.284	10.901	-1.2798
12.988	-19.944	9.6873
13.119	1.985	25.268
11.98	15.817	10.775
9.5814	-17.028	7.1004
15.264	4.0109	-17.814
24.312	11.879	18.292
14.496	12.634	-2.8909
55.261	-0.24115	-31.784
14.509	4.7182	-1.1438
15.695	2.8441	-31.594
30.716	7.1438	14.313
14.766	11.368	4.6517
33.228	2.6273	-18.589
11.402	0.71811	25.548
26.605	-3.7858	-1.5102
16.372	-5.7717	-1.5994
14.664	-2.25	-18.065
20.472	-4.2901	-17.003
13.761	-6.2192	18.839
11.196	2.1595	-0.73598
25.422	-8.2821	18.277
52.504	-9.0773	-1.9823
7.5347	5.1823	17.668
39.939	-9.8424	16.625
20.11	12.095	20.457
46.822	-2.0228	-27.057
10.368	19.009	11.564
52.454	4.9861	-1.5545
50.601	4.5205	-18.313
49.495	-1.8647	24.532
9.9372	15.797	4.1945
14.816	-13.657	9.242
50.88	-1.9776	-18.342
51.481	7.7176	18.157
10.15	-5.4356	-0.96678
14.543	4.3159	-0.98598
51.075	-10.109	4.7486
11.829	1.0838	25.576
19.454	5.3513	19.161
14.434	-4.2838	-18.014
6.776	-9.9694	19.776
8.8378	-15.967	6.7753
6.6508	-9.059	18.821
41.853	3.6823	-16.626
14.57	5.0096	-1.2001
10.02	-7.719	18.906
9.6426	-9.1661	20.851
25.634	-5.3728	-17.381
16.366	-13.125	10.543
9.3056	17.31	10.547
16.428	4.9106	18.758
11.794	-4.6173	-1.0231
50.059	14.865	8.9424
15.035	3.598	-17.662
52.019	-8.1478	5.6047
44.083	-3.7954	-3.4379
22.482	3.0361	-1.7297
12.155	-3.0292	-31.351
47.457	-13.437	4.2015
23.223	11.293	11.601
15.5	-12.648	8.104
47.723	4.908	-18.02
15.759	2.6393	-31.845
16.523	-13.377	9.2197
