level_0	level_1	frames = 111 markers = 13 Hz = 30
-13.063701372141466	-4.5764	29.149
-12.181701372141468	2.179	21.582
-13.15970137214147	-11.236	22.365
-12.477701372141468	4.6512	7.5669
-14.960701372141472	-12.966	8.3622
-12.684701372141468	6.2157	-1.4945
-16.10770137214147	-14.049	-0.68926
-12.952701372141469	-1.1728	1.0798
-13.429701372141466	-8.3448	1.0851
-13.23270137214147	-0.17144	-17.134
-11.90670137214147	-8.8081	-17.091
-10.87270137214147	0.12213	-32.002
-10.66870137214147	-9.1666	-32.099
-13.059701372141468	-4.5742	29.153
-12.181701372141468	2.1773	21.583
-13.163701372141468	-11.237	22.369
-12.474701372141467	4.6471	7.5674
-14.96170137214147	-12.967	8.3658
-12.68070137214147	6.2096	-1.4944
-16.106701372141465	-14.05	-0.68586
-12.95870137214147	-1.1725	1.0802
-13.440701372141469	-8.3441	1.0901
-13.641701372141469	-0.023607	-17.114
-12.070701372141471	-8.8502	-17.097
-10.86370137214147	0.30505	-31.909
-10.66870137214147	-9.1701	-32.091
-13.06170137214147	-4.5714	29.15
-12.178701372141468	2.1767	21.579
-13.160701372141467	-11.237	22.372
-12.46470137214147	4.649	7.5636
-14.965701372141467	-12.973	8.3706
-12.66570137214147	6.2137	-1.4979
-16.115701372141466	-14.057	-0.68016
-12.959701372141467	-1.1725	1.0784
-13.441701372141466	-8.3441	1.0883
-13.643701372141471	-0.026117	-17.116
-12.072701372141466	-8.8507	-17.098
-10.86970137214147	0.29837	-31.912
-10.669701372141468	-9.1708	-32.092
-13.057701372141466	-4.5614	29.151
-12.169701372141468	2.1804	21.578
-13.154701372141467	-11.233	22.371
-12.456701372141467	4.6471	7.5622
-14.965701372141467	-12.972	8.3702
-12.65970137214147	6.2076	-1.5001
-16.11970137214147	-14.06	-0.67976
-12.962701372141467	-1.1756	1.0786
-13.442701372141471	-8.3473	1.09
-13.638701372141469	-0.021377	-17.115
-12.071701372141469	-8.8512	-17.097
-10.864701372141468	0.30646	-31.911
-10.669701372141468	-9.1702	-32.091
-13.053701372141468	-4.5546	29.148
-12.158701372141472	2.1861	21.572
-13.151701372141467	-11.225	22.37
-12.447701372141466	4.6555	7.5561
-14.969701372141472	-12.97	8.3707
-12.651701372141467	6.2183	-1.5057
-16.12670137214147	-14.061	-0.67836
-12.955701372141469	-1.1777	1.0768
-13.444701372141466	-8.3488	1.0882
-13.631701372141471	-0.026077	-17.117
-12.071701372141469	-8.8505	-17.098
-10.868701372141466	0.29064	-31.916
-10.670701372141465	-9.169	-32.093
-13.080701372141469	-4.5623	29.195
-12.17170137214147	2.1765	21.622
-12.998701372141468	-11.231	22.402
-12.446701372141469	4.6427	7.6058
-14.90370137214147	-12.969	8.4142
-12.640701372141471	6.2026	-1.4568
-16.118701372141466	-14.057	-0.62776
-12.96170137214147	-1.2044	1.0813
-13.362701372141466	-8.3807	1.1507
-13.626701372141468	-0.057377	-17.113
-12.036701372141472	-8.8672	-17.04
-10.868701372141466	0.29026	-31.912
-10.67170137214147	-9.1692	-32.038
-13.06470137214147	-4.5606	29.185
-12.157701372141467	2.1698	21.603
-12.992701372141468	-11.235	22.385
-12.43370137214147	4.6397	7.5872
-14.904701372141467	-12.972	8.3979
-12.627701372141466	6.2027	-1.4748
-16.12270137214147	-14.059	-0.64366
-12.946701372141469	-1.2153	1.0659
-13.356701372141465	-8.391	1.1462
-13.599701372141467	-0.052547	-17.128
-12.033701372141472	-8.8717	-17.045
-10.859701372141465	0.30055	-31.93
-10.670701372141465	-9.17	-32.043
-13.059701372141468	-4.5522	29.189
-12.146701372141472	2.1728	21.608
-12.98270137214147	-11.231	22.388
-12.423701372141466	4.6335	7.5903
-14.902701372141472	-12.971	8.4024
-12.618701372141466	6.1899	-1.4728
-16.12570137214147	-14.058	-0.63826
-12.940701372141469	-1.2174	1.0694
