		frames = 123 markers = 13 Hz = 30
-0.78356	-3.9305	7.1338
-11.666	4.5025	30.283
-11.377	-11.386	9.3746
-33.742	6.4206	14.524
-10.119	-3.3592	22.241
-42.571	1.4855	0.89104
-39.436	12.782	22.883
-33.785	-1.4133	-15.031
-41.264	0.30349	-15.182
-12.27	5.2749	30.398
-14.59	1.2032	1.1149
-15.6	1.4084	1.2692
-40.864	-0.64027	-30.502
-15.404	9.353	0.84944
-34.206	6.3724	14.229
-26.091	7.5817	0.41734
-28.466	4.2995	22.81
-27.161	7.2026	0.24124
-16.596	18.685	9.5588
-43.568	0.71671	0.081835
-10.47	2.8237	30.216
-37.178	10.542	-28.412
-36.833	-13.55	9.7155
-39.243	9.7836	-15.338
-12.366	-0.87131	-15.576
-40.755	-0.6795	-30.361
-18.179	6.9194	-29.54
-12.066	5.0185	30.428
-24.603	6.9841	-15.017
-12.532	5.6044	30.361
-22.477	0.98498	0.88344
-38.93	-3.6785	9.1444
-39.704	-1.4311	21.727
-39.54	9.8495	-15.437
-14.22	-0.399	-30.197
-43.32	1.1726	0.55404
-38.792	-3.6916	9.1641
-39.549	9.8434	-15.432
1.2445	-4.9321	14.432
-21.499	4.0492	29.95
-39.129	9.5297	0.80924
-18.429	6.8968	-29.835
-18.216	6.9814	-29.497
-27.409	6.7148	-14.319
-38.543	9.5219	0.81274
-39.483	-0.90722	22.076
-36.222	5.9706	1.8507
-35.181	13.372	12.303
-28.127	-9.9126	24.971
-32.921	-6.0735	26.348
-41.015	0.34895	-15.181
-12.361	7.3458	0.89374
-42.105	-5.4031	8.6615
-10.046	-5.6417	11.993
-37.547	12.472	22.914
-18.213	6.907	-29.57
-37.766	16.844	0.14474
-38.443	9.0831	0.91014
-13.84	-7.9869	-0.16566
-18.403	6.8614	-29.867
-10.838	-0.87714	0.60534
-14.15	-0.40276	-29.94
-34.252	-13.624	12.18
-16.334	17.75	9.2027
-39.549	9.8439	-15.433
-39.486	15.474	9.4694
-26.206	7.2748	-28.067
-37.709	5.7658	30.259
-34.958	8.9238	14.071
-30.42	7.9845	-28.309
-41.541	-10.072	-0.85966
-38.662	-3.7021	9.1831
-38.966	-5.883	-0.10176
-40.123	0.35431	-15.436
-32.577	-7.1812	25.638
-13.631	1.8299	22.461
-22.064	9.0871	0.88294
-29.415	6.6199	-13.884
-23.781	7.3644	-27.964
-40.979	-0.55108	-29.928
-39.135	-1.376	-15.717
-33.688	8.3942	22.877
-40.12	0.35338	-15.437
-14.635	1.8379	22.256
-39.61	-0.94089	-15.651
-29.305	-5.9804	17.2
-26.763	-12.189	5.2684
-39.605	-0.9793	-15.663
-40.238	10.134	-30.155
-18.602	6.8715	-29.782
-16.303	9.7404	0.93774
-40.855	-0.30179	-30.142
-39.244	12.921	22.818
-23.336	16.574	0.54774
-39.463	15.442	9.4717
-30.901	-13.338	20.243
-11.347	19.786	2.5412
-18.09	14.6	22.704
-12.507	1.046	22.315
1.2229	-4.3974	12.649
-40.193	10.044	-30.044
-38.412	-16.67	-11.724
-38.344	5.9907	30.253
-14.204	-0.39257	-30.131
-15.889	13.206	9.1372
-13.976	0.29982	-15.252
-39.108	9.5366	0.80384
-38.496	-15.425	-11.141
-39.533	9.8537	-15.441
-28.062	-4.2501	19.483
-40.745	-0.65761	-30.351
-10.962	-1.3837	22.415
-39.671	-0.9524	-15.65
-16.81	9.8902	0.92444
-35.714	4.0825	29.976
-39.128	9.5298	0.80914
-40.13	0.35612	-15.435
-30.189	-4.6388	17.998
-39.837	1.29	0.81264
-10.223	-2.91	22.28
-40.858	-0.29216	-30.149
-33.077	14.696	2.4588
-39.451	9.8178	-15.465
-38.763	-0.53705	22.518
-37.787	16.841	0.15874
-13.851	10.865	9.1894
-19.911	7.4546	-29.497
-40.169	10.22	-30.029
-38.6	-3.7069	9.1927
-37.12	15.597	10.237
-31.899	8.299	-28.196
-39.516	9.8625	-15.449
-32.892	6.0096	0.96154
-39.124	9.5313	0.80804
-12.572	0.5547	0.91104
-40.238	10.133	-30.154
-38.778	9.3303	-13.987
-38.942	8.8012	1.166
-36.212	-2.2553	0.41914
-41.972	-7.4904	-0.29856
-31.817	-10.264	23.203
-16.344	17.213	9.1832
-9.9256	-3.6427	22.206
-16.142	7.7153	30.122
-24.962	-0.36481	28.939
-38.786	-3.6917	9.1646
-22.724	7.3462	-28.281
-41.337	-4.8309	8.8446
-39.438	12.78	22.884
-40.747	0.43809	-15.27
-8.3175	-5.2573	12.212
-19.083	9.7787	1.0267
-13.179	7.9569	1.0622
-14.208	7.3958	30.114
-40.182	1.3432	0.88024
-33.75	6.9513	14.657
-8.3301	-10.25	11.651
-40.124	9.9111	-30.02
-37.77	16.843	0.14934
-35.257	9.4756	13.785
-10.644	-1.282	0.58814
-21.277	9.2689	0.91854
-43.643	0.96522	0.16844
-40.858	-0.29132	-30.15
-12.592	9.1913	22.677
-14.396	10.62	22.499
-39.601	1.1735	0.78544
-38.488	5.9166	30.25
-39.001	-5.8847	-0.10456
-38.866	-0.48482	22.48
-23.098	11.52	23.044
-39.751	1.2347	0.80234
-35.335	9.0427	13.949
-32.127	-12.165	14.948
-28.596	-5.5648	17.929
-38.352	5.9869	30.253
-40.108	9.9053	-30.064
-28.662	1.3616	22.57
-14.132	-0.40988	-30.031
-40.859	-0.29083	-30.15
-19.873	13.705	23.043
-33.937	13.863	1.663
-41.506	1.4662	1.023
-29.153	-6.0235	17.246
-40.743	-0.64238	-30.352
-29.514	6.5476	0.46654
-31.836	11.769	5.0068
-38.922	11.305	-28.594
-41.084	-4.6352	8.9248
-40.705	-0.54375	-30.355
-38.828	9.6024	0.77984
-33.276	8.7583	-28.27
-40.235	0.39283	-15.409
-37.536	15.777	10.168
-34.471	7.9284	14.617
-10.394	17.17	1.9151
-13.352	1.6871	22.509
-40.124	0.35431	-15.436
-28.968	7.5912	-28.234
-40.544	-1.2061	-29.582
-38.447	9.39	0.90284
-39.421	9.8865	-15.473
-18.481	6.8637	-29.854
-31.752	12.422	4.6558
-15.625	12.764	9.0313
-16.291	-9.9121	9.984
-15.041	6.8792	-15.04
-38.781	-0.52833	22.512
-38.754	-3.6945	9.1694
-38.415	9.3114	0.89194
-39.518	-0.96464	-15.66
-39.134	15.85	9.6046
-38.628	9.5062	0.84564
-10.958	3.501	30.231
0.60324	-5.2686	14.251
-32.125	2.4722	21.803
-33.874	7.25	14.672
-16.51	14.254	9.2677
-40.856	-0.30129	-30.144
-32.125	11.616	6.4844
-10.525	-2.2197	22.223
-35.358	-2.2271	0.32554
-39.655	-5.9156	-0.14726
-30.354	-14.56	18.938
-18.325	7.175	-29.758
-18.42	6.8854	-29.844
-15.934	1.3759	22.37
-14.229	-8.6782	10.973
-39.338	7.7893	1.7524
-39.013	12.861	22.902
-35.917	7.921	-13.713
-15.196	7.0831	-15.067
-33.994	6.2371	14.36
-40.238	10.137	-30.158
-40.069	9.9352	-29.871
-40.226	10.015	-30.105
-14.101	1.0882	0.97984
-38.924	9.6097	0.77554
-34.661	9.9519	12.544
-39.678	-1.7307	21.517
-38.991	15.853	9.7087
-38.538	5.8901	30.249
-35.325	10.03	13.725
-17.297	-13.037	4.3794
-12.161	0.3781	22.408
-18.176	-0.26496	-14.776
-35.313	11.726	13.25
-37.502	-12.097	11.361
-39.416	-0.48609	22.386
-40.922	-0.38045	-30.018
-39.164	9.5118	-15.318
-23.819	15.303	9.9998
-39.618	1.1803	0.78734
-29.586	-9.954	17.586
-39.308	9.2973	-14.128
-9.1716	-5.3855	12.181
-40.197	10.049	-30.097
-31.138	-1.3653	-14.64
-28.455	-11.498	23.365
-40.192	10.052	-30.126
-39.425	15.418	9.4695
-21.879	7.3977	-28.515
1.4748	-4.672	13.978
-40.877	-0.32569	-30.079
-16.968	-0.23728	-14.835
-28.587	-12.3	22.705
-38.451	5.9358	30.252
-32.437	10.653	5.7507
-12.116	16.198	0.85734
-39.19	-3.6518	9.111
-33.858	6.2653	14.432
-11.428	4.2486	30.243
-10.643	-4.9692	9.3432
-3.3708	-7.4606	13.712
-14.696	-1.3391	-29.589
-17.304	14.625	22.595
-37.198	-14.322	-9.3026
-10.098	-3.2132	22.27
-34.983	-1.3288	-26.105
-20.441	7.3648	-29.152
-28.025	-3.5786	20.098
-37.722	16.836	0.12244
-2.7406	-4.518	4.1437
-14.877	6.7394	-15.047
-14.17	-0.61439	-29.825
-39.51	12.725	22.905
-42.414	1.5013	0.93014
-39.551	9.8437	-15.432
-37.802	16.838	0.17184
-34.323	6.5357	14.159
-35.359	-1.4374	-15.474
-10.017	-3.5211	22.208
-10.819	3.3176	30.261
-39.509	-12.703	-0.18246
-39.231	-5.8961	-0.12206
-40.217	10.164	-30.189
-39.65	1.1932	0.79084
-39.332	-5.9009	-0.12886
-34.877	8.6379	14.348
-33.834	5.9438	1.3148
-10.408	2.7419	30.211
-19.735	1.4392	1.3174
-37.656	8.7754	-13.785
-16.597	15.401	9.2298
-39.274	-5.8981	-0.12506
-25.345	-1.4772	-28.153
-32.199	3.6321	22.128
-35.157	8.4269	14.0
-39.446	9.837	-15.388
-38.223	-8.972	16.283
-13.968	8.6325	0.92574
-40.245	-5.9578	-0.060365
-18.031	1.6202	1.363
-12.029	0.21279	0.97684
-18.204	7.0017	-29.417
-13.404	-8.0907	11.254
-39.24	9.4677	-15.244
-22.235	16.484	9.9394
-15.523	11.191	9.2193
-9.7683	-10.809	10.641
-34.502	9.2977	-28.322
-39.453	15.454	9.4639
-18.635	9.8954	1.0786
-16.721	13.524	22.248
-30.043	11.885	10.263
-41.866	-8.5167	-0.35556
-39.55	9.8446	-15.433
-38.388	6.8107	2.3798
-37.804	16.914	0.20804
-30.042	-15.008	18.602
-13.55	0.20987	-15.396
-15.58	7.3674	-15.07
-40.977	-0.54668	-29.946
-40.2	10.038	-30.107
-14.185	-0.39998	-30.052
-42.89	-6.1011	8.2074
-28.453	-0.31139	22.022
-38.656	-17.111	-10.435
-10.068	-3.4429	22.213
-43.438	0.34005	0.071135
-31.826	6.2001	0.80934
-11.268	-0.82086	22.482
-39.484	12.745	22.897
-28.39	-1.2211	21.626
-32.887	10.696	11.258
-11.769	-6.3013	8.9925
-33.418	-13.948	-6.2982
-17.61	-0.3188	-14.793
-15.934	7.794	-15.02
-35.953	-14.076	9.4551
-17.483	14.651	22.568
-40.236	10.15	-30.168
-24.599	-13.967	-0.90536
-13.512	8.279	1.0766
-32.24	10.609	6.0023
-18.233	9.9633	1.0521
-38.187	10.996	-28.566
-28.823	-0.99314	-0.14176
-13.48	19.554	1.8203
-31.145	-2.0591	19.526
-34.991	13.824	3.0125
-18.5	6.6901	30.289
-12.421	-0.68065	-15.523
-9.0265	19.119	3.3368
-42.119	-13.526	-1.7061
-36.71	16.682	0.62734
-35.392	3.5814	29.829
-12.997	9.4365	22.633
-24.946	7.2709	-27.916
-39.507	15.552	9.4448
-12.633	7.5745	0.88434
-40.439	-1.4208	-29.314
-40.237	10.139	-30.16
-18.997	-1.9239	-29.384
-40.685	-0.50437	-30.333
-14.752	7.6899	30.136
-5.551	-5.3502	1.4663
-11.128	-0.54422	0.67174
-17.681	8.336	-15.212
-11.273	3.9702	30.192
-14.144	-0.37808	-30.119
-39.59	-3.7071	9.1893
-43.438	1.0452	0.45814
-32.361	10.615	5.8742
-42.304	-9.8075	5.2594
-31.918	11.511	5.0721
-18.098	6.9423	-29.473
-31.524	-11.614	15.669
-12.726	-0.30529	-15.379
-37.812	16.84	0.16984
-4.1407	-8.0	13.554
-40.238	10.134	-30.155
-26.45	-0.26765	0.21134
-35.361	10.608	13.565
-27.499	-1.2667	-27.356
-14.505	0.084273	-14.991
-13.236	15.303	0.35864
-14.237	-0.37487	-30.239
-12.465	-0.61512	-15.562
-39.537	9.8518	-15.439
-38.889	-0.47251	22.471
-41.765	-5.1566	8.8061
-19.557	7.1157	-29.798
-15.641	12.228	9.0018
-28.895	-14.065	20.212
-39.612	1.178	0.78664
-14.944	12.114	-0.17976
-19.276	-0.80195	-14.733
-40.875	-0.32723	-30.063
-39.33	15.733	9.5213
-39.622	9.2401	-14.822
-14.09	8.7837	0.89704
-24.627	14.728	9.9613
-38.689	-3.6999	9.1791
-38.879	-5.8785	-0.094265
-40.453	0.4241	-15.333
-17.251	18.909	9.5775
-40.0	11.058	-28.981
-39.133	-5.8913	-0.11506
-43.531	0.38509	0.026135
-40.143	0.3597	-15.432
-40.982	-0.72856	-30.071
-10.288	2.6249	30.204
-37.805	5.7963	30.251
-39.12	9.5327	0.80694
-38.457	15.943	9.9152
-39.757	10.875	-28.861
-31.994	10.697	6.1805
-20.916	-1.5459	-14.742
-38.206	6.0603	30.253
-15.0	6.8684	-15.053
-28.411	6.6904	-13.986
-10.876	-0.73818	0.57384
-14.957	11.111	22.606
-39.114	9.5347	0.80534
-39.469	-0.50139	22.365
-28.228	-2.0138	21.147
-37.9	-14.652	-10.053
-18.979	7.0478	-29.77
-40.008	-3.7754	9.1338
-39.546	9.8448	-15.434
-14.215	-0.40084	-30.189
-38.895	-5.8793	-0.095665
-17.735	0.31161	22.147
-38.615	-3.7057	9.1903
-39.119	9.533	0.80674
-39.649	1.1928	0.79074
-40.236	10.145	-30.165
-40.377	-0.63213	-15.748
-8.9214	-5.5743	11.028
-32.135	11.17	5.2056
-14.194	8.9172	0.74774
-38.124	-9.6693	15.639
-1.1792	-5.9563	13.968
-28.134	12.768	10.169
