		frames = 150 markers = 13 Hz = 30
-31.815	-16.994	13.897
-28.043	4.4266	12.531
-29.913	3.2411	-30.742
-36.774	-11.727	-0.9799
-16.894	3.0214	-31.77
-36.173	-7.116	21.852
-27.353	-6.1296	0.5183
-17.717	2.5299	1.0175
-34.191	-6.6907	-17.235
-36.466	-10.281	8.2799
-37.304	2.3026	1.1608
-39.962	1.7609	-31.792
-30.367	1.5608	-16.084
-37.278	-4.5185	1.1695
-36.94	-4.8857	-31.404
-32.67	-3.0224	-29.024
-19.402	9.4065	22.06
-23.885	7.4112	10.336
-40.33	-4.5069	-31.647
-17.394	1.8012	29.763
0.58811	-3.4249	11.684
-22.168	8.9	21.459
-26.67	5.8263	21.54
-36.867	8.8222	7.6582
-32.361	-6.8496	0.2604
-34.228	-5.0936	-31.943
-33.948	-5.5076	-31.234
-26.956	1.4333	-15.974
-36.717	-4.824	-17.172
-36.077	8.9722	7.951
-22.119	-8.3062	16.475
-21.923	0.55337	-17.126
-38.634	-4.2205	-16.933
-38.83	-4.2934	-16.903
-31.938	12.14	-0.0124
-33.776	9.2714	-0.564
-18.314	1.5105	-31.104
-30.269	-10.422	-1.7505
-38.417	-7.9442	22.539
-15.743	1.2501	-16.88
-37.92	2.0802	-16.984
-20.64	3.201	-17.263
-31.754	6.3151	11.967
-21.25	13.563	-1.3775
-30.246	4.8838	12.814
-2.1474	-5.0981	8.444
-36.454	-10.405	20.639
-17.272	3.2071	-16.91
-18.261	-0.031495	29.604
-35.493	1.905	-16.635
-36.487	8.727	7.6906
-16.585	2.8216	-31.745
-20.227	11.668	9.2622
-38.637	-7.9113	22.526
-20.066	-3.2748	-30.822
-38.522	2.0036	-16.95
-38.313	-7.9484	22.027
-28.728	-3.9858	-17.62
-29.975	-10.482	-2.1921
-30.307	-19.14	10.699
-27.73	-1.3292	20.299
-29.346	9.4269	7.687
-39.94	1.9889	-31.696
-34.004	5.5218	22.49
-8.7101	-7.955	12.633
-18.12	11.266	0.6588
-25.504	2.4156	0.3804
-37.319	-4.5444	1.1685
-38.432	-5.2953	0.659
-32.346	-3.4886	28.277
-14.543	1.9244	-16.939
-17.162	3.5452	-31.848
-39.519	-3.6089	-31.792
-22.834	2.9777	-15.988
-27.583	1.7124	-15.949
-28.471	-12.138	7.5153
-22.707	8.6731	21.353
-37.507	2.5092	1.0632
-36.756	10.208	-1.2921
-20.641	-17.435	19.627
-16.613	1.2457	-31.698
-17.66	8.8403	22.146
-37.486	2.5072	1.1144
-35.398	-11.586	-0.9309
-14.669	2.0742	-16.905
-37.548	6.0933	22.103
-16.824	3.1657	-16.904
-26.8	-16.632	16.812
-28.742	-7.9715	-17.502
-39.987	1.777	-31.721
-30.018	-6.804	0.2781
-36.947	2.3986	1.1701
-33.25	-6.7366	0.3045
-28.964	-9.8078	20.973
-28.405	-0.27134	20.629
-14.134	-14.756	1.7011
-35.401	0.26787	29.607
-33.788	-1.3425	-32.105
-26.484	-8.1045	-16.872
-37.136	2.004	-16.764
-19.336	0.72987	-17.138
-39.937	1.9647	-31.708
-38.438	2.0555	-16.939
-25.706	3.0828	-30.72
-29.708	-19.522	10.483
-24.1	7.7329	21.168
-21.171	3.1827	-17.248
-39.832	-4.1609	1.1071
-38.381	-4.0963	-16.967
-39.5	-3.594	-31.815
-37.873	-2.4404	1.2227
-33.825	8.4772	10.543
-36.12	-5.2995	-17.338
