level_0	level_1	frames = 100 markers = 13 Hz = 30
39.743	2.0866	-36.34652375384614
40.015	-6.046	-29.586523753846144
39.983	9.301	-29.230523753846143
42.387	-7.8246	-16.799523753846145
41.346	13.086	-16.745523753846143
36.229	-6.4581	-8.914023753846145
36.195	10.639	-8.432823753846144
40.185	-1.9734	-11.851323753846145
40.09	5.0534	-11.855823753846146
40.72	-1.3704	4.893676246153856
40.637	3.7052	4.846876246153855
41.199	-0.83945	19.389476246153855
41.096	2.5155	19.311476246153855
39.731	2.0921	-36.35552375384614
40.051	-6.0357	-29.590523753846142
39.974	9.3106	-29.242523753846143
42.376	-7.8455	-16.798523753846144
41.327	13.058	-16.745523753846143
36.167	-6.4227	-8.963023753846144
36.184	10.639	-8.420423753846144
40.192	-1.9717	-11.851223753846146
40.087	5.055	-11.855123753846144
40.573	-1.3814	4.898376246153855
40.49	3.7499	4.8548762461538555
41.203	-0.83256	19.387476246153856
41.094	2.5099	19.309476246153856
39.703	2.0871	-36.37352375384614
40.099	-6.0182	-29.593523753846142
39.969	9.3232	-29.254523753846144
42.408	-7.8482	-16.801523753846144
41.332	13.066	-16.757523753846144
36.126	-6.4151	-9.026123753846147
36.201	10.68	-8.414823753846147
40.196	-1.9696	-11.849223753846143
40.083	5.057	-11.854323753846145
40.568	-1.3811	4.900576246153856
40.487	3.7477	4.855276246153855
41.192	-0.83322	19.390476246153856
41.093	2.5037	19.309476246153856
39.662	2.082	-36.387523753846146
40.153	-6.0039	-29.602523753846143
39.963	9.3347	-29.269523753846144
42.427	-7.8482	-16.806523753846143
41.319	13.089	-16.775523753846144
36.104	-6.4149	-9.064123753846145
36.215	10.733	-8.407623753846146
40.205	-1.9709	-11.847323753846144
40.078	5.0553	-11.853323753846144
40.574	-1.3806	4.9025762461538545
40.486	3.7524	4.856676246153855
41.193	-0.83133	19.392476246153855
41.094	2.5148	19.311476246153855
39.645	2.0968	-36.406523753846145
40.209	-5.9896	-29.611523753846143
39.949	9.345	-29.288523753846142
42.448	-7.8712	-16.814523753846146
41.255	13.123	-16.795523753846144
36.062	-6.4267	-9.127723753846144
36.179	10.756	-8.415423753846145
40.21	-1.9713	-11.849023753846144
40.075	5.0548	-11.852523753846146
40.584	-1.3884	4.901076246153854
40.481	3.7486	4.857276246153855
41.206	-0.84566	19.390476246153856
41.089	2.5073	19.312476246153857
39.595	2.0934	-36.427523753846145
40.267	-5.9783	-29.621523753846144
39.935	9.3506	-29.310523753846145
42.482	-7.8968	-16.825523753846145
41.162	13.131	-16.810523753846145
36.136	-6.4718	-9.101423753846145
36.22	10.754	-8.352823753846145
40.22	-1.9651	-11.854123753846146
40.07	5.0607	-11.851823753846144
40.587	-1.3815	4.895976246153856
40.482	3.7536	4.857676246153854
41.204	-0.83827	19.38647624615386
41.094	2.5119	19.312476246153857
39.447	2.0062	-36.452523753846144
40.337	-5.9664	-29.626523753846143
39.913	9.3538	-29.340523753846142
42.514	-7.9154	-16.828523753846145
41.031	13.154	-16.836523753846144
36.191	-6.4931	-9.085623753846146
36.202	10.758	-8.319023753846146
40.236	-1.9653	-11.852323753846143
40.065	5.06	-11.851323753846145
40.589	-1.3801	4.898076246153854
40.485	3.7701	4.859476246153855
41.194	-0.83532	19.388476246153857
41.107	2.5419	19.314476246153855
39.33	1.9797	-36.467523753846145
40.407	-5.9493	-29.628523753846142
39.878	9.3629	-29.371523753846144
42.553	-7.9294	-16.830523753846144
40.932	13.153	-16.858523753846143
36.272	-6.5064	-9.053323753846145
36.174	10.768	-8.297623753846146
40.254	-1.9614	-11.854023753846146
40.059	5.0633	-11.851023753846146
40.6	-1.3726	4.896376246153855
40.474	3.75	4.857976246153855
41.199	-0.82459	19.38647624615386
41.087	2.503	19.312476246153857
39.189	1.8921	-36.479523753846145
40.493	-5.9522	-29.628523753846142
39.831	9.3496	-29.405523753846143
42.613	-7.9469	-16.828523753846145
40.873	13.072	-16.871523753846144
36.37	-6.5174	-9.022123753846145
36.09	10.793	-8.295323753846144
40.281	-1.9409	-11.844723753846147
40.051	5.0827	-11.851623753846145
40.616	-1.3739	4.906676246153856
40.471	3.7669	4.857076246153854
41.21	-0.8437	19.398476246153855
41.087	2.5187	19.310476246153858
39.038	1.7446	-36.48752375384615
40.577	-6.0197	-29.616523753846142
39.782	9.2638	-29.442523753846142
42.647	-7.9845	-16.803523753846143
40.832	12.829	-16.863523753846145
36.482	-6.5352	-8.938423753846145
35.87	10.814	-8.323723753846146
40.291	-1.927	-11.855523753846146
40.036	5.0957	-11.853123753846145
40.618	-1.3645	4.896176246153855
40.461	3.7647	4.854276246153855
41.2	-0.83834	19.388476246153857
41.085	2.5021	19.306476246153856
38.923	1.4637	-36.427523753846145
40.712	-6.0638	-29.576523753846143
39.708	9.229	-29.467523753846145
42.687	-8.0311	-16.749523753846145
40.544	12.354	-16.755523753846145
36.525	-6.592	-8.879623753846145
35.303	10.706	-8.305023753846147
40.313	-1.9139	-11.857223753846146
40.032	5.1079	-11.847423753846144
40.623	-1.352	4.894776246153855
40.457	3.7695	4.859376246153856
41.195	-0.82585	19.387476246153856
41.083	2.5	19.310476246153858
38.892	1.5411	-36.41452375384615
40.824	-6.0582	-29.565523753846144
39.684	9.2229	-29.482523753846145
42.77	-8.0615	-16.739523753846143
40.496	12.148	-16.722523753846144
36.518	-6.6317	-8.939923753846145
34.539	10.796	-8.705023753846145
40.334	-1.9037	-11.850023753846145
40.036	5.1173	-11.825623753846145
40.636	-1.3467	4.902276246153855
40.458	3.7693	4.880376246153855
41.198	-0.82493	19.395476246153855
41.079	2.4929	19.331476246153855
38.881	1.5157	-36.40152375384614
40.91	-6.0552	-29.557523753846144
39.691	9.2208	-29.503523753846142
42.403	-7.9029	-16.647523753846144
40.258	11.734	-16.642523753846145
36.56	-6.7229	-8.496723753846144
33.744	10.636	-9.030023753846145
40.373	-1.894	-11.855623753846146
40.048	5.1257	-11.809523753846143
40.654	-1.3455	4.897376246153854
40.464	3.7718	4.896176246153855
41.197	-0.83024	19.391476246153857
41.079	2.4911	19.347476246153857
38.765	1.5375	-36.369523753846146
40.991	-6.0422	-29.51752375384614
39.651	9.2199	-29.539523753846144
42.924	-8.0512	-16.690523753846144
39.715	11.414	-16.608523753846143
36.584	-6.8042	-8.929923753846145
32.638	10.462	-9.495323753846145
40.409	-1.8809	-11.852123753846143
40.069	5.1379	-11.793923753846144
40.682	-1.3465	4.901476246153855
40.47	3.7736	4.911376246153855
41.214	-0.843	19.396476246153856
41.077	2.4833	19.362476246153857
38.722	1.4625	-36.25152375384614
41.037	-6.1162	-29.430523753846142
39.631	9.1579	-29.508523753846145
43.182	-8.1983	-16.648523753846145
39.473	11.153	-16.545523753846144
36.664	-6.9187	-9.042923753846146
31.604	10.096	-10.337423753846146
