		frames = 100 markers = 13 Hz = 30
-32.753	13.084	5.7536
-38.696	6.8375	-9.743
-25.755	-1.8685	-14.676
-27.694	11.654	26.226
-10.925	7.0373	0.53846
-20.588	15.758	0.38186
-39.518	7.6176	-24.28
-39.396	7.5521	-24.436
-10.868	6.786	3.6093
-37.323	0.64553	7.7233
-30.923	5.7131	34.915
-11.879	-4.8459	3.2083
-38.866	7.3325	-24.452
-13.69	-7.7823	10.853
-22.574	-13.243	-7.6655
-38.553	6.6915	-9.6695
-38.774	-1.4053	-9.6419
-24.957	7.7315	-22.324
-38.878	7.3508	-24.446
-7.1482	-1.6172	5.917
-37.192	3.0576	36.03
-32.611	13.874	5.2972
-35.094	-1.9396	29.829
-38.028	10.691	29.25
-15.628	7.2509	-10.854
-38.691	7.7857	-22.297
-39.061	-1.8724	-23.756
-39.476	-1.7205	-24.457
-9.2765	-2.9387	-4.9232
-28.423	14.755	13.211
-32.11	18.128	15.217
-38.531	6.0165	7.5148
-22.423	-1.0562	-24.432
-11.473	6.6692	9.8143
-7.2572	-1.457	10.863
-7.0862	-1.6496	7.2929
-15.765	-0.7647	27.249
-38.775	-1.3925	-9.6796
-23.242	-2.8061	-10.076
-39.194	7.5364	-24.505
-38.315	10.421	29.47
-20.535	15.694	-0.59984
-38.714	-1.3879	-9.6519
-30.786	12.97	5.5193
-22.576	7.5187	-20.835
-10.794	6.9969	1.6306
-42.824	14.468	16.245
-38.015	19.865	16.164
-33.679	-7.5214	7.802
-7.4678	-1.414	11.885
-45.598	-9.5627	18.19
-29.171	4.7875	3.7624
-38.484	10.579	29.376
-38.53	5.8734	7.6279
-45.387	-9.6561	18.164
-38.154	10.654	29.289
-37.459	3.0863	36.135
-39.604	7.6489	-24.351
-36.815	-7.0675	5.8108
-37.459	3.0723	36.133
-33.202	-1.1202	28.85
-44.12	15.485	16.687
-37.232	-8.0424	5.2036
-26.929	-2.536	-7.5189
-25.683	-1.8236	-14.662
-43.381	14.588	16.352
-30.235	-1.9348	4.4976
-20.687	-1.8104	-22.91
-37.438	3.008	36.122
-39.469	-1.7229	-24.409
-22.408	-13.267	-6.5278
-31.808	-1.4683	28.361
-18.055	-7.1309	18.962
-33.038	13.37	5.6929
-38.89	7.3497	-24.57
-41.955	-5.423	19.345
-39.468	-1.7281	-24.384
-37.412	3.2087	36.151
-16.715	10.044	5.5059
-11.919	-7.1948	0.09236
-43.605	14.582	16.402
-38.939	7.1226	-9.4803
-37.491	-1.0772	-9.4569
-24.991	-12.848	5.4843
-38.503	-3.8634	29.681
-44.232	14.941	16.726
-39.487	7.5924	-24.252
-38.516	6.0244	7.5036
-45.685	-9.3796	18.136
-22.356	-13.233	-6.4459
-42.629	14.416	16.043
-45.702	-9.384	18.116
-38.514	10.553	29.395
-38.884	7.3642	-24.493
-44.207	15.144	16.744
-27.125	5.0816	33.707
-36.631	11.873	28.595
-23.228	-12.287	0.89896
-31.884	13.714	4.826
-22.425	8.1584	-21.0
-25.876	-1.8766	-14.388
-38.284	-0.88072	7.6371
-21.869	-11.988	-3.9625
-43.988	14.457	16.5
-37.392	2.93	36.059
-38.283	-0.87602	7.6248
-22.733	8.0973	-20.969
-26.837	-3.9601	25.841
-38.509	-4.0654	29.684
-38.757	-1.4223	-9.6367
-9.6629	-4.6634	-8.6632
-38.094	-8.3319	5.1018
-25.605	4.3927	33.126
-38.75	-1.443	-9.624
-38.271	10.467	29.439
-22.882	4.5456	-14.952
-45.21	-9.8565	18.292
-7.7429	10.116	-20.876
-10.679	-8.998	-14.811
-17.548	10.49	5.4869
-9.9706	-4.32	-8.057
-29.305	13.342	4.3117
-38.115	-8.3428	5.0912
-39.158	7.5274	-24.509
-38.556	6.7605	-9.8026
-38.488	-4.0605	29.696
-33.534	4.7453	35.526
-11.608	-1.7431	20.8
-38.818	6.8807	-9.7291
-38.524	-4.0724	29.674
-33.123	-10.984	15.213
-27.827	-2.5004	-2.8849
-38.7	6.6736	-9.6582
-38.345	10.411	29.459
-11.097	-8.8099	-14.649
-23.939	3.3647	32.401
-42.877	14.447	16.277
-23.903	-12.611	2.5417
-38.554	6.763	-9.8042
-36.594	-8.0665	5.6094
-22.556	-13.178	-7.3099
-39.626	7.9483	-24.231
-39.45	-1.6343	-24.425
-45.615	-10.007	18.587
-36.33	7.5072	7.3575
-38.869	7.3221	-24.461
-38.515	5.9871	7.5637
-10.644	-3.8094	-0.26924
-38.28	-0.95659	7.6753
-45.433	-9.4245	18.442
-21.941	-1.9466	-24.769
-39.577	7.6388	-24.347
-20.64	15.584	-1.2666
-24.213	-2.3658	-10.158
-38.731	-3.9977	29.68
-38.924	6.9166	-9.6401
-38.549	6.7045	-9.6959
-45.429	-9.3555	18.416
-32.526	13.058	5.782
-31.572	13.017	5.8151
-38.338	-0.87023	7.633
