		frames = 134 markers = 13 Hz = 30
32.858	9.3484	-10.707
22.421	6.1072	18.42
38.535	2.1613	3.1241
33.033	-9.0651	-11.642
20.489	5.4697	27.988
38.345	4.0414	5.9981
24.259	15.133	24.147
33.97	1.8497	-10.381
24.419	1.6858	1.9898
33.325	-14.523	8.4349
19.007	-6.6371	19.324
27.603	13.02	3.8378
24.283	15.71	0.52783
33.616	11.069	-10.613
36.426	8.8622	7.1473
36.462	-4.5034	-26.71
26.574	-6.0936	21.248
32.804	9.3389	-10.738
37.966	1.9789	-3.385
33.661	10.471	-10.663
26.086	7.9566	-10.328
38.811	-5.2528	-14.744
24.195	16.287	3.7499
33.314	11.916	7.0709
33.35	9.2493	-26.522
24.525	19.666	8.5444
20.423	-6.1532	13.613
26.967	13.781	1.8564
34.292	11.344	-10.676
34.39	11.365	-10.627
18.641	12.917	11.854
24.072	15.239	23.994
28.102	6.1796	-0.87817
26.262	15.106	1.5472
24.945	1.1886	0.21473
23.839	16.701	11.864
39.255	1.0297	7.0438
33.551	9.3317	-26.308
32.939	16.907	13.714
33.404	9.2772	-26.494
24.417	1.6471	1.3858
25.527	-12.443	13.345
25.254	-16.884	-15.865
38.277	-0.38332	16.485
24.6	-15.978	-15.359
26.607	8.1395	-6.2307
31.393	-12.862	-10.925
34.859	3.357	-10.051
33.521	1.3266	7.2888
30.35	17.488	4.7039
39.967	-6.0899	-0.96037
29.506	-13.159	-2.0513
37.709	2.5297	-10.185
19.825	-0.22413	26.335
33.426	3.9127	-24.181
32.96	0.83153	-25.944
33.245	9.1706	-26.509
33.701	10.65	-10.71
28.092	12.842	7.6377
37.047	-20.033	-12.258
33.199	9.1453	-26.551
21.291	12.257	19.87
39.149	1.6721	7.1607
31.334	-12.831	-11.202
33.9	-13.015	9.8774
25.927	-9.1207	18.922
33.635	-5.0049	14.314
34.418	11.486	-10.588
33.673	1.5625	-10.464
35.034	-7.4463	-23.987
31.572	-13.093	-10.259
32.441	1.2127	-26.518
33.236	9.1685	-26.576
29.441	-5.5659	5.0688
33.433	3.8881	-24.1
33.22	1.1939	-10.506
37.315	-20.081	-10.732
38.835	-5.3107	-14.953
32.664	1.627	-25.539
21.121	11.205	-17.392
32.561	9.3475	7.1837
29.386	14.449	26.6
36.447	-4.7291	-26.524
32.138	-7.1654	3.8913
24.888	1.2921	0.25623
29.87	-5.666	5.359
24.317	15.025	24.194
37.69	-2.4345	6.0351
33.148	12.016	7.0569
39.501	-6.0555	-8.7399
38.868	5.8489	7.4683
34.609	-20.574	-1.519
32.457	1.1955	-26.543
25.025	1.0698	0.14483
37.101	-5.1962	14.103
27.79	14.696	8.8174
33.032	1.0316	-10.552
31.298	-13.134	-8.9482
21.317	11.278	-17.147
32.941	0.95389	-25.895
21.368	11.318	-17.124
33.234	9.1669	-26.577
36.317	3.5823	7.367
37.212	6.9935	6.8891
38.444	-0.57216	16.51
23.934	15.28	23.903
39.897	-6.0738	1.2021
33.119	9.7248	-10.68
31.873	-4.9103	14.173
33.417	10.629	7.1988
32.618	-19.624	2.5639
28.809	6.5765	0.41473
32.444	1.2012	-26.507
32.745	9.3062	-10.714
30.771	-12.926	-4.4622
30.355	5.696	34.921
29.634	14.336	26.672
36.681	2.6748	-14.329
28.616	10.147	33.875
21.185	-6.2735	11.4
35.856	10.513	7.2861
35.071	-7.5911	-24.037
31.198	5.8	35.167
27.428	-2.6192	23.076
35.725	11.739	7.2581
36.698	-20.268	-5.5717
19.257	-4.72	22.361
37.816	-1.5676	15.891
33.462	10.73	7.2315
32.817	0.92072	-10.625
32.521	0.94927	-10.71
23.012	2.5677	11.787
33.75	-7.8247	-11.327
34.765	-7.26	-23.75
39.81	-6.1423	-2.556
19.066	15.09	7.2765
37.016	-2.617	7.699
34.735	13.179	7.1705
33.972	11.285	7.2023
27.477	-12.487	5.6592
31.133	-13.258	-7.5556
31.168	-12.625	-12.968
19.692	-0.95635	25.799
38.439	0.64224	-10.063
33.379	9.0481	-26.472
31.449	-11.839	-12.747
36.446	-4.675	-26.573
25.436	-11.625	16.074
32.419	1.7363	27.71
26.087	9.8849	32.983
16.406	6.1543	6.4806
22.009	14.176	0.39773
30.188	5.6389	34.854
33.476	3.9704	-24.229
38.896	-5.3115	-15.053
33.84	1.6581	-10.45
34.78	4.2386	-24.704
36.617	2.6924	-14.234
30.571	-4.3655	13.829
36.542	-4.2459	-26.615
29.588	-14.748	-13.706
30.893	14.147	26.824
39.1	5.0122	7.4719
33.429	3.9142	-24.084
31.341	-12.831	-11.109
28.395	10.25	33.847
32.365	1.0917	-10.74
22.39	2.6434	15.055
28.223	13.795	2.4317
32.616	0.90189	-26.503
17.554	12.619	11.826
25.972	-12.218	10.011
31.652	-4.8439	14.138
29.555	-5.9891	4.7659
37.385	2.007	-8.5636
25.227	0.84668	0.21843
33.869	1.6022	7.3194
33.148	10.681	-10.763
37.027	-2.7035	5.5932
32.788	0.7264	-26.295
21.854	14.905	20.907
33.993	2.0058	-10.366
33.401	9.2988	-26.43
17.775	12.563	12.106
20.164	3.952	27.669
32.755	-18.755	4.4648
39.094	2.8407	7.4057
27.219	7.0833	-3.5754
30.662	-12.735	-3.6305
30.862	17.615	4.7556
36.6	4.4463	7.3344
33.432	9.1956	-26.262
32.824	9.3189	-10.776
29.854	3.1499	26.543
34.98	2.5454	7.346
29.027	5.4189	34.548
22.349	2.856	15.344
36.545	-2.8009	15.509
35.533	-7.8255	-24.244
28.279	18.94	13.007
27.32	-3.1066	22.844
40.452	-4.014	5.7742
25.496	-16.911	-15.607
25.926	7.859	-10.294
