level_0	level_1	frames = 110 markers = 13 Hz = 30
-12.238603932867122	1.8957	29.542
-11.98960393286712	9.0558	21.692
-11.503603932867122	-5.3504	22.263
-12.468603932867119	11.007	7.6236
-13.156603932867121	-7.1285	8.2712
-12.80360393286712	12.277	-1.7828
-14.244603932867122	-8.2785	-1.0827
-12.200603932867125	4.9535	0.91963
-12.070603932867122	-2.2248	0.92443
-12.075603932867125	4.6263	-17.244
-10.770603932867118	-1.8278	-17.194
-10.475603932867124	4.135	-32.042
-9.723603932867121	-1.4808	-32.052
-12.23360393286712	1.89	29.543
-11.984603932867124	9.0541	21.692
-11.50760393286712	-5.3523	22.264
-12.465603932867118	11.006	7.6243
-13.159603932867121	-7.1314	8.2724
-12.802603932867122	12.278	-1.7819
-14.247603932867122	-8.2813	-1.0815
-12.200603932867125	4.9517	0.92113
-12.07160393286712	-2.2265	0.92283
-12.038603932867119	4.6231	-17.242
-10.919603932867119	-1.898	-17.207
-10.46760393286712	4.1402	-32.044
-9.722603932867123	-1.4863	-32.052
-12.231603932867124	1.902	29.541
-11.980603932867119	9.0586	21.674
-11.51060393286712	-5.3454	22.264
-12.46160393286712	11.007	7.6061
-13.162603932867121	-7.1342	8.274
-12.799603932867122	12.276	-1.8004
-14.249603932867124	-8.2904	-1.0791
-12.19660393286712	4.9526	0.91773
-12.07460393286712	-2.2258	0.92263
-12.033603932867123	4.6194	-17.245
-10.919603932867119	-1.8969	-17.207
-10.473603932867121	4.1332	-32.048
-9.721603932867119	-1.4856	-32.052
-12.23360393286712	1.8965	29.54
-11.978603932867124	9.0593	21.675
-11.512603932867123	-5.3455	22.266
-12.457603932867123	11.008	7.6066
-13.166603932867119	-7.1363	8.2764
-12.793603932867121	12.276	-1.8
-14.25460393286712	-8.2947	-1.0764
-12.19360393286712	4.9518	0.91933
-12.072603932867125	-2.2266	0.92103
-12.020603932867118	4.615	-17.244
-10.916603932867119	-1.8985	-17.208
-10.470603932867121	4.1282	-32.047
-9.719603932867123	-1.4883	-32.054
-12.234603932867124	1.8978	29.543
-11.984603932867124	9.0533	21.674
-11.521603932867123	-5.3514	22.271
-12.454603932867123	11.0	7.6045
-13.17260393286712	-7.1419	8.2813
-12.785603932867119	12.267	-1.8025
-14.259603932867122	-8.2999	-1.0717
-12.189603932867122	4.9509	0.91963
-12.06860393286712	-2.2276	0.92443
-12.008603932867125	4.6121	-17.243
-10.914603932867124	-1.9028	-17.205
-10.475603932867124	4.1268	-32.049
-9.71760393286712	-1.4948	-32.051
-12.374603932867124	2.2368	29.515
-12.018603932867123	9.3309	21.612
-11.44960393286712	-5.0669	22.284
-12.482603932867121	11.197	7.532
-13.194603932867125	-7.0638	8.3334
-12.810603932867124	12.41	-1.8822
-14.343603932867119	-8.36	-0.99367
-12.185603932867124	4.9455	0.91953
-12.064603932867122	-2.233	0.92443
-11.991603932867122	4.6129	-17.243
-10.911603932867123	-1.9016	-17.205
-10.469603932867123	4.1359	-32.05
-9.719603932867123	-1.4901	-32.051
-12.39160393286712	2.226	29.514
-12.024603932867123	9.3204	21.617
-11.448603932867123	-5.0782	22.288
-12.479603932867121	11.187	7.5362
-13.197603932867125	-7.067	8.3369
-12.80060393286712	12.402	-1.8781
-14.350603932867124	-8.3568	-0.99067
-12.183603932867122	4.9409	0.91803
-12.060603932867124	-2.2375	0.92603
-11.975603932867124	4.6058	-17.245
-10.911603932867123	-1.9034	-17.203
-10.46760393286712	4.1307	-32.053
-9.719603932867123	-1.4885	-32.049
-12.396603932867123	2.2113	29.515
-12.02260393286712	9.309	21.618
-11.444603932867125	-5.0885	22.284
-12.478603932867124	11.177	7.5374
-13.195603932867122	-7.0772	8.3329
-12.801603932867124	12.391	-1.8768
-14.349603932867119	-8.3669	-0.99447
-12.182603932867124	4.9399	0.91953
-12.052603932867122	-2.2383	0.92443
-11.959603932867118	4.6015	-17.243
-10.906603932867121	-1.9026	-17.205
-10.46760393286712	4.129	-32.053
-9.718603932867119	-1.4867	-32.051
-12.405603932867123	2.2153	29.511
-12.026603932867118	9.3128	21.613
-11.439603932867122	-5.0834	22.279
-12.479603932867121	11.174	7.5316
