level_0	level_1	frames = 180 markers = 13 Hz = 30
-35.436344444444494	-1.0984	30.989
-33.274344444444495	5.5546	23.505
-34.61934444444449	-7.4462	23.057
-33.93234444444449	7.9393	10.109
-35.40034444444449	-10.577	9.8125
-33.420344444444495	9.7816	-0.3227
-34.954344444444494	-12.964	-0.5036
-33.82234444444449	2.4975	1.4741
-33.76334444444449	-6.063	1.4793
-32.77634444444449	3.441	-14.621
-32.747344444444494	-6.8715	-14.626
-31.81534444444449	4.2851	-29.213
-31.838344444444495	-7.5782	-29.234
-35.45634444444449	-1.0693	31.003
-33.280344444444495	5.588	23.517
-34.65034444444449	-7.4099	23.075
-33.93434444444449	7.952	10.117
-35.414344444444495	-10.584	9.8419
-33.420344444444495	9.7784	-0.3169
-34.95634444444449	-13.005	-0.4658
-33.76034444444449	2.5055	1.5174
-33.75434444444449	-6.055	1.4796
-32.896344444444495	3.4676	-14.587
-32.89434444444449	-6.8821	-14.634
-31.81634444444449	4.2738	-29.173
-31.839344444444492	-7.5677	-29.233
-35.567344444444494	-1.2201	31.007
-33.18834444444449	5.4255	23.509
-34.79334444444449	-7.5321	22.996
-33.89534444444449	7.8866	10.124
-35.49934444444449	-10.649	9.7523
-33.42434444444449	9.7878	-0.2986
-34.99534444444449	-13.025	-0.5637
-33.70934444444449	2.5201	1.5332
-33.75134444444449	-6.0403	1.4876
-32.872344444444494	3.4762	-14.573
-32.890344444444494	-6.8726	-14.626
-31.820344444444494	4.2775	-29.162
-31.836344444444492	-7.5634	-29.225
-35.646344444444495	-1.099	31.053
-33.19434444444449	5.5058	23.546
-34.865344444444496	-7.4438	23.056
-33.893344444444494	7.9167	10.152
-35.56634444444449	-10.607	9.8234
-33.426344444444496	9.7769	-0.2778
-35.05934444444449	-13.018	-0.4843
-33.51734444444449	2.5437	1.633
-33.72934444444449	-6.0133	1.5144
-32.77834444444449	3.4841	-14.479
-32.87934444444449	-6.87	-14.598
-31.81534444444449	4.2681	-29.075
-31.833344444444492	-7.5866	-29.196
