		frames = 138 markers = 13 Hz = 30
-35.594	-8.9478	-13.743
-35.824	5.2858	-14.333
-36.284	-1.1477	2.072
-33.175	-9.0554	-14.445
-32.861	14.26	1.6048
-36.044	-10.356	-14.16
-30.306	12.965	22.537
-37.419	1.958	-28.528
-33.701	7.8651	1.463
-37.304	-7.161	0.39934
-36.793	-9.856	-28.429
-28.785	-10.831	2.9841
-35.251	-10.329	23.999
-37.287	1.9166	-28.406
-31.897	-10.46	24.054
-31.125	-9.9564	11.832
-33.356	-9.1027	-14.429
-35.844	-8.6595	2.1868
-37.41	-8.294	2.0811
-37.49	1.5033	-28.872
-32.441	-14.242	3.4626
-36.584	-8.9885	-28.411
-37.147	1.7024	-28.375
-33.668	7.7395	1.414
-36.368	-8.9979	-14.088
-25.343	16.417	-0.25156
-34.462	-3.4653	31.531
-35.269	-3.0166	1.6922
-35.612	-0.28609	24.058
-35.752	2.4106	10.79
-35.164	-13.47	23.989
-35.187	-15.666	1.2705
-38.505	0.068212	-13.817
-30.891	-10.022	23.978
-34.29	14.397	-6.3298
-40.646	-1.7041	2.1278
-37.011	0.11734	-13.949
-35.955	3.2632	24.343
-37.313	2.114	-28.8
-39.974	-0.66835	2.4322
-30.028	-9.1753	23.819
-36.217	15.676	3.0268
-27.459	-4.4477	10.686
-31.85	2.7483	29.232
-26.782	-11.513	3.4928
-27.849	7.1056	25.943
-36.869	-9.5127	-28.856
-37.454	1.4888	-28.784
-37.997	1.7691	-14.199
-37.322	2.0992	-29.018
-39.308	12.781	-18.229
-35.909	-9.3217	-14.065
-35.823	0.50564	24.048
-29.679	-3.2499	23.068
-36.813	-10.052	-28.782
-34.618	-10.567	2.1038
-41.735	-1.3884	0.83304
-28.138	-7.039	9.5548
-27.947	6.3345	16.572
-36.978	1.7701	23.753
-35.168	-0.9627	24.264
-34.185	7.8439	20.637
-32.77	-13.957	11.316
-24.0	5.9821	5.3864
-31.192	-6.4699	23.505
-35.615	-11.571	2.0743
-39.421	13.076	-17.621
-37.115	2.2496	-28.663
-36.619	-8.8802	-28.875
-29.793	-8.2625	23.719
-33.077	-14.913	3.3298
-35.269	-3.2209	2.0544
-36.955	14.923	8.3528
-37.631	1.9313	-28.373
-37.373	2.0121	-28.698
-42.148	-1.1776	-0.48036
-43.183	4.6068	0.26214
-35.345	-11.034	2.1065
-25.416	3.5716	13.964
-38.451	1.3451	-14.077
-35.048	-9.2682	-14.175
-34.899	-8.2985	2.6347
-37.527	1.5084	-28.733
-38.422	-0.49202	-13.575
-36.789	-9.9797	-28.687
-43.764	4.5456	9.1197
-37.007	2.1566	-28.614
-34.905	4.3244	22.863
-36.95	-9.7066	-28.742
-32.296	-1.3349	30.814
-34.78	-3.2861	31.627
-36.3	2.5573	23.984
-30.552	-16.762	1.6418
-35.469	-12.783	10.731
-33.489	10.324	17.097
-35.47	-12.78	10.731
-34.537	7.333	1.2324
-36.366	3.552	0.93114
-40.468	2.2902	10.091
-36.895	17.302	-19.572
-35.785	-13.412	23.65
-36.969	-9.6903	-28.863
-33.975	-16.443	10.944
-36.408	-8.9719	-14.084
-36.421	-8.9638	-14.082
-35.662	7.0845	1.0703
-39.406	13.718	-2.987
-28.431	-10.753	3.275
-34.612	-10.506	2.1456
-37.148	1.5659	23.483
-40.264	13.953	-6.8695
-35.202	-3.2425	2.0349
-36.976	-9.5038	-28.845
-36.986	-9.5032	-28.846
-39.232	-3.3597	2.517
-34.683	-9.4404	2.333
-36.552	4.3995	11.18
-36.791	-7.5127	0.84304
-35.156	-0.91303	24.245
-37.015	-9.5011	-28.841
-36.773	-9.9341	-28.719
-38.81	0.72966	-14.106
-37.115	2.2228	-28.698
-27.592	0.099702	19.43
-28.44	3.4678	14.64
-36.656	-8.8139	-28.877
-36.111	3.1118	24.278
-30.987	-16.9	1.6643
-39.018	0.45681	-14.039
-35.908	-14.884	1.0729
-37.948	1.0203	22.976
-34.652	-15.926	1.3339
-34.632	-10.463	24.029
-33.164	11.714	14.12
-31.886	-17.358	1.7637
-34.751	-9.1859	2.4391
-29.293	-3.2319	22.196
-36.163	2.9139	24.188
-34.709	-10.745	2.0694
-36.004	4.4165	-14.286
-37.057	2.2095	-28.643
-27.716	-6.1564	8.5044
-38.723	0.34836	-13.881
-38.106	1.0977	22.899
-33.368	-16.331	2.6491
-37.495	-7.9675	1.6165
-37.51	1.9334	-28.492
-34.685	2.9448	1.0347
-35.568	5.4554	-14.37
-37.168	2.1914	-28.902
-36.252	2.7212	24.091
-36.32	0.13839	-14.363
-37.242	1.9494	-28.508
-35.422	6.39	-14.586
-36.06	-8.8817	-14.078
-35.165	-17.169	10.729
-35.884	-13.45	23.552
-32.818	-9.244	-14.476
-33.695	7.8411	1.4537
-36.957	-9.7172	-28.889
-37.183	1.8834	-28.379
-35.08	-2.8891	1.7794
-36.044	-9.8465	23.845
-37.306	1.9165	-28.388
-36.861	-9.7357	-28.905
-36.378	-2.9455	2.2647
-28.745	-10.747	13.132
-32.391	-12.548	11.74
-36.014	3.2057	24.319
-36.806	4.5619	10.669
-36.778	-7.009	0.27344
-36.823	-7.2425	0.41594
-37.139	6.6043	1.0046
-36.029	-10.264	-14.129
-39.005	0.53333	-14.093
-36.467	-18.499	0.74594
-39.499	13.166	-16.158
-27.009	-12.01	3.2369
-31.299	-9.2988	-14.989
-35.11	-0.94899	24.252
-32.651	-13.481	11.365
-35.918	-19.436	1.0096
-35.982	-8.3899	2.192
-38.561	0.76178	-13.77
-32.843	-10.745	24.169
-33.948	14.341	-5.9798
-35.616	-9.8078	-14.165
-28.749	-2.1012	21.376
-35.654	0.2106	2.1968
-36.85	-9.6809	-28.67
-29.847	3.3754	29.186
-36.601	-8.9084	-28.844
-28.434	3.1215	13.686
-39.249	12.887	-18.297
-36.209	-10.69	-14.136
-37.793	1.9054	-28.138
-34.239	-13.624	10.947
-41.701	-0.71366	1.4732
-35.702	-16.625	10.4
-37.255	2.0708	-28.602
-28.002	11.69	12.619
-34.772	-5.8497	31.389
-35.523	6.2535	-14.515
-36.132	-10.47	-14.064
-25.281	7.7262	0.76714
-36.191	2.8587	24.174
-37.305	2.1041	-28.796
-35.25	1.8958	10.798
-39.827	13.805	-10.784
-36.034	-9.9169	23.864
-34.952	-15.464	10.525
-29.706	-6.6136	23.712
-36.45	0.91168	-14.073
-35.106	-8.2133	2.7183
-34.191	5.9078	11.153
-36.742	-9.7257	-28.682
-36.235	-0.9649	2.0801
-37.466	1.4901	-28.798
-35.402	-17.15	0.89014
-31.745	-12.625	2.3678
-39.269	3.813	21.705
-32.163	-11.444	11.963
-32.567	-9.1813	-14.516
-35.716	2.2102	10.724
-35.459	5.1768	10.783
-35.23	-8.0245	2.7463
-36.631	-8.8391	-28.835
-36.079	-10.271	-14.018
-36.838	-9.9247	-28.453
-36.813	-9.9723	-28.829
-42.476	-0.71342	-1.4778
-34.954	-12.356	23.679
-29.36	-16.521	1.6651
-35.474	-12.77	10.728
-35.839	-8.4964	-13.757
-39.114	5.7055	0.88974
-36.593	0.611	-14.131
-27.386	-10.984	4.0003
-37.401	1.9589	-28.548
-36.624	-8.8612	-28.778
-36.107	4.9155	10.664
-33.698	7.8492	1.4568
-37.755	1.6794	-28.092
