level_0	level_1	frames = 147 markers = 13 Hz = 30
-36.359711145996805	1.6942	29.668
-35.52271114599681	7.8759	22.532
-35.33671114599681	-5.4883	22.552
-35.44971114599681	10.033	8.615
-33.69271114599681	-8.7314	9.1264
-35.76271114599681	10.928	-1.3304
-31.55271114599681	-11.078	-0.33827
-34.91971114599681	4.0002	0.55833
-34.90071114599681	-4.6173	0.56323
-33.95571114599681	4.4574	-15.613
-33.87671114599681	-5.3738	-15.595
-33.075711145996806	4.8598	-30.106
-32.97271114599681	-6.0266	-30.083
-36.30271114599681	1.4282	29.684
-35.41871114599681	7.6392	22.583
-35.34771114599681	-5.7283	22.539
-35.79071114599681	9.5075	8.5855
-33.81471114599681	-8.9291	9.0786
-35.45271114599681	10.679	-1.3302
-31.755711145996806	-11.245	-0.41127
-34.88771114599681	3.8485	0.56903
-34.938711145996805	-4.7689	0.55763
-34.075711145996806	4.4111	-15.608
-34.04471114599681	-5.4716	-15.61
-33.04671114599681	4.9146	-30.088
-32.97971114599681	-6.0238	-30.091
-36.21171114599681	1.1402	29.69
-35.328711145996806	7.4094	22.599
-35.33971114599681	-5.9574	22.531
-35.651711145996806	9.1879	8.5928
-34.00171114599681	-9.0999	9.0143
-35.212711145996806	10.327	-1.3224
-32.084711145996806	-11.373	-0.51607
-34.883711145996806	3.7011	0.55033
-34.962711145996806	-4.9161	0.54553
-34.07171114599681	4.344	-15.623
-34.05871114599681	-5.5402	-15.625
-33.045711145996805	4.9184	-30.101
-32.97971114599681	-6.0213	-30.108
-36.133711145996806	0.90373	29.707
-35.21971114599681	7.209	22.63
-35.316711145996805	-6.1597	22.551
-35.57971114599681	8.9021	8.6101
-34.225711145996804	-9.2634	8.978
-35.09771114599681	10.015	-1.306
-32.490711145996805	-11.508	-0.59457
-34.90771114599681	3.5289	0.57243
-34.98371114599681	-5.0883	0.53963
-34.087711145996806	4.2534	-15.597
-34.06771114599681	-5.6252	-15.634
-33.04971114599681	4.901	-30.071
-32.981711145996805	-6.0271	-30.118
-36.066711145996805	0.65642	29.725
-35.12571114599681	7.0079	22.669
-35.30971114599681	-6.3644	22.57
-35.475711145996804	8.5825	8.635
-34.53471114599681	-9.514	8.9543
-34.93971114599681	9.6331	-1.285
-33.03471114599681	-11.791	-0.64987
-34.93071114599681	3.3688	0.56913
-35.005711145996806	-5.2486	0.55083
-34.09671114599681	4.1782	-15.596
-34.07671114599681	-5.7002	-15.624
-33.04671114599681	4.9021	-30.065
-32.98071114599681	-6.0237	-30.11
-35.999711145996805	0.43078	29.708
-35.02571114599681	6.7994	22.663
-35.28471114599681	-6.5725	22.555
-35.40871114599681	8.3444	8.6236
-34.801711145996805	-9.709	8.8926
-34.89671114599681	9.3723	-1.3
-33.53271114599681	-11.974	-0.74777
-34.92171114599681	3.2736	0.55943
-34.990711145996805	-5.3436	0.49413
-34.08871114599681	4.1404	-15.603
-33.93071114599681	-5.8408	-15.671
-33.04471114599681	4.916	-30.07
-32.72071114599681	-6.2032	-30.147
-35.93171114599681	0.24196	29.722
-34.91371114599681	6.6412	22.696
-35.24771114599681	-6.7362	22.568
-35.32071114599681	8.1433	8.6498
-35.03471114599681	-9.8741	8.8726
-34.87271114599681	9.1159	-1.2825
-34.008711145996806	-12.133	-0.79867
-34.911711145996804	3.1489	0.56733
-34.99271114599681	-5.4682	0.49753
-34.084711145996806	4.0811	-15.591
-33.938711145996805	-5.8983	-15.67
-33.045711145996805	4.9151	-30.056
-32.73371114599681	-6.1992	-30.148
-35.85771114599681	0.013359	29.733
-34.828711145996806	6.476	22.718
-35.225711145996804	-6.9074	22.591
-35.24571114599681	7.9571	8.6688
-35.197711145996806	-10.064	8.8802
-34.868711145996805	8.8809	-1.2711
-34.40671114599681	-12.317	-0.81467
-34.895711145996806	3.0359	0.56023
-34.98071114599681	-5.5813	0.50133
-34.07471114599681	4.032	-15.595
-33.926711145996805	-5.9523	-15.668
-33.03771114599681	4.9234	-30.056
-32.71971114599681	-6.1981	-30.146
-35.871711145996805	-0.10941	29.685
-34.770711145996806	6.357	22.687
-35.24471114599681	-7.0335	22.568
-35.19071114599681	7.8249	8.6365
-35.310711145996805	-10.233	8.8578
-34.86971114599681	8.7144	-1.3089
-34.76871114599681	-12.475	-0.85667
-34.86471114599681	2.9663	0.56023
-34.97471114599681	-5.6497	0.42173
-34.057711145996805	3.9999	-15.593
-33.91971114599681	-5.9849	-15.748
-33.03471114599681	4.9245	-30.054
-32.71171114599681	-6.1983	-30.227
-35.81471114599681	-0.30305	29.712
-34.67471114599681	6.1995	22.714
-35.23371114599681	-7.1835	22.594
-35.11971114599681	7.6849	8.6636
-35.374711145996805	-10.413	8.885
-34.83371114599681	8.5789	-1.2823
-35.15871114599681	-12.605	-0.85367
-34.834711145996806	2.9092	0.55413
-34.94371114599681	-5.7072	0.44563
-34.045711145996805	3.9756	-15.598
-33.90771114599681	-6.0112	-15.726
-33.03571114599681	4.9302	-30.057
-32.71671114599681	-6.1959	-30.207
-35.75671114599681	-0.48154	29.732
-34.578711145996806	6.0609	22.738
-35.25671114599681	-7.3156	22.616
-35.07471114599681	7.5953	8.6899
-35.38271114599681	-10.564	8.9127
-34.81571114599681	8.5323	-1.2526
-35.50371114599681	-12.656	-0.84897
-34.80371114599681	2.8289	0.54733
-34.93771114599681	-5.7875	0.46673
-34.026711145996806	3.9356	-15.603
-33.90371114599681	-6.0507	-15.706
-33.02971114599681	4.9263	-30.061
-32.712711145996806	-6.1982	-30.187
-35.734711145996805	-0.58599	29.732
-34.48971114599681	5.945	22.73
-35.27171114599681	-7.4176	22.607
-35.02571114599681	7.5387	8.687
-35.39971114599681	-10.738	8.9221
-34.776711145996806	8.5296	-1.2505
-35.898711145996806	-12.733	-0.84767
-34.76071114599681	2.7668	0.54413
-34.93971114599681	-5.8487	0.45913
-34.00471114599681	3.9053	-15.605
-33.90271114599681	-6.0818	-15.714
-33.026711145996806	4.924	-30.062
-32.712711145996806	-6.2038	-30.195
-35.68971114599681	-0.65299	29.704
-34.43671114599681	5.8947	22.699
-35.298711145996805	-7.4632	22.578
-34.96771114599681	7.5313	8.6612
-35.33871114599681	-10.821	8.9107
-34.71871114599681	8.5525	-1.2734
-36.127711145996805	-12.682	-0.86597
-34.731711145996805	2.6412	0.53553
-34.93371114599681	-5.9736	0.43003
-33.987711145996805	3.8482	-15.609
-33.89971114599681	-6.1397	-15.744
-33.01871114599681	4.9285	-30.062
-32.70871114599681	-6.2005	-30.226
-35.64471114599681	-0.74805	29.712
-34.36971114599681	5.8061	22.709
-35.304711145996805	-7.5431	22.575
-34.892711145996806	7.5088	8.6795
-35.29771114599681	-10.869	8.9039
-34.67271114599681	8.5614	-1.2523
-36.33971114599681	-12.543	-0.88267
-34.691711145996805	2.5899	0.54553
-34.93771114599681	-6.0235	0.42723
-33.96771114599681	3.8213	-15.598
-33.90371114599681	-6.1602	-15.747
-33.01671114599681	4.9232	-30.051
-32.712711145996806	-6.195	-30.229
-35.60471114599681	-0.82233	29.71
-34.295711145996805	5.7327	22.704
-35.301711145996805	-7.6063	22.558
-34.801711145996805	7.4932	8.6833
-35.19871114599681	-10.914	8.8921
-34.62571114599681	8.5617	-1.2477
-36.37271114599681	-12.437	-0.90407
-34.65071114599681	2.5475	0.54683
-34.950711145996806	-6.064	0.41503
-33.94671114599681	3.8042	-15.596
-33.90371114599681	-6.1819	-15.759
-33.01371114599681	4.9283	-30.048
-32.70471114599681	-6.2017	-30.24
-35.57671114599681	-0.86859	29.69
-34.24171114599681	5.6858	22.691
-35.30671114599681	-7.645	22.524
-34.737711145996805	7.4871	8.6758
-35.14371114599681	-10.936	8.8601
-34.60271114599681	8.5642	-1.2552
-36.389711145996806	-12.354	-0.94297
-34.62071114599681	2.5107	0.55103
-34.97671114599681	-6.0978	0.37323
-33.93371114599681	3.7861	-15.591
-33.91671114599681	-6.198	-15.8
-33.014711145996806	4.9263	-30.043
-32.703711145996806	-6.2022	-30.28
-35.563711145996805	-0.92514	29.687
-34.197711145996806	5.6358	22.704
-35.304711145996805	-7.69	22.5
-34.697711145996806	7.4481	8.69
-35.09771114599681	-10.95	8.834
-34.57171114599681	8.5313	-1.2404
-36.36371114599681	-12.301	-0.97597
-34.59271114599681	2.4721	0.55263
-34.97671114599681	-6.1351	0.36813
-33.917711145996805	3.7675	-15.588
-33.91571114599681	-6.2167	-15.805
-33.00971114599681	4.9257	-30.039
-32.70271114599681	-6.2044	-30.285
-35.56471114599681	-0.98675	29.689
-34.17771114599681	5.5807	22.712
-35.30871114599681	-7.7381	22.484
-34.69971114599681	7.3853	8.696
-35.07771114599681	-10.985	8.8172
-34.542711145996805	8.4868	-1.2321
-36.32771114599681	-12.318	-0.99707
-34.56171114599681	2.4442	0.55083
-34.962711145996806	-6.1623	0.36983
-33.90271114599681	3.7558	-15.589
-33.91071114599681	-6.2258	-15.804
-33.008711145996806	4.9287	-30.04
-32.70571114599681	-6.1974	-30.284
-35.54671114599681	-1.1003	29.733
-34.139711145996806	5.4664	22.758
-35.29971114599681	-7.8478	22.518
-34.72371114599681	7.2687	8.738
-35.048711145996805	-11.055	8.8439
-34.52871114599681	8.4101	-1.1845
-36.25671114599681	-12.371	-0.97797
-34.53471114599681	2.482	0.54923
-34.94071114599681	-6.1252	0.42353
-33.88871114599681	3.7759	-15.593
-33.911711145996804	-6.206	-15.752
-33.01071114599681	4.9333	-30.046
-32.72171114599681	-6.1915	-30.233
-35.54671114599681	-1.1389	29.732
-34.12871114599681	5.4315	22.762
-35.301711145996805	-7.8815	22.512
-34.761711145996806	7.1921	8.7344
-35.03471114599681	-11.089	8.8394
-34.51971114599681	8.3446	-1.1859
-36.194711145996806	-12.425	-0.98557
-34.51371114599681	2.4703	0.54393
-34.923711145996805	-6.1369	0.42513
-33.87671114599681	3.7713	-15.598
-33.89171114599681	-6.2132	-15.75
-33.00771114599681	4.9353	-30.051
-32.70771114599681	-6.1962	-30.232
-35.551711145996805	-1.1759	29.735
-34.12671114599681	5.4028	22.763
-35.295711145996805	-7.9126	22.516
-34.795711145996805	7.1197	8.7283
-35.023711145996806	-11.111	8.8426
-34.52971114599681	8.265	-1.1922
-36.145711145996806	-12.453	-0.98597
-34.49171114599681	2.4709	0.54383
-34.90471114599681	-6.1362	0.42703
-33.868711145996805	3.7728	-15.599
-33.88471114599681	-6.2132	-15.749
-33.00471114599681	4.9377	-30.052
-32.70771114599681	-6.1963	-30.232
-35.554711145996805	-1.192	29.729
-34.12271114599681	5.3934	22.754
-35.29071114599681	-7.9217	22.512
-34.80671114599681	7.0662	8.7127
-35.01571114599681	-11.114	8.8368
-34.54971114599681	8.1796	-1.2117
-36.11171114599681	-12.463	-0.99377
-34.48971114599681	2.4607	0.53603
-34.88271114599681	-6.1473	0.42573
-33.86371114599681	3.7693	-15.606
-33.87571114599681	-6.2171	-15.751
-33.00371114599681	4.9407	-30.059
-32.70871114599681	-6.1924	-30.234
-35.55971114599681	-1.2008	29.723
-34.13271114599681	5.3851	22.743
-35.307711145996805	-7.9228	22.498
-34.79771114599681	7.0506	8.7012
-35.023711145996806	-11.106	8.8218
-34.56571114599681	8.1387	-1.2267
-36.08971114599681	-12.448	-1.013
-34.47471114599681	2.4612	0.52883
-34.868711145996805	-6.1468	0.42213
-33.85471114599681	3.7684	-15.613
-33.86471114599681	-6.2161	-15.755
-33.00371114599681	4.9384	-30.067
-32.70571114599681	-6.192	-30.239
-35.557711145996805	-1.2055	29.726
-34.130711145996806	5.3844	22.746
-35.310711145996805	-7.9215	22.502
-34.76571114599681	7.0679	8.7083
-35.03571114599681	-11.091	8.821
-34.57971114599681	8.1341	-1.2229
-36.084711145996806	-12.421	-1.0172
-34.46371114599681	2.4655	0.52703
-34.859711145996805	-6.1426	0.42933
-33.85171114599681	3.7696	-15.616
-33.86371114599681	-6.2158	-15.748
