		frames = 265 markers = 13 Hz = 30
21.609	-12.619	7.1844
39.705	-5.7838	1.7103
38.245	3.7553	-14.982
30.429	-9.7702	10.81
39.72	-5.1342	2.3238
37.342	-11.417	8.7431
26.706	-15.964	-2.6915
35.632	5.2313	-15.204
40.236	2.5696	-14.931
36.829	4.1117	-31.011
21.726	-12.724	7.1718
38.14	3.2836	-14.703
20.99	-7.5291	11.522
31.37	11.368	22.077
35.823	-1.4909	2.7002
22.188	-9.945	10.192
36.205	-5.5816	-30.74
31.331	-8.5581	22.515
39.2	1.4697	-14.804
25.348	-10.31	7.9836
39.773	3.1786	3.0581
24.336	17.423	11.397
36.219	-5.676	-15.01
37.531	-8.4246	2.8374
35.47	5.6855	22.972
37.649	12.426	-1.9433
24.838	7.8302	12.848
32.601	-16.441	3.7891
30.187	8.4903	22.757
10.367	3.598	-8.5287
36.857	4.0611	-31.121
41.257	8.5	9.0088
36.669	-4.1145	-14.99
32.232	10.738	-2.6125
20.2	-9.8038	20.811
36.558	3.6261	-30.862
29.575	10.546	21.98
28.525	-17.46	-0.87403
39.931	2.3923	-14.936
16.891	-12.905	-5.61
39.838	2.4278	3.2103
22.396	14.356	10.667
29.344	-11.171	12.525
40.043	-6.308	2.7247
26.829	17.351	10.932
36.177	-5.5766	-30.781
34.853	-14.475	0.32697
30.475	-17.713	-0.80073
36.28	-5.9695	-31.025
33.551	11.386	22.415
29.953	-11.8	0.039373
34.976	6.9357	2.7346
40.64	1.8038	-30.756
36.385	-5.9358	-30.936
36.011	-11.069	22.629
27.096	17.174	10.295
21.241	14.694	10.35
36.211	-6.0134	-30.892
27.111	11.697	-0.53503
34.949	-3.5402	23.833
36.15	-5.5649	-30.877
33.945	11.328	22.325
41.642	9.9527	1.0752
40.012	2.5128	-14.978
39.794	-5.1194	2.1738
35.103	6.8819	2.7668
41.64	8.0887	9.2874
25.765	11.752	-1.6229
14.735	14.325	11.932
25.602	-14.145	15.173
36.305	-1.5231	2.7125
36.263	-5.6472	-30.884
45.393	7.201	1.8245
26.255	-10.768	14.598
36.188	-5.9013	-30.977
15.641	-12.899	1.4114
22.573	-13.532	7.7805
15.298	1.4634	14.402
17.461	18.286	15.276
36.636	3.4953	-30.823
35.817	-1.5019	2.711
36.413	-5.8747	-30.801
36.659	12.045	-2.96
37.496	-2.2326	2.907
22.71	-14.83	-3.0718
37.467	-8.4662	2.8467
23.773	5.9494	14.029
33.02	-10.983	8.2851
45.031	8.129	2.0966
33.53	6.7896	22.609
40.33	2.0245	23.085
37.019	3.2287	-14.733
28.63	-9.5411	11.688
37.176	-11.269	8.8976
36.802	4.093	-31.101
36.835	-5.9244	-30.827
39.808	-5.3175	1.2767
40.045	-6.3502	2.7002
34.706	-3.3521	24.118
33.72	11.841	22.29
20.274	-9.7496	21.242
28.43	-12.119	6.9711
34.518	-9.2634	23.114
9.2392	2.4116	-9.3517
40.167	-7.0946	2.5761
35.886	4.8977	2.9934
36.92	4.0318	-30.76
16.981	-10.659	-4.1586
38.404	-5.9313	2.9754
21.346	-10.669	10.384
24.155	4.1627	18.221
19.855	-9.8622	15.298
29.112	-8.0433	21.512
40.041	-6.8715	2.6219
39.457	1.0202	2.9619
35.609	5.1191	-15.003
36.172	-5.5672	-30.815
36.32	-5.516	-15.07
33.444	-11.114	8.3566
26.782	17.057	10.874
30.682	4.0314	29.695
38.995	-5.7849	2.9271
30.115	-2.4436	29.915
35.835	9.5891	9.1097
25.649	14.1	2.5864
31.653	10.668	-3.0164
